,who,did,play-by-play,on,westwood,one,?
westwood,0.18958885967731476,0.14362391829490662,0.37586426734924316,0.2660547196865082,1.0,0.16160333156585693,0.17119714617729187
one,0.40083858370780945,0.27659472823143005,0.23875470459461212,0.3601475656032562,0.16160333156585693,1.0000001192092896,0.2673267424106598
will,0.24651563167572021,0.40638336539268494,0.27736732363700867,0.3240351676940918,0.19338947534561157,0.3305911421775818,0.35046905279159546
carry,0.20254260301589966,0.17168502509593964,0.16973386704921722,0.22389066219329834,0.1362718790769577,0.2303367257118225,0.17171701788902283
the,0.3733934462070465,0.34736719727516174,0.2794552743434906,0.5107308030128479,0.289829283952713,0.5514441132545471,0.22068053483963013
game,0.2523840069770813,0.19789010286331177,0.5630475878715515,0.22967135906219482,0.2980734705924988,0.2554377615451813,0.1829071193933487
throughout,0.22343657910823822,0.194510817527771,0.1791004091501236,0.317852258682251,0.16354329884052277,0.30948054790496826,0.12665234506130219
north,0.11026738584041595,0.16732536256313324,0.1820400208234787,0.24055036902427673,0.2549668848514557,0.2486860305070877,0.11829731613397598
america,0.1830417811870575,0.2212076634168625,0.21793006360530853,0.24962958693504333,0.26917198300361633,0.2418144941329956,0.19333907961845398
",",0.3365725874900818,0.3015086054801941,0.2556174397468567,0.49057599902153015,0.29910868406295776,0.3696635365486145,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.26767468452453613,0.40749499201774597,0.1647321730852127,0.3855307400226593,0.2433311939239502
kevin,0.2511484920978546,0.13419455289840698,0.2128893882036209,0.18079182505607605,0.2982544004917145,0.16309618949890137,0.1176677793264389
harlan,0.2475024312734604,0.15540847182273865,0.232541024684906,0.16858381032943726,0.31846699118614197,0.1680660843849182,0.1691509187221527
as,0.3923053741455078,0.3596470057964325,0.21848075091838837,0.36047765612602234,0.28776946663856506,0.3954789340496063,0.27043893933296204
play-by-play,0.2488287091255188,0.22972095012664795,1.0,0.3018798530101776,0.37586426734924316,0.23875470459461212,0.2925850749015808
announcer,0.1876700222492218,0.21149717271327972,0.43089863657951355,0.24479050934314728,0.35294216871261597,0.1672205924987793,0.18424807488918304
",",0.3365725874900818,0.3015086054801941,0.2556174397468567,0.49057599902153015,0.29910868406295776,0.3696635365486145,0.31091248989105225
boomer,0.2918093502521515,0.11381345987319946,0.24995911121368408,0.18779771029949188,0.38323289155960083,0.23178045451641083,0.1773107945919037
esiason,0.276216596364975,0.2540186941623688,0.3173668086528778,0.21509817242622375,0.3512040078639984,0.2448311299085617,0.276677668094635
and,0.41279885172843933,0.34479495882987976,0.2701733708381653,0.4077630043029785,0.24328935146331787,0.42438167333602905,0.20544172823429108
dan,0.24452054500579834,0.1347183734178543,0.19513475894927979,0.1608424335718155,0.16283684968948364,0.12329176068305969,0.12045673280954361
fouts,0.27286213636398315,0.18170084059238434,0.2978123724460602,0.2315947711467743,0.22817279398441315,0.2757849395275116,0.22210446000099182
as,0.3923053741455078,0.3596470057964325,0.21848075091838837,0.36047765612602234,0.28776946663856506,0.3954789340496063,0.27043893933296204
color,0.1621498465538025,0.19901683926582336,0.26749542355537415,0.20340315997600555,0.14488482475280762,0.16016504168510437,0.21299609541893005
analysts,0.23764149844646454,0.21742098033428192,0.2908095717430115,0.23374880850315094,0.2120276391506195,0.219713032245636,0.18784141540527344
",",0.3365725874900818,0.3015086054801941,0.2556174397468567,0.49057599902153015,0.29910868406295776,0.3696635365486145,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.2701733708381653,0.4077630043029785,0.24328935146331787,0.42438167333602905,0.20544172823429108
james,0.2562035918235779,0.20904116332530975,0.21295170485973358,0.22752492129802704,0.30983006954193115,0.15985621511936188,0.12139993160963058
lofton,0.2292756289243698,0.20533688366413116,0.2820088565349579,0.2691812813282013,0.5548362731933594,0.14600710570812225,0.12585721909999847
and,0.41279885172843933,0.34479495882987976,0.2701733708381653,0.4077630043029785,0.24328935146331787,0.42438167333602905,0.20544172823429108
mark,0.1636335253715515,0.10116355866193771,0.21031612157821655,0.16977544128894806,0.21123018860816956,0.17211125791072845,0.11634156107902527
malone,0.2876465618610382,0.11292503774166107,0.3651455342769623,0.2655121386051178,0.4790048897266388,0.2127087265253067,0.15293700993061066
as,0.3923053741455078,0.3596470057964325,0.21848075091838837,0.36047765612602234,0.28776946663856506,0.3954789340496063,0.27043893933296204
sideline,0.25843048095703125,0.2761578857898712,0.4428194463253021,0.2969872057437897,0.49073898792266846,0.19887381792068481,0.2637002468109131
reporters,0.30018317699432373,0.304856538772583,0.21308602392673492,0.2417767196893692,0.22393454611301422,0.17934350669384003,0.20937705039978027
.,0.3541337847709656,0.35288307070732117,0.315233439207077,0.49257001280784607,0.29225394129753113,0.4123194217681885,0.4130953550338745
