,how,many,photographic,plates,comprise,the,animal,locomotion,collection,?
one,0.3213292360305786,0.4223630726337433,0.1754586398601532,0.19687369465827942,0.27485889196395874,0.5514441132545471,0.2689667344093323,0.2059331238269806,0.29259923100471497,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.23462572693824768,0.22298482060432434,0.37900012731552124,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.23959757387638092,0.2566349506378174,0.30294761061668396,1.0,0.2502762973308563,0.2234269082546234,0.25281965732574463,0.22068053483963013
more,0.4319567084312439,0.48608261346817017,0.22723744809627533,0.1720769852399826,0.27699345350265503,0.39758381247520447,0.1914156824350357,0.15320825576782227,0.19879412651062012,0.27894994616508484
unusual,0.26341062784194946,0.3985360860824585,0.20384421944618225,0.2726117670536041,0.14918874204158783,0.3101860284805298,0.260579913854599,0.2421594262123108,0.20514093339443207,0.1398017257452011
collections,0.1600850522518158,0.3478132486343384,0.27596548199653625,0.24697072803974152,0.34690308570861816,0.27174001932144165,0.20182880759239197,0.18611201643943787,0.9249221086502075,0.1873358190059662
is,0.22544461488723755,0.2649032473564148,0.21573130786418915,0.19400210678577423,0.3045743703842163,0.5823672413825989,0.22882415354251862,0.18280862271785736,0.21135231852531433,0.22961433231830597
that,0.557814359664917,0.5391656160354614,0.1900232434272766,0.24202051758766174,0.1828363984823227,0.5473989248275757,0.20606283843517303,0.17920225858688354,0.22439968585968018,0.32716336846351624
of,0.2480744868516922,0.37253960967063904,0.23462572693824768,0.22298482060432434,0.37900012731552124,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.1826142966747284
eadweard,0.14986743032932281,0.1345825344324112,0.31773632764816284,0.1886506974697113,0.044862162321805954,0.23059135675430298,0.20879249274730682,0.2058216631412506,0.21066449582576752,0.2170843631029129
muybridge,0.11648690700531006,0.16959984600543976,0.27873873710632324,0.14324764907360077,0.11009841412305832,0.24930675327777863,0.17679926753044128,0.2279215157032013,0.1980399340391159,0.18299800157546997
's,-0.026164190843701363,0.01698932610452175,-0.01290880050510168,0.062453415244817734,0.014575175009667873,-0.01540423184633255,0.12318587303161621,0.03072351962327957,0.003388406243175268,-0.023395681753754616
photographs,0.1388842761516571,0.2300807684659958,0.8336602449417114,0.2540699243545532,0.14994005858898163,0.16852141916751862,0.10337751358747482,0.08548130840063095,0.33201873302459717,0.16775095462799072
of,0.2480744868516922,0.37253960967063904,0.23462572693824768,0.22298482060432434,0.37900012731552124,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.1826142966747284
animal,0.21485969424247742,0.21514956653118134,0.1333428919315338,0.2445223331451416,0.11692222952842712,0.2502762973308563,0.9999998807907104,0.31734785437583923,0.17460349202156067,0.13991324603557587
locomotion,0.18783831596374512,0.11020606011152267,0.14131005108356476,0.2338036149740219,0.1912543922662735,0.2234269082546234,0.31734785437583923,1.0000001192092896,0.18436157703399658,0.15499655902385712
of,0.2480744868516922,0.37253960967063904,0.23462572693824768,0.22298482060432434,0.37900012731552124,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.1826142966747284
1887,0.012258368544280529,0.0025166827253997326,-0.1425025463104248,-0.09152587503194809,-0.04787527024745941,-0.032284706830978394,-0.11261770874261856,-0.12590104341506958,-0.09844784438610077,-0.017046842724084854
",",0.22659391164779663,0.40610817074775696,0.20997461676597595,0.17598696053028107,0.24136890470981598,0.4933079481124878,0.18390819430351257,0.15530134737491608,0.2277175933122635,0.31091248989105225
this,0.45272302627563477,0.43532639741897583,0.22146621346473694,0.22326251864433289,0.22079792618751526,0.6274310946464539,0.22004614770412445,0.24270853400230408,0.2634904980659485,0.3155723512172699
consists,0.14797210693359375,0.18753206729888916,0.13069865107536316,0.18237127363681793,0.5655336380004883,0.3362659811973572,0.17199622094631195,0.09897883981466293,0.24928395450115204,-0.004641483072191477
of,0.2480744868516922,0.37253960967063904,0.23462572693824768,0.22298482060432434,0.37900012731552124,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.1826142966747284
781,-0.11202258616685867,0.08090241998434067,0.18491971492767334,0.042811401188373566,0.04823145642876625,0.002367998706176877,-0.03818441554903984,0.03785621002316475,0.21431276202201843,0.04112726449966431
plates,0.20601707696914673,0.2210526317358017,0.26506561040878296,1.0000001192092896,0.18607023358345032,0.2566349506378174,0.2445223331451416,0.2338036149740219,0.19584816694259644,0.15258446335792542
.,0.3287222981452942,0.3974229395389557,0.21537554264068604,0.19715885818004608,0.185248464345932,0.5934505462646484,0.2140108346939087,0.23785719275474548,0.2516246736049652,0.4130953550338745
