,what,country,has,such,unmanageable,students,that,many,teachers,do,not,discipline,them,?
in,0.30808621644973755,0.3040012717247009,0.4173259735107422,0.2704046070575714,0.2342560738325119,0.2676171064376831,0.435920387506485,0.41474202275276184,0.2128150761127472,0.23402775824069977,0.3403114080429077,0.19738538563251495,0.29119014739990234,0.20430970191955566
japan,0.1865565925836563,0.25777024030685425,0.18011291325092316,0.14148898422718048,0.17250965535640717,0.15282633900642395,0.20976011455059052,0.24130243062973022,0.14909450709819794,0.11374112963676453,0.16297796368598938,0.23264180123806,0.19102537631988525,0.1312343180179596
",",0.3087472915649414,0.27878350019454956,0.3734780251979828,0.39626169204711914,0.2791862189769745,0.26501646637916565,0.4137537479400635,0.40610817074775696,0.28049156069755554,0.3283645510673523,0.3769696354866028,0.18374353647232056,0.3985835015773773,0.31091248989105225
for,0.3017193675041199,0.2644098401069641,0.450642853975296,0.36098620295524597,0.28968146443367004,0.2460945099592209,0.4137635827064514,0.40972793102264404,0.274332195520401,0.29510271549224854,0.39280617237091064,0.23497483134269714,0.41447147727012634,0.264628142118454
example,0.3456268310546875,0.19043707847595215,0.28235751390457153,0.4555383324623108,0.276984304189682,0.1690657138824463,0.429897665977478,0.43096116185188293,0.18022732436656952,0.3745654821395874,0.4156745672225952,0.15541037917137146,0.3715137541294098,0.30374911427497864
",",0.3087472915649414,0.27878350019454956,0.3734780251979828,0.39626169204711914,0.2791862189769745,0.26501646637916565,0.4137537479400635,0.40610817074775696,0.28049156069755554,0.3283645510673523,0.3769696354866028,0.18374353647232056,0.3985835015773773,0.31091248989105225
although,0.24844598770141602,0.19152677059173584,0.29775476455688477,0.2615102529525757,0.3215470612049103,0.16039614379405975,0.4722958207130432,0.36542749404907227,0.2022889107465744,0.23230431973934174,0.4415263533592224,0.24204468727111816,0.34101951122283936,0.15541206300258636
average,0.24068789184093475,0.15502749383449554,0.27553778886795044,0.09905410557985306,0.22223912179470062,0.2115725725889206,0.2513456642627716,0.212912455201149,0.18556272983551025,0.19793111085891724,0.2170805186033249,0.10492001473903656,0.23664073646068573,0.21764592826366425
attainment,0.19037768244743347,0.14663708209991455,0.16465233266353607,0.20536106824874878,0.23310190439224243,0.224978506565094,0.21269670128822327,0.15054000914096832,0.20435164868831635,0.15036097168922424,0.20678171515464783,0.30423927307128906,0.1372184157371521,0.0981084555387497
on,0.34226128458976746,0.21584933996200562,0.34604379534721375,0.3181164264678955,0.252592533826828,0.2211644947528839,0.42569106817245483,0.32520127296447754,0.24610933661460876,0.3025321364402771,0.3516409695148468,0.12418979406356812,0.30083513259887695,0.2714994251728058
standardized,0.22466516494750977,0.23333506286144257,0.15462704002857208,0.2603131830692291,0.3290245831012726,0.2645653784275055,0.3150653541088104,0.28879356384277344,0.24654364585876465,0.23744630813598633,0.3009333908557892,0.3033457100391388,0.26857784390449524,0.16858142614364624
tests,0.28057941794395447,0.14070890843868256,0.19871963560581207,0.25218409299850464,0.23923258483409882,0.38652390241622925,0.30062729120254517,0.24223513901233673,0.29561224579811096,0.27878695726394653,0.31233251094818115,0.21940116584300995,0.250243216753006,0.18650490045547485
may,0.25739946961402893,0.18514569103717804,0.2377731204032898,0.327393501996994,0.3158424198627472,0.2131241261959076,0.4234136641025543,0.29758191108703613,0.21395352482795715,0.28230178356170654,0.39885732531547546,0.14022758603096008,0.2627967298030853,0.2768254578113556
exceed,0.20080645382404327,0.10899097472429276,0.20187582075595856,0.21167230606079102,0.31832024455070496,0.1585773378610611,0.31123974919319153,0.25239256024360657,0.16933120787143707,0.3038236200809479,0.4125257730484009,0.16332882642745972,0.25673332810401917,0.13049276173114777
those,0.44466671347618103,0.21360722184181213,0.23621691763401031,0.4473936855792999,0.3601734936237335,0.32113906741142273,0.5085503458976746,0.5882058143615723,0.2563104033470154,0.43052518367767334,0.49181070923805237,0.23076871037483215,0.6141815781593323,0.3328189253807068
in,0.30808621644973755,0.3040012717247009,0.4173259735107422,0.2704046070575714,0.2342560738325119,0.2676171064376831,0.435920387506485,0.41474202275276184,0.2128150761127472,0.23402775824069977,0.3403114080429077,0.19738538563251495,0.29119014739990234,0.20430970191955566
