,when,did,luther,enter,into,the,senate,of,the,theology,faculty,of,the,university,of,wittenberg,?
on,0.37706470489501953,0.2670976221561432,0.19090485572814941,0.1972694844007492,0.30585673451423645,0.5107308030128479,0.17351797223091125,0.3966929316520691,0.5107308030128479,0.1613156795501709,0.1844133585691452,0.3966929316520691,0.5107308030128479,0.18291500210762024,0.3966929316520691,0.19844768941402435,0.2714994251728058
19,-0.114084392786026,-0.056934259831905365,-0.005236808676272631,-0.04072924330830574,-0.11041147261857986,-0.17766842246055603,-0.10707829147577286,-0.18954584002494812,-0.17766842246055603,0.015947168692946434,-0.028025930747389793,-0.18954584002494812,-0.17766842246055603,-0.13556797802448273,-0.18954584002494812,-0.0699567124247551,0.008002291433513165
october,0.273419588804245,0.2746104896068573,0.1806728094816208,0.08490690588951111,0.10170821845531464,0.2621108889579773,0.17948977649211884,0.20846129953861237,0.2621108889579773,0.22386275231838226,0.14555327594280243,0.20846129953861237,0.2621108889579773,0.2243635505437851,0.20846129953861237,0.16249266266822815,0.29706719517707825
1512,0.3112803101539612,0.15409989655017853,0.0697980523109436,0.169407457113266,0.19340582191944122,0.4898953437805176,0.1291370391845703,0.4531100392341614,0.4898953437805176,0.0974297747015953,0.1444445252418518,0.4531100392341614,0.4898953437805176,0.22699715197086334,0.4531100392341614,0.22378869354724884,0.1460285484790802
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.20928232371807098,0.2826121151447296,0.4933079481124878,0.22473450005054474,0.4946078956127167,0.4933079481124878,0.23964712023735046,0.24666790664196014,0.4946078956127167,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.1980619579553604,0.2263432741165161,0.4571082592010498,0.2702174484729767,0.38706058263778687,0.4571082592010498,0.2784007787704468,0.2563910186290741,0.38706058263778687,0.4571082592010498,0.31377843022346497,0.38706058263778687,0.21938884258270264,0.2089974731206894
was,0.37326499819755554,0.41399896144866943,0.19185513257980347,0.1587110310792923,0.2322220653295517,0.48711544275283813,0.21166695654392242,0.4069072902202606,0.48711544275283813,0.21140047907829285,0.2076377123594284,0.4069072902202606,0.48711544275283813,0.290752112865448,0.4069072902202606,0.23245899379253387,0.18412111699581146
awarded,0.1420624703168869,0.20935551822185516,0.1545739322900772,0.16285555064678192,0.10123204439878464,0.24971646070480347,0.15079273283481598,0.2630610167980194,0.24971646070480347,0.15570710599422455,0.24132868647575378,0.2630610167980194,0.24971646070480347,0.20749253034591675,0.2630610167980194,0.10367540270090103,0.1431703418493271
his,0.37120407819747925,0.3546801507472992,0.27093374729156494,0.18728935718536377,0.22944098711013794,0.4394008219242096,0.21329081058502197,0.38364991545677185,0.4394008219242096,0.25988489389419556,0.19626224040985107,0.38364991545677185,0.4394008219242096,0.22286750376224518,0.38364991545677185,0.28627532720565796,0.18075084686279297
doctor,0.16867952048778534,0.18673314154148102,0.22596125304698944,0.20063038170337677,0.09970156848430634,0.2820442318916321,0.1726159304380417,0.16895952820777893,0.2820442318916321,0.3240536153316498,0.24222494661808014,0.16895952820777893,0.2820442318916321,0.2670247554779053,0.16895952820777893,0.18442080914974213,0.1462511420249939
of,0.3757161796092987,0.2513895630836487,0.1719115972518921,0.23793351650238037,0.32255905866622925,0.733189046382904,0.2684692442417145,1.0,0.733189046382904,0.274120032787323,0.28538843989372253,1.0,0.733189046382904,0.30646374821662903,1.0,0.296735942363739,0.1826142966747284
theology,0.18232505023479462,0.13569064438343048,0.3810495138168335,0.11642434448003769,0.1441497504711151,0.1939574033021927,0.20956149697303772,0.274120032787323,0.1939574033021927,1.0000001192092896,0.45002803206443787,0.274120032787323,0.1939574033021927,0.4616926908493042,0.274120032787323,0.2539619207382202,0.1560962051153183
