,when,is,luther,commemorated,in,the,lutheran,calendar,of,saints,?
luther,0.14516782760620117,0.08282390236854553,1.0,0.18452680110931396,0.20523880422115326,0.1759674996137619,0.7014965415000916,0.17284812033176422,0.1719115972518921,0.17173054814338684,0.1732746809720993
is,0.3471449911594391,1.0,0.08282390236854553,0.21623633801937103,0.5394441485404968,0.5823672413825989,0.1802605539560318,0.139500692486763,0.4854315221309662,0.23882900178432465,0.22961433231830597
honoured,0.13984324038028717,0.16460749506950378,0.14708547294139862,0.500167191028595,0.23416773974895477,0.23760633170604706,0.21941368281841278,0.10398881137371063,0.26521292328834534,0.24445192515850067,0.1648205667734146
on,0.37706470489501953,0.3635730445384979,0.19090485572814941,0.231469988822937,0.46853652596473694,0.5107308030128479,0.1415858417749405,0.17993581295013428,0.3966929316520691,0.17417308688163757,0.2714994251728058
18,-0.16991649568080902,-0.09313851594924927,-0.04762841388583183,-0.0063344379886984825,-0.061147160828113556,-0.07796193659305573,-0.0380556620657444,-0.02918403595685959,-0.09725122153759003,-0.006210084538906813,-0.04919438064098358
february,0.2621206045150757,0.26240548491477966,0.14333194494247437,0.18956151604652405,0.2990526556968689,0.26483774185180664,0.1625579595565796,0.21768608689308167,0.20366249978542328,0.176370307803154,0.29594847559928894
with,0.5075214505195618,0.3250955045223236,0.14705438911914825,0.19698651134967804,0.4080928862094879,0.4223487675189972,0.12326720356941223,0.11598208546638489,0.41827285289764404,0.20332667231559753,0.2433311939239502
a,0.44397395849227905,0.658733606338501,0.17967689037322998,0.25768357515335083,0.539380669593811,0.5829201340675354,0.1988534927368164,0.15025916695594788,0.5052502155303955,0.18702839314937592,0.23916715383529663
commemoration,0.1205773577094078,0.23465217649936676,0.19586488604545593,0.9075583815574646,0.31971973180770874,0.3620007336139679,0.22507575154304504,0.2678408622741699,0.3448304831981659,0.28435397148132324,0.13165631890296936
in,0.4431333839893341,0.5394441485404968,0.20523880422115326,0.35010388493537903,1.0,0.6662389636039734,0.2489040344953537,0.16943912208080292,0.5696388483047485,0.17272762954235077,0.20430970191955566
the,0.5091903209686279,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.6662389636039734,1.0,0.20315466821193695,0.21427585184574127,0.733189046382904,0.22267529368400574,0.22068053483963013
lutheran,0.1024550050497055,0.1802605539560318,0.7014965415000916,0.22939787805080414,0.2489040344953537,0.20315466821193695,1.0000001192092896,0.25077107548713684,0.2628459632396698,0.3712148666381836,0.1752520203590393
calendar,0.19854870438575745,0.139500692486763,0.17284812033176422,0.24385449290275574,0.16943912208080292,0.21427585184574127,0.25077107548713684,1.0,0.15737932920455933,0.23865829408168793,0.16766934096813202
of,0.3757161796092987,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.5696388483047485,0.733189046382904,0.2628459632396698,0.15737932920455933,1.0,0.2700014114379883,0.1826142966747284
saints,0.14797814190387726,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.17272762954235077,0.22267529368400574,0.3712148666381836,0.23865829408168793,0.2700014114379883,1.0,0.1782425343990326
and,0.4716290831565857,0.3859752118587494,0.20796556770801544,0.16969160735607147,0.4954058527946472,0.5171257257461548,0.20310066640377045,0.12926454842090607,0.5116966962814331,0.17669014632701874,0.20544172823429108
in,0.4431333839893341,0.5394441485404968,0.20523880422115326,0.35010388493537903,1.0,0.6662389636039734,0.2489040344953537,0.16943912208080292,0.5696388483047485,0.17272762954235077,0.20430970191955566
the,0.5091903209686279,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.6662389636039734,1.0,0.20315466821193695,0.21427585184574127,0.733189046382904,0.22267529368400574,0.22068053483963013
episcopal,0.17882616817951202,0.16667838394641876,0.36606520414352417,0.3027815520763397,0.2737633287906647,0.2631160318851471,0.536805272102356,0.21982607245445251,0.29307931661605835,0.36738747358322144,0.22619661688804626
(,0.2459595799446106,0.35393038392066956,0.1677781045436859,0.1642160713672638,0.3087427020072937,0.33289089798927307,0.1816984862089157,0.16621100902557373,0.35032153129577637,0.22734759747982025,0.40561532974243164
united,0.2490900456905365,0.22408509254455566,0.24038049578666687,0.28554072976112366,0.3938477039337158,0.34367692470550537,0.23153360188007355,0.11518239229917526,0.3187655806541443,0.17339633405208588,0.17266890406608582
states,0.24639196693897247,0.21939043700695038,0.24556468427181244,0.24501106142997742,0.3977442979812622,0.3463578522205353,0.22253550589084625,0.15651388466358185,0.30884552001953125,0.14925344288349152,0.16272737085819244
),0.2538422644138336,0.37732169032096863,0.18587662279605865,0.16536593437194824,0.3326910734176636,0.3456730246543884,0.21799536049365997,0.17540256679058075,0.3680361211299896,0.24788866937160492,0.42300865054130554
calendar,0.19854870438575745,0.139500692486763,0.17284812033176422,0.24385449290275574,0.16943912208080292,0.21427585184574127,0.25077107548713684,1.0,0.15737932920455933,0.23865829408168793,0.16766934096813202
of,0.3757161796092987,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.5696388483047485,0.733189046382904,0.2628459632396698,0.15737932920455933,1.0,0.2700014114379883,0.1826142966747284
saints,0.14797814190387726,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.17272762954235077,0.22267529368400574,0.3712148666381836,0.23865829408168793,0.2700014114379883,1.0,0.1782425343990326
.,0.475719153881073,0.4569662809371948,0.24907569587230682,0.21241223812103271,0.5591574311256409,0.5934505462646484,0.29032230377197266,0.16474001109600067,0.5352458953857422,0.23146063089370728,0.4130953550338745
