,what,have,some,plants,repurposed,the,peptidoglycan,layer,genes,for,?
some,0.4491020441055298,0.6421269774436951,0.9999999403953552,0.3633081018924713,0.34723910689353943,0.4566698372364044,0.38831937313079834,0.21688339114189148,0.23507104814052582,0.4257155656814575,0.2562315762042999
plants,0.25144460797309875,0.31308507919311523,0.3633081018924713,1.0,0.27212774753570557,0.29499560594558716,0.4892232120037079,0.27745887637138367,0.4256531596183777,0.22197571396827698,0.1473488062620163
seem,0.4162353277206421,0.550184965133667,0.4347361922264099,0.24404598772525787,0.33222636580467224,0.2749357521533966,0.2911321222782135,0.20595328509807587,0.2574627101421356,0.29978278279304504,0.42079484462738037
to,0.455847829580307,0.4544740617275238,0.4636894166469574,0.27162864804267883,0.3462093770503998,0.535392165184021,0.26818931102752686,0.2141847461462021,0.22930821776390076,0.4451248347759247,0.29463258385658264
have,0.39808809757232666,0.9999999403953552,0.6421269774436951,0.31308507919311523,0.38054701685905457,0.40389683842658997,0.3789563477039337,0.2182634174823761,0.302103191614151,0.41175219416618347,0.32991164922714233
kept,0.2294851839542389,0.3097507059574127,0.3208727538585663,0.206717848777771,0.3135625720024109,0.3135738670825958,0.23556198179721832,0.0841473713517189,0.16733872890472412,0.29963481426239014,0.15157312154769897
the,0.42745697498321533,0.40389683842658997,0.4566698372364044,0.29499560594558716,0.3669489324092865,1.0,0.311275839805603,0.22831332683563232,0.20576688647270203,0.4739971458911896,0.22068053483963013
genes,0.2555708885192871,0.302103191614151,0.23507104814052582,0.4256531596183777,0.16644196212291718,0.20576688647270203,0.4882197380065918,0.2041066437959671,0.9999999403953552,0.21148204803466797,0.19798170030117035
for,0.3017193675041199,0.41175219416618347,0.4257155656814575,0.22197571396827698,0.364948034286499,0.4739971458911896,0.23681533336639404,0.15294834971427917,0.21148204803466797,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.40389683842658997,0.4566698372364044,0.29499560594558716,0.3669489324092865,1.0,0.311275839805603,0.22831332683563232,0.20576688647270203,0.4739971458911896,0.22068053483963013
synthesis,0.2376978099346161,0.19718001782894135,0.2373175024986267,0.3581406772136688,0.1721327006816864,0.19125208258628845,0.4900010824203491,0.19928239285945892,0.4196188449859619,0.22060653567314148,0.20288079977035522
of,0.33290785551071167,0.3802283704280853,0.4300730526447296,0.29386165738105774,0.3221721053123474,0.733189046382904,0.301836222410202,0.19074802100658417,0.20000982284545898,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.40389683842658997,0.4566698372364044,0.29499560594558716,0.3669489324092865,1.0,0.311275839805603,0.22831332683563232,0.20576688647270203,0.4739971458911896,0.22068053483963013
peptidoglycan,0.2580682039260864,0.3789563477039337,0.38831937313079834,0.4892232120037079,0.31581446528434753,0.311275839805603,1.0,0.4651845395565033,0.4882197380065918,0.23681533336639404,0.19503355026245117
layer,0.20606225728988647,0.2182634174823761,0.21688339114189148,0.27745887637138367,0.21912914514541626,0.22831332683563232,0.4651845395565033,0.9999998807907104,0.2041066437959671,0.15294834971427917,0.11266916990280151
",",0.3087472915649414,0.3541618287563324,0.42400437593460083,0.2555769681930542,0.29545867443084717,0.4933079481124878,0.23918874561786652,0.16123715043067932,0.1833837628364563,0.4464869201183319,0.31091248989105225
though,0.4089210331439972,0.5477935671806335,0.5170668363571167,0.24420367181301117,0.40884315967559814,0.38776206970214844,0.27435243129730225,0.1621309369802475,0.18085908889770508,0.35697805881500244,0.3188856542110443
they,0.4431931674480438,0.6542890071868896,0.5894032716751099,0.3542126417160034,0.37716713547706604,0.49925389885902405,0.3816714584827423,0.2036534994840622,0.2828957140445709,0.3466525673866272,0.2753053903579712
've,0.31642356514930725,0.4044298827648163,0.2440466433763504,0.1429741531610489,0.20164808630943298,0.23887036740779877,0.19277051091194153,0.114081971347332,0.14697927236557007,0.32583874464035034,0.260578989982605
been,0.2567804455757141,0.6493861675262451,0.42383694648742676,0.26265642046928406,0.44511887431144714,0.3563927710056305,0.24856173992156982,0.19179418683052063,0.22337281703948975,0.39068686962127686,0.24354910850524902
repurposed,0.30699244141578674,0.38054701685905457,0.34723910689353943,0.27212774753570557,0.9999998807907104,0.3669489324092865,0.31581446528434753,0.21912914514541626,0.16644196212291718,0.364948034286499,0.2043011635541916
for,0.3017193675041199,0.41175219416618347,0.4257155656814575,0.22197571396827698,0.364948034286499,0.4739971458911896,0.23681533336639404,0.15294834971427917,0.21148204803466797,0.9999999403953552,0.264628142118454
use,0.3453877568244934,0.4805850088596344,0.4820891320705414,0.2802479863166809,0.35619547963142395,0.34342584013938904,0.32731714844703674,0.23606325685977936,0.17138372361660004,0.47655582427978516,0.32795652747154236
in,0.30808621644973755,0.36843645572662354,0.4010399878025055,0.2697395086288452,0.3517375588417053,0.6662389636039734,0.24559465050697327,0.17848193645477295,0.1368900090456009,0.4322226941585541,0.20430970191955566
