,along,with,english,and,mathematics,",",what,subject,replaced,values,education,for,fourth,year,students,?
government,0.1656099408864975,0.2035938799381256,0.16949136555194855,0.2859337627887726,0.21143238246440887,0.27344048023223877,0.28074538707733154,0.2287435382604599,0.17730292677879333,0.20216885209083557,0.3723694384098053,0.23902073502540588,0.11988157778978348,0.181336909532547,0.2784397602081299,0.18851417303085327
regulations,0.19201263785362244,0.24787288904190063,0.12692242860794067,0.29460906982421875,0.22025106847286224,0.24835379421710968,0.21871556341648102,0.2887687385082245,0.15078280866146088,0.24721884727478027,0.2889412045478821,0.29771095514297485,0.07628941535949707,0.18265260756015778,0.22876499593257904,0.17806588113307953
have,0.2685122489929199,0.48046383261680603,0.22710247337818146,0.4711785912513733,0.1721721887588501,0.3541618287563324,0.39808809757232666,0.2905719578266144,0.19048047065734863,0.23799043893814087,0.19461645185947418,0.41175219416618347,0.1545771062374115,0.23220738768577576,0.2558421790599823,0.32991164922714233
given,0.1837053894996643,0.29518163204193115,0.19035400450229645,0.30185943841934204,0.26102179288864136,0.2843315005302429,0.21883496642112732,0.24424439668655396,0.17572470009326935,0.2913997769355774,0.21576370298862457,0.44294488430023193,0.22969837486743927,0.2564636766910553,0.20492106676101685,0.2570464313030243
private,0.13822825253009796,0.20792533457279205,0.17193938791751862,0.2557651102542877,0.16640488803386688,0.1899166703224182,0.16778090596199036,0.21178118884563446,0.06993690878152847,0.17099741101264954,0.34071704745292664,0.22242696583271027,0.13050365447998047,0.14490066468715668,0.35454505681991577,0.14389030635356903
education,0.11758220195770264,0.11138669401407242,0.21933698654174805,0.308173805475235,0.33900830149650574,0.2718683183193207,0.19940856099128723,0.260346919298172,0.09458857029676437,0.23228153586387634,1.0,0.27265021204948425,0.1863071173429489,0.18821442127227783,0.5498206615447998,0.18067774176597595
more,0.18806776404380798,0.3535402715206146,0.2316426932811737,0.39880692958831787,0.25482210516929626,0.3696524500846863,0.3484537899494171,0.33916175365448,0.20002970099449158,0.2367660403251648,0.18603861331939697,0.3891189992427826,0.14414358139038086,0.2547462582588196,0.27059733867645264,0.27894994616508484
flexibility,0.1664149910211563,0.22001509368419647,0.1447678655385971,0.24416102468967438,0.31636664271354675,0.18242505192756653,0.27463263273239136,0.30789583921432495,0.07788575440645218,0.31351238489151,0.2790396809577942,0.3131520450115204,0.12309814989566803,0.11009640246629715,0.2881101667881012,0.22000673413276672
and,0.4213258922100067,0.5477725267410278,0.3409043252468109,1.0,0.2017074078321457,0.6633074283599854,0.31309178471565247,0.2574312388896942,0.2584592401981354,0.2952605187892914,0.308173805475235,0.5064792633056641,0.27958914637565613,0.2506658732891083,0.28111961483955383,0.20544172823429108
autonomy,0.13331235945224762,0.15268082916736603,0.13783065974712372,0.22034603357315063,0.2460552603006363,0.19160252809524536,0.28485414385795593,0.2633399963378906,0.11759692430496216,0.2404172569513321,0.3541349172592163,0.20090118050575256,0.07864567637443542,0.09567809104919434,0.22644191980361938,0.16934052109718323
