,what,branch,is,independant,of,the,other,branches,?
legislative,0.22232688963413239,0.37710490822792053,0.19055356085300446,0.2572418451309204,0.34083476662635803,0.27501925826072693,0.17826716601848602,0.3465054929256439,0.1654243916273117
power,0.22216427326202393,0.2676434814929962,0.15234114229679108,0.1950155645608902,0.25273123383522034,0.2647338807582855,0.20244340598583221,0.2649066150188446,0.15304024517536163
is,0.28837618231773376,0.17662303149700165,1.0,0.2756432294845581,0.4854315221309662,0.5823672413825989,0.25895947217941284,0.2068059891462326,0.22961433231830597
vested,0.18686208128929138,0.1955028623342514,0.1674545407295227,0.20577090978622437,0.32697826623916626,0.2728080451488495,0.21746326982975006,0.28734034299850464,0.1897280216217041
in,0.30808621644973755,0.21656033396720886,0.5394441485404968,0.27878230810165405,0.5696388483047485,0.6662389636039734,0.39989137649536133,0.2362547516822815,0.20430970191955566
both,0.3361809551715851,0.13118936121463776,0.31409940123558044,0.21668405830860138,0.3565710783004761,0.4931981563568115,0.48922300338745117,0.18554042279720306,0.19455738365650177
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
government,0.28074538707733154,0.2534402310848236,0.20343491435050964,0.3174354135990143,0.3475167155265808,0.31798112392425537,0.25909486413002014,0.24247311055660248,0.18851417303085327
and,0.31309178471565247,0.23874594271183014,0.3859752118587494,0.21320144832134247,0.5116966962814331,0.5171257257461548,0.5504306554794312,0.2934940755367279,0.20544172823429108
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
national,0.16882304847240448,0.18845124542713165,0.23413582146167755,0.2806960344314575,0.3314673602581024,0.32739606499671936,0.1963898241519928,0.16956478357315063,0.15643028914928436
assembly,0.21462371945381165,0.27300652861595154,0.20304200053215027,0.31212931871414185,0.2946469783782959,0.2524827718734741,0.16663327813148499,0.2125735580921173,0.1488889455795288
and,0.31309178471565247,0.23874594271183014,0.3859752118587494,0.21320144832134247,0.5116966962814331,0.5171257257461548,0.5504306554794312,0.2934940755367279,0.20544172823429108
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
senate,0.1894174963235855,0.20281732082366943,0.11308292299509048,0.22368581593036652,0.2684692442417145,0.23380520939826965,0.15966053307056427,0.19140051305294037,0.18454359471797943
.,0.3567904531955719,0.1572728455066681,0.4569662809371948,0.2525375783443451,0.5352458953857422,0.5934505462646484,0.41511186957359314,0.20754438638687134,0.4130953550338745
,what,branch,is,independant,of,the,other,branches,?
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
judiciary,0.26693809032440186,0.362476110458374,0.22773391008377075,0.3737192749977112,0.2966795265674591,0.28677672147750854,0.1970849335193634,0.36916080117225647,0.21806932985782623
is,0.28837618231773376,0.17662303149700165,1.0,0.2756432294845581,0.4854315221309662,0.5823672413825989,0.25895947217941284,0.2068059891462326,0.22961433231830597
independent,0.28752967715263367,0.10784822702407837,0.19700974225997925,0.7087043523788452,0.30508819222450256,0.2927691638469696,0.2544269561767578,0.14357712864875793,0.11902587860822678
of,0.33290785551071167,0.23972897231578827,0.4854315221309662,0.305708110332489,1.0,0.733189046382904,0.38583824038505554,0.3017720878124237,0.1826142966747284
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
executive,0.13765592873096466,0.34631091356277466,0.18661944568157196,0.2392456978559494,0.23221425712108612,0.2402946650981903,0.20119594037532806,0.2860783040523529,0.12134998291730881
and,0.31309178471565247,0.23874594271183014,0.3859752118587494,0.21320144832134247,0.5116966962814331,0.5171257257461548,0.5504306554794312,0.2934940755367279,0.20544172823429108
the,0.42745697498321533,0.2630956768989563,0.5823672413825989,0.33178985118865967,0.733189046382904,1.0,0.44152235984802246,0.3295007646083832,0.22068053483963013
legislature,0.23629915714263916,0.3031226396560669,0.15513135492801666,0.2980903685092926,0.3148817718029022,0.2745116055011749,0.1874610334634781,0.28512823581695557,0.17475001513957977
.,0.3567904531955719,0.1572728455066681,0.4569662809371948,0.2525375783443451,0.5352458953857422,0.5934505462646484,0.41511186957359314,0.20754438638687134,0.4130953550338745
