,what,type,of,creature,is,usually,doctor,who,'s,companion,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26240527629852295,0.5823672413825989,0.36782920360565186,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.2540271282196045,0.22068053483963013
companion,0.14817854762077332,0.16863910853862762,0.2278505116701126,0.27257561683654785,0.21143139898777008,0.14293457567691803,0.42781779170036316,0.28241121768951416,-0.05183550715446472,1.0000001192092896,0.14478090405464172
figure,0.2582065463066101,0.09973904490470886,0.21327486634254456,0.21376094222068787,0.24901244044303894,0.14609327912330627,0.1846531629562378,0.2256491780281067,0.03818259760737419,0.10844507068395615,0.21107101440429688
–,0.13008765876293182,0.016650723293423653,0.2799985408782959,0.16085465252399445,0.1436920464038849,0.14241451025009155,0.20779645442962646,0.2920783460140228,0.02811010740697384,0.1267818808555603,0.2714554965496063
generally,0.40614598989486694,0.30597037076950073,0.3127037584781647,0.23363327980041504,0.4094115197658539,0.6714328527450562,0.09131764620542526,0.3352776765823364,0.017207007855176926,0.14830920100212097,0.23411904275417328
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.31965890526771545,0.658733606338501,0.46690207719802856,0.22883038222789764,0.36608949303627014,0.04866964742541313,0.23561611771583557,0.23916715383529663
human,0.24243313074111938,0.11649816483259201,0.3083189129829407,0.390146404504776,0.22481991350650787,0.2022598534822464,0.21727584302425385,0.265678733587265,0.03975607082247734,0.15432189404964447,0.19748784601688385
–,0.13008765876293182,0.016650723293423653,0.2799985408782959,0.16085465252399445,0.1436920464038849,0.14241451025009155,0.20779645442962646,0.2920783460140228,0.02811010740697384,0.1267818808555603,0.2714554965496063
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.26073622703552246,0.5668748617172241,0.3205535113811493,0.1778179407119751,0.2558172643184662,-0.040683966130018234,0.17561949789524078,0.15994466841220856
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.2255917638540268,0.39566612243652344,0.31339728832244873,0.12184444069862366,0.3295723795890808,-0.10734795778989792,0.290905624628067,0.24354910850524902
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.31965890526771545,0.658733606338501,0.46690207719802856,0.22883038222789764,0.36608949303627014,0.04866964742541313,0.23561611771583557,0.23916715383529663
constant,0.22559526562690735,0.16184170544147491,0.25393494963645935,0.13757112622261047,0.1972285658121109,0.2322162240743637,0.12354321032762527,0.17127257585525513,-0.015898186713457108,0.2211412489414215,0.14516431093215942
feature,0.23320603370666504,0.22898755967617035,0.2117752879858017,0.4994294047355652,0.2553035318851471,0.1878974735736847,0.13075022399425507,0.20225825905799866,-0.016047948971390724,0.11430506408214569,0.2893312871456146
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.15597935020923615,0.5394441485404968,0.28848564624786377,0.25567495822906494,0.2792111933231354,-0.037580832839012146,0.18601122498512268,0.20430970191955566
doctor,0.20870667695999146,0.08423732966184616,0.16895952820777893,0.28803032636642456,0.19875872135162354,0.13327519595623016,0.9999999403953552,0.3504868149757385,0.031664930284023285,0.42781779170036316,0.1462511420249939
who,0.40942975878715515,0.1257498413324356,0.2827862501144409,0.36102017760276794,0.24293622374534607,0.35319453477859497,0.3504868149757385,0.9999998807907104,0.05599616840481758,0.28241121768951416,0.26220351457595825
since,0.29783400893211365,0.17056550085544586,0.35513219237327576,0.14223289489746094,0.3567592203617096,0.19698971509933472,0.10913390666246414,0.27765995264053345,-0.04899144917726517,0.16758902370929718,0.2876587212085724
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.26240527629852295,0.5823672413825989,0.36782920360565186,0.2820442318916321,0.3733934462070465,-0.01540423184633255,0.2540271282196045,0.22068053483963013
programme,0.1876801699399948,0.16340595483779907,0.18707643449306488,0.15817733108997345,0.20126456022262573,0.20815329253673553,0.2561369240283966,0.2317163497209549,0.11070065200328827,0.19045956432819366,0.139840766787529
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,0.09194545447826385,0.02396530658006668,0.08620650321245193,0.031664930284023285,0.05599616840481758,0.9999999403953552,-0.05183550715446472,-0.023395681753754616
inception,0.22563821077346802,0.15521025657653809,0.3241853415966034,0.2867596745491028,0.24128596484661102,0.2224612534046173,0.14338350296020508,0.25845974683761597,0.00620659627020359,0.22296704351902008,0.14288537204265594
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.15597935020923615,0.5394441485404968,0.28848564624786377,0.25567495822906494,0.2792111933231354,-0.037580832839012146,0.18601122498512268,0.20430970191955566
1963,-0.01284969411790371,-0.035447072237730026,0.040411919355392456,0.08843576908111572,0.07947119325399399,-0.06547703593969345,0.008513279259204865,-0.045281361788511276,0.027023667469620705,0.04037020727992058,0.03411978855729103
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.271333783864975,0.4569662809371948,0.28580138087272644,0.22361043095588684,0.3541337847709656,-0.003708066651597619,0.1974223256111145,0.4130953550338745
,what,type,of,creature,is,usually,doctor,who,'s,companion,?
companions,0.18120864033699036,0.15748460590839386,0.23670142889022827,0.28252074122428894,0.16884438693523407,0.20813216269016266,0.4105963706970215,0.35028961300849915,-0.03501149266958237,0.9125710129737854,0.14333169162273407
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.28148216009140015,0.5330929756164551,0.5635237097740173,0.12730668485164642,0.27294138073921204,-0.008927806280553341,0.1391090303659439,0.24591213464736938
usually,0.32521089911460876,0.4050453305244446,0.33931583166122437,0.2639906108379364,0.4230746626853943,1.0000001192092896,0.13327519595623016,0.35319453477859497,0.08620650321245193,0.14293457567691803,0.19435347616672516
human,0.24243313074111938,0.11649816483259201,0.3083189129829407,0.390146404504776,0.22481991350650787,0.2022598534822464,0.21727584302425385,0.265678733587265,0.03975607082247734,0.15432189404964447,0.19748784601688385
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23146504163742065,0.4691906273365021,0.21946179866790771,0.20407600700855255,0.3365725874900818,-0.0016132977325469255,0.2139829695224762,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.30659613013267517,0.41870999336242676,0.654004693031311,0.21396701037883759,0.31144875288009644,0.06871571391820908,0.2012152373790741,0.32389625906944275
humanoid,0.20776492357254028,0.1273457258939743,0.21704627573490143,0.5373286008834839,0.2110157310962677,0.19300508499145508,0.29543888568878174,0.2366318702697754,0.02572726644575596,0.23602446913719177,0.21072997152805328
aliens,0.2284616231918335,0.13162748515605927,0.14201176166534424,0.43774986267089844,0.11148178577423096,0.1640535593032837,0.281643807888031,0.30102306604385376,0.038635801523923874,0.28078553080558777,0.1937696933746338
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.271333783864975,0.4569662809371948,0.28580138087272644,0.22361043095588684,0.3541337847709656,-0.003708066651597619,0.1974223256111145,0.4130953550338745
