,what,is,the,name,of,one,impressive,continuation,of,the,fermat,primality,test,?
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.42017561197280884,0.27898213267326355,0.2891343832015991,0.30478984117507935,0.39758381247520447,0.22476862370967865,0.23726950585842133,0.1658080518245697,0.27894994616508484
powerful,0.20215895771980286,0.22661225497722626,0.3115491271018982,0.13939213752746582,0.2867213189601898,0.37338051199913025,0.2770572900772095,0.13455893099308014,0.2867213189601898,0.3115491271018982,0.01583154872059822,0.09656322747468948,0.12503443658351898,0.12160622328519821
extensions,0.2237429916858673,0.23678432404994965,0.2811371684074402,0.17746274173259735,0.23649635910987854,0.15317152440547943,0.26288366317749023,0.2953236997127533,0.23649635910987854,0.2811371684074402,0.1639978587627411,0.24970701336860657,0.2211257666349411,0.267410010099411
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.4999135136604309,0.2346878945827484,0.32713258266448975,1.0,0.733189046382904,0.19480057060718536,0.28515246510505676,0.164191335439682,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5514441132545471,0.2336897850036621,0.41826045513153076,0.733189046382904,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
fermat,0.21418137848377228,0.21814440190792084,0.20773477852344513,0.15451081097126007,0.19480057060718536,0.2802874445915222,0.10543938726186752,0.24888953566551208,0.19480057060718536,0.20773477852344513,1.0000001192092896,0.37861356139183044,0.23552359640598297,0.19266122579574585
primality,0.2850114405155182,0.24844646453857422,0.25188151001930237,0.1399572342634201,0.28515246510505676,0.25304123759269714,0.20966637134552002,0.26305702328681946,0.28515246510505676,0.25188151001930237,0.37861356139183044,1.0,0.32035455107688904,0.24305593967437744
test,0.2596650719642639,0.1841357946395874,0.19235259294509888,0.10839720815420151,0.164191335439682,0.2596745491027832,0.2133287638425827,0.18090786039829254,0.164191335439682,0.19235259294509888,0.23552359640598297,0.32035455107688904,1.0000001192092896,0.19832737743854523
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3696635365486145,0.24559259414672852,0.2539788484573364,0.4946078956127167,0.4933079481124878,0.23757247626781464,0.2514013350009918,0.17614826560020447,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.14280109107494354,0.3209529519081116,0.3596789240837097,0.22952274978160858,0.23059456050395966,0.3209529519081116,0.3575236201286316,0.14184115827083588,0.28375497460365295,0.19516275823116302,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.3954789340496063,0.24330081045627594,0.28988713026046753,0.3886612355709076,0.48381632566452026,0.15061551332473755,0.22049500048160553,0.21085862815380096,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5514441132545471,0.2336897850036621,0.41826045513153076,0.733189046382904,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
