,what,is,a,twin,prime,?
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.1395738273859024,0.16581475734710693,0.25732165575027466
is,0.28837618231773376,1.0,0.658733606338501,0.18512579798698425,0.16680827736854553,0.22961433231830597
conjectured,0.24757727980613708,0.24741001427173615,0.2602980136871338,0.22522582113742828,0.33901482820510864,0.2194962203502655
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.11037977039813995,0.18163643777370453,0.32716336846351624
there,0.35085538029670715,0.3904260993003845,0.4214206337928772,0.19546779990196228,0.14719140529632568,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.1695997416973114,0.12279369682073593,0.24591213464736938
infinitely,0.3249160349369049,0.21537445485591888,0.2828744947910309,0.09580098092556,0.23920835554599762,0.3284112513065338
many,0.36131182312965393,0.2649032473564148,0.2872205972671509,0.1555980145931244,0.12904198467731476,0.2124512493610382
twin,0.07402893155813217,0.18512579798698425,0.17891985177993774,1.0000001192092896,0.21311038732528687,0.12249694019556046
primes,0.2505246102809906,0.2382466346025467,0.21026647090911865,0.2879462242126465,0.7104739546775818,0.18851876258850098
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.23140083253383636,0.2565026581287384,0.31091248989105225
pairs,0.1697886735200882,0.1598605364561081,0.21801026165485382,0.17439618706703186,0.10161861777305603,0.1550348997116089
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.1680169254541397,0.23935265839099884,0.1826142966747284
primes,0.2505246102809906,0.2382466346025467,0.21026647090911865,0.2879462242126465,0.7104739546775818,0.18851876258850098
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.24591243267059326,0.09384632855653763,0.2433311939239502
difference,0.4114832878112793,0.32414332032203674,0.3304765522480011,0.17313960194587708,0.1659717857837677,0.2842230200767517
2,-0.049862053245306015,-0.07940074801445007,-0.05323360115289688,-0.0443255715072155,0.058812014758586884,0.001977203879505396
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.1844554990530014,0.21646767854690552,0.40561532974243164
twin,0.07402893155813217,0.18512579798698425,0.17891985177993774,1.0000001192092896,0.21311038732528687,0.12249694019556046
prime,0.15586113929748535,0.16680827736854553,0.17998681962490082,0.21311038732528687,1.0,0.11276303976774216
conjecture,0.2976536452770233,0.29003211855888367,0.26609256863594055,0.18529698252677917,0.33211401104927063,0.23591084778308868
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.18828286230564117,0.20705947279930115,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.21622806787490845,0.17658381164073944,0.4130953550338745
