,what,are,the,specific,divisors,of,all,even,numbers,larger,than,2,?
no,0.339326947927475,0.2432553917169571,0.3461136817932129,0.29517310857772827,0.24925220012664795,0.24809792637825012,0.389975368976593,0.3647457957267761,0.24570758640766144,0.2062315046787262,0.322791188955307,-0.03855958208441734,0.32165053486824036
even,0.40872135758399963,0.43312960863113403,0.37996912002563477,0.2708643078804016,0.3367668092250824,0.34735506772994995,0.44047340750694275,0.9999999403953552,0.4181032180786133,0.3559529483318329,0.4934680163860321,-0.03395697474479675,0.30082517862319946
number,0.23046229779720306,0.3537501394748688,0.35145696997642517,0.326307475566864,0.47861936688423157,0.2778518795967102,0.3830430209636688,0.3470761179924011,0.7132124304771423,0.2661738395690918,0.2816639244556427,0.04057243838906288,0.19256845116615295
greater,0.1946859508752823,0.19981995224952698,0.2814446687698364,0.23314018547534943,0.29529309272766113,0.34470728039741516,0.22947192192077637,0.28894227743148804,0.21942506730556488,0.4403572082519531,0.4072994291782379,-0.03809231519699097,0.09723397344350815
than,0.29388150572776794,0.39206281304359436,0.3227543234825134,0.31217461824417114,0.32087790966033936,0.33036211133003235,0.30176207423210144,0.4934680163860321,0.2706771492958069,0.5064740180969238,1.0,-0.04757285863161087,0.24917294085025787
2,-0.049862053245306015,-0.028399748727679253,-0.019434669986367226,-0.019234593957662582,-0.021668557077646255,-0.013777675107121468,-0.06557616591453552,-0.03395697474479675,-0.025768423452973366,-0.04031788185238838,-0.04757285863161087,0.9999998807907104,0.001977203879505396
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.27748769521713257,0.26978355646133423,0.4854315221309662,0.2553904056549072,0.28202980756759644,0.19465886056423187,0.24218857288360596,0.2839990258216858,-0.07940074801445007,0.22961433231830597
prime,0.15586113929748535,0.12279369682073593,0.19960100948810577,0.118195541203022,0.3620528280735016,0.23935265839099884,0.13890503346920013,0.1619197428226471,0.26943376660346985,0.1134101077914238,0.1307777762413025,0.058812014758586884,0.11276303976774216
because,0.46729007363319397,0.43093472719192505,0.44596394896507263,0.29246875643730164,0.27762505412101746,0.4075504541397095,0.44457945227622986,0.6551824808120728,0.2719748616218567,0.2670814096927643,0.4122711718082428,-0.05085109919309616,0.2528740465641022
by,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.2610040307044983,0.18698154389858246,0.3646814823150635,0.2944089472293854,0.2642922103404999,0.21251529455184937,0.25135114789009094,0.2015816867351532,-0.038811419159173965,0.17966607213020325
definition,0.330344021320343,0.2561403512954712,0.23176956176757812,0.3692733943462372,0.3455112874507904,0.24912455677986145,0.2517015039920807,0.376405268907547,0.3353786766529083,0.2130572348833084,0.3342207372188568,-0.04719690978527069,0.2796523869037628
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24305859208106995,0.2669270634651184,0.4946078956127167,0.425624817609787,0.34610581398010254,0.26479464769363403,0.2491181194782257,0.3371901512145996,-0.08638399094343185,0.31091248989105225
any,0.43670421838760376,0.40178635716438293,0.4525727927684784,0.5268811583518982,0.3762441575527191,0.3769088089466095,0.5059395432472229,0.5437874794006348,0.3530762493610382,0.2940545380115509,0.4801669418811798,-0.07780590653419495,0.4113408327102661
such,0.23989605903625488,0.4654397666454315,0.3575236201286316,0.36387842893600464,0.23402509093284607,0.3209529519081116,0.38558536767959595,0.4102804362773895,0.2737357020378113,0.32803186774253845,0.4386829137802124,0.0024840845726430416,0.17851735651493073
number,0.23046229779720306,0.3537501394748688,0.35145696997642517,0.326307475566864,0.47861936688423157,0.2778518795967102,0.3830430209636688,0.3470761179924011,0.7132124304771423,0.2661738395690918,0.2816639244556427,0.04057243838906288,0.19256845116615295
n,0.16510315239429474,0.17244575917720795,0.18813885748386383,0.19079332053661346,0.2821543514728546,0.18925218284130096,0.135959193110466,0.17372854053974152,0.2380986362695694,0.1305670291185379,0.17394788563251495,0.02811329811811447,0.19161871075630188
has,0.20338068902492523,0.4313911199569702,0.4177538752555847,0.23719513416290283,0.20378506183624268,0.3909035325050354,0.3343993127346039,0.36338135600090027,0.17843097448349,0.2611818015575409,0.32792407274246216,-0.11922254413366318,0.15994466841220856
at,0.2838611304759979,0.2074895054101944,0.457212895154953,0.17186251282691956,0.1637939065694809,0.42558613419532776,0.3001944422721863,0.24857373535633087,0.13052843511104584,0.16844189167022705,0.27679139375686646,0.043934281915426254,0.21978627145290375
least,0.3337163031101227,0.3839871287345886,0.3428877890110016,0.30139005184173584,0.283053457736969,0.32696738839149475,0.45686471462249756,0.38777706027030945,0.25209686160087585,0.20138266682624817,0.4221368134021759,0.05665116012096405,0.28866854310035706
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,0.21642157435417175,0.30253469944000244,0.3844621181488037,0.3989922106266022,0.2926880121231079,0.2544043958187103,0.20762361586093903,0.3105981945991516,0.019987808540463448,0.20928427577018738
distinct,0.2610252797603607,0.3697589337825775,0.28305986523628235,0.36952441930770874,0.3610091805458069,0.3053031265735626,0.2863774001598358,0.29665037989616394,0.24653354287147522,0.3511679172515869,0.32516682147979736,-0.07999980449676514,0.09523114562034607
divisors,0.269854873418808,0.36426451802253723,0.2761973440647125,0.2757972180843353,1.0,0.30368632078170776,0.35075217485427856,0.3367668092250824,0.5682448148727417,0.27011898159980774,0.32087790966033936,-0.021668557077646255,0.19582416117191315
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24305859208106995,0.2669270634651184,0.4946078956127167,0.425624817609787,0.34610581398010254,0.26479464769363403,0.2491181194782257,0.3371901512145996,-0.08638399094343185,0.31091248989105225
namely,0.25631916522979736,0.34421002864837646,0.309270441532135,0.2245306819677353,0.34024685621261597,0.34566161036491394,0.3333260715007782,0.30801594257354736,0.22433173656463623,0.2636852562427521,0.2536720931529999,-0.04111636057496071,0.18782232701778412
1,-0.21266892552375793,-0.2175680249929428,-0.1554475575685501,-0.3068067133426666,-0.2115272879600525,-0.09473495930433273,-0.24701951444149017,-0.27845096588134766,-0.23353983461856842,-0.10698997974395752,-0.1783061921596527,-0.021329615265130997,-0.249979168176651
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24305859208106995,0.2669270634651184,0.4946078956127167,0.425624817609787,0.34610581398010254,0.26479464769363403,0.2491181194782257,0.3371901512145996,-0.08638399094343185,0.31091248989105225
2,-0.049862053245306015,-0.028399748727679253,-0.019434669986367226,-0.019234593957662582,-0.021668557077646255,-0.013777675107121468,-0.06557616591453552,-0.03395697474479675,-0.025768423452973366,-0.04031788185238838,-0.04757285863161087,0.9999998807907104,0.001977203879505396
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24305859208106995,0.2669270634651184,0.4946078956127167,0.425624817609787,0.34610581398010254,0.26479464769363403,0.2491181194782257,0.3371901512145996,-0.08638399094343185,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.25608575344085693,0.25846266746520996,0.5116966962814331,0.4542157053947449,0.4625037908554077,0.24053069949150085,0.34781917929649353,0.39361441135406494,-0.0926629975438118,0.20544172823429108
n.,0.07859472185373306,-0.013896913267672062,-0.17575061321258545,-0.1167299747467041,-0.13978679478168488,-0.1781664937734604,-0.08673663437366486,0.056687112897634506,-0.07288281619548798,-0.1687024086713791,-0.07221844792366028,-0.006518429145216942,0.04318316653370857
this,0.5489566326141357,0.35762670636177063,0.6274310946464539,0.4508054256439209,0.301339328289032,0.45148900151252747,0.4746263027191162,0.4644889533519745,0.30999889969825745,0.33173298835754395,0.42539164423942566,-0.017235463485121727,0.3155723512172699
implies,0.33707395195961,0.3301154375076294,0.23583805561065674,0.38605424761772156,0.32573410868644714,0.2750009000301361,0.3104407787322998,0.4414583146572113,0.25143691897392273,0.24907587468624115,0.3558484613895416,0.009256069548428059,0.24269460141658783
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.38467007875442505,0.3084642291069031,0.41498205065727234,0.53305584192276,0.5503504276275635,0.342125803232193,0.3079192042350769,0.4891277849674225,-0.04901214689016342,0.32716336846351624
n,0.16510315239429474,0.17244575917720795,0.18813885748386383,0.19079332053661346,0.2821543514728546,0.18925218284130096,0.135959193110466,0.17372854053974152,0.2380986362695694,0.1305670291185379,0.17394788563251495,0.02811329811811447,0.19161871075630188
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.27748769521713257,0.26978355646133423,0.4854315221309662,0.2553904056549072,0.28202980756759644,0.19465886056423187,0.24218857288360596,0.2839990258216858,-0.07940074801445007,0.22961433231830597
not,0.5449194312095642,0.46186959743499756,0.4310511648654938,0.3611009120941162,0.34721988439559937,0.3307090103626251,0.4974499046802521,0.6105154752731323,0.3080960810184479,0.2550850212574005,0.3858577013015747,-0.06483332812786102,0.41942933201789856
prime,0.15586113929748535,0.12279369682073593,0.19960100948810577,0.118195541203022,0.3620528280735016,0.23935265839099884,0.13890503346920013,0.1619197428226471,0.26943376660346985,0.1134101077914238,0.1307777762413025,0.058812014758586884,0.11276303976774216
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2631765305995941,0.2550763785839081,0.5352458953857422,0.43406882882118225,0.3729337155818939,0.2591777741909027,0.25803330540657043,0.3594527542591095,-0.037111926823854446,0.4130953550338745
