,what,type,of,government,investigations,apply,to,civil,disobedience,?
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.27652618288993835,0.26225560903549194,0.28066033124923706,0.40243685245513916,0.2212105095386505,0.2810143232345581,0.2124512493610382
of,0.33290785551071167,0.18112817406654358,1.0,0.3475167155265808,0.2303210347890854,0.23030845820903778,0.41548454761505127,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.31798112392425537,0.2768571972846985,0.23137710988521576,0.535392165184021,0.2477465271949768,0.30963727831840515,0.22068053483963013
same,0.3764382302761078,0.23870258033275604,0.3808329105377197,0.17354314029216766,0.2005867213010788,0.32888466119766235,0.3205692768096924,0.2058480679988861,0.21625900268554688,0.22649677097797394
decisions,0.3351972997188568,0.14754891395568848,0.2881335914134979,0.3606157898902893,0.3792681396007538,0.33947640657424927,0.32702770829200745,0.24488519132137299,0.3744994103908539,0.29068708419799805
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2859337627887726,0.20238573849201202,0.2759774923324585,0.48971283435821533,0.25259146094322205,0.3041999638080597,0.20544172823429108
principles,0.3122304081916809,0.1875305473804474,0.25854504108428955,0.22924453020095825,0.30739492177963257,0.3788984715938568,0.22974111139774323,0.18284942209720612,0.46053189039230347,0.19203636050224304
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.29558056592941284,0.3027676045894623,0.39202404022216797,0.5436353087425232,0.16867391765117645,0.3551425039768219,0.32716336846351624
apply,0.3400125503540039,0.20450221002101898,0.23030845820903778,0.19604219496250153,0.1982186734676361,0.9999998807907104,0.3410952687263489,0.1575603038072586,0.2940084934234619,0.3161788284778595
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.3066793978214264,0.2534966468811035,0.22638879716396332,0.45010748505592346,0.26466667652130127,0.3054615259170532,0.20430970191955566
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.25909486413002014,0.2352348119020462,0.34919416904449463,0.4193183183670044,0.17309200763702393,0.24770691990852356,0.24682199954986572
criminal,0.21020962297916412,0.09911449253559113,0.22688241302967072,0.2812667787075043,0.48156845569610596,0.2569260597229004,0.21600425243377686,0.30901670455932617,0.45055344700813293,0.17345646023750305
investigations,0.20865970849990845,0.10430856049060822,0.2303210347890854,0.2951968312263489,1.0,0.1982186734676361,0.17082583904266357,0.20931191742420197,0.3568483889102936,0.14811140298843384
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2859337627887726,0.20238573849201202,0.2759774923324585,0.48971283435821533,0.25259146094322205,0.3041999638080597,0.20544172823429108
arrests,0.1708858609199524,0.057584621012210846,0.22793275117874146,0.39492836594581604,0.4464694857597351,0.1720241755247116,0.2647465169429779,0.22810454666614532,0.4683699309825897,0.13915199041366577
arise,0.35422998666763306,0.13178101181983948,0.2695748209953308,0.20640861988067627,0.2846232056617737,0.3607197701931,0.28073951601982117,0.1712670475244522,0.30714789032936096,0.2458506077528
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.262620747089386,0.22045917809009552,0.23909862339496613,0.5348826050758362,0.22241419553756714,0.30266615748405457,0.21848613023757935
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.3066793978214264,0.2534966468811035,0.22638879716396332,0.45010748505592346,0.26466667652130127,0.3054615259170532,0.20430970191955566
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.30626749992370605,0.20931191742420197,0.1575603038072586,0.2019355595111847,1.0,0.5442691445350647,0.1494513899087906
