,in,which,year,did,john,sheepshanks,donated,a,large,collection,of,paintings,?
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.22177861630916595,0.2991338074207306,0.2671816647052765,0.539380669593811,0.2841601073741913,0.23004686832427979,0.5696388483047485,0.2264205515384674,0.20430970191955566
1857,0.008796458132565022,0.16274131834506989,0.10981637239456177,0.0872526690363884,-0.08969142287969589,0.0015483234310522676,0.16182605922222137,0.05741613730788231,0.11512414366006851,0.1833822876214981,0.10165759176015854,0.02965756133198738,0.07002107053995132
john,0.22177861630916595,0.20415355265140533,0.13745838403701782,0.18785913288593292,1.0000001192092896,0.3003201186656952,0.17012862861156464,0.20638683438301086,0.05326656624674797,0.14187732338905334,0.2407056987285614,0.1214088574051857,0.13162356615066528
sheepshanks,0.2991338074207306,0.3156430125236511,0.18285956978797913,0.236932173371315,0.3003201186656952,1.0,0.21179375052452087,0.30057379603385925,0.29410064220428467,0.22263027727603912,0.23987549543380737,0.31781435012817383,0.26307445764541626
donated,0.2671816647052765,0.26752161979675293,0.2360195517539978,0.20154082775115967,0.17012862861156464,0.21179375052452087,0.9999998807907104,0.25708192586898804,0.25674912333488464,0.3425122797489166,0.27521181106567383,0.34472015500068665,0.10052662342786789
233,0.08455710113048553,0.027183672413229942,0.1482018083333969,0.12346035987138748,0.19291822612285614,0.1961708962917328,0.04551561176776886,0.08432742208242416,0.09405558556318283,0.013954141177237034,0.010215288028120995,0.1642085462808609,0.15934571623802185
paintings,0.2264205515384674,0.207008495926857,0.16209262609481812,0.22205068171024323,0.1214088574051857,0.31781435012817383,0.34472015500068665,0.15623857080936432,0.20937684178352356,0.3678726255893707,0.21768251061439514,1.0,0.1866389960050583
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.23961079120635986,0.3846465051174164,0.2569865584373474,0.427140474319458,0.2263888567686081,0.2277175933122635,0.4946078956127167,0.22040317952632904,0.31091248989105225
mainly,0.353954017162323,0.4569816291332245,0.08905177563428879,0.17338213324546814,0.16730929911136627,0.31656530499458313,0.19562441110610962,0.3235919773578644,0.4278707504272461,0.20353619754314423,0.3325652480125427,0.14844375848770142,0.07608037441968918
by,0.370934396982193,0.40543368458747864,0.28805047273635864,0.18574509024620056,0.2502059042453766,0.3757704794406891,0.24880395829677582,0.32094135880470276,0.2555539309978485,0.2678082287311554,0.3646814823150635,0.24946486949920654,0.17966607213020325
contemporary,0.25818222761154175,0.22929219901561737,0.17726363241672516,0.21341855823993683,0.19271551072597504,0.21759819984436035,0.22848476469516754,0.1928429901599884,0.16887174546718597,0.30696168541908264,0.2923402488231659,0.3579981327056885,0.09539991617202759
british,0.23084034025669098,0.2002234309911728,0.16501371562480927,0.2039594054222107,0.2667495906352997,0.31396764516830444,0.1522148698568344,0.1984395682811737,0.1757306456565857,0.15021207928657532,0.23701532185077667,0.16699564456939697,0.09711728990077972
artists,0.1669624298810959,0.15925386548042297,0.17299948632717133,0.20933641493320465,0.1472584307193756,0.28953954577445984,0.19301623106002808,0.14613932371139526,0.20514394342899323,0.28915879130363464,0.18416832387447357,0.525743842124939,0.1482434719800949
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.23961079120635986,0.3846465051174164,0.2569865584373474,0.427140474319458,0.2263888567686081,0.2277175933122635,0.4946078956127167,0.22040317952632904,0.31091248989105225
and,0.4954058527946472,0.506277859210968,0.2506658732891083,0.34479495882987976,0.21634717285633087,0.3736935555934906,0.2513214945793152,0.3739250600337982,0.3404269814491272,0.2379438579082489,0.5116966962814331,0.2532086968421936,0.20544172823429108
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.20638683438301086,0.30057379603385925,0.25708192586898804,1.0,0.3740714490413666,0.24716788530349731,0.5052502155303955,0.15623857080936432,0.23916715383529663
similar,0.28091391921043396,0.4783022403717041,0.1461145281791687,0.29411372542381287,0.08773703128099442,0.19343295693397522,0.1729986071586609,0.34790337085723877,0.3272748291492462,0.1751495599746704,0.2911645472049713,0.13490474224090576,0.23309361934661865
number,0.3024539053440094,0.3661547005176544,0.23178748786449432,0.19046731293201447,0.1263035535812378,0.1822153627872467,0.17024017870426178,0.2992287278175354,0.3316781520843506,0.2639670670032501,0.2778518795967102,0.10740683227777481,0.19256845116615295
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.2407056987285614,0.23987549543380737,0.27521181106567383,0.5052502155303955,0.3569655418395996,0.2915455996990204,1.0,0.21768251061439514,0.1826142966747284
drawings,0.18445944786071777,0.23354779183864594,0.06543227285146713,0.210775688290596,0.12626059353351593,0.3229633569717407,0.2965519428253174,0.15433108806610107,0.21973629295825958,0.3887491524219513,0.23873206973075867,0.608963131904602,0.15541397035121918
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.2070634365081787,0.3082112967967987,0.25148287415504456,0.45503583550453186,0.3150999844074249,0.15417452156543732,0.41548454761505127,0.21597011387348175,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.2230520099401474,0.33741626143455505,0.24606364965438843,0.5829201340675354,0.3828733265399933,0.25281965732574463,0.733189046382904,0.2167874127626419,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.14870306849479675,0.14412403106689453,0.18640516698360443,0.32454055547714233,0.14725451171398163,0.2379295378923416,0.4441815912723541,0.23314370214939117,0.3647291660308838,0.14128351211547852
with,0.4080928862094879,0.46403205394744873,0.3220449686050415,0.25472134351730347,0.1736196130514145,0.3228703439235687,0.22566799819469452,0.3783375024795532,0.26124298572540283,0.16466663777828217,0.41827285289764404,0.1865503191947937,0.2433311939239502
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.2230520099401474,0.33741626143455505,0.24606364965438843,0.5829201340675354,0.3828733265399933,0.25281965732574463,0.733189046382904,0.2167874127626419,0.22068053483963013
