,what,has,the,avoidance,of,men,to,become,teachers,caused,",",in,some,areas,?
this,0.5489566326141357,0.4198763072490692,0.6274310946464539,0.3557187616825104,0.45148900151252747,0.22589419782161713,0.5759071707725525,0.32014283537864685,0.19526737928390503,0.2965903580188751,0.4316047728061676,0.45205554366111755,0.5247883796691895,0.25828781723976135,0.3155723512172699
has,0.20338068902492523,1.0,0.4177538752555847,0.15510548651218414,0.3909035325050354,0.16893871128559113,0.3619994819164276,0.30010637640953064,0.14576952159404755,0.1852779984474182,0.3734780251979828,0.4173259735107422,0.3587830364704132,0.26786115765571594,0.15994466841220856
in,0.30808621644973755,0.4173259735107422,0.6662389636039734,0.2364904135465622,0.5696388483047485,0.27064284682273865,0.45010748505592346,0.23238378763198853,0.2128150761127472,0.2494886964559555,0.5201468467712402,1.0,0.4010399878025055,0.33029478788375854,0.20430970191955566
some,0.4491020441055298,0.3587830364704132,0.4566698372364044,0.3366635739803314,0.4300730526447296,0.19079309701919556,0.4636894166469574,0.3464999496936798,0.3189203441143036,0.2864207625389099,0.42400437593460083,0.4010399878025055,0.9999999403953552,0.3996925950050354,0.2562315762042999
jurisdictions,0.2691689431667328,0.19350074231624603,0.2714405059814453,0.2802489101886749,0.29086312651634216,0.17454558610916138,0.2819231450557709,0.14691221714019775,0.232480987906456,0.18076293170452118,0.22841385006904602,0.23086023330688477,0.30023348331451416,0.3859114646911621,0.20752876996994019
reportedly,0.21226909756660461,0.21526263654232025,0.23811356723308563,0.22857137024402618,0.16609424352645874,0.2319575697183609,0.23860850930213928,0.11740488559007645,0.1950124353170395,0.28889933228492737,0.22147077322006226,0.18225398659706116,0.2272634208202362,0.15683947503566742,0.14895299077033997
led,0.12112844735383987,0.1884450763463974,0.3267505168914795,0.24659061431884766,0.32918456196784973,0.32342037558555603,0.21815308928489685,0.2316819727420807,0.1775604486465454,0.40969040989875793,0.22548827528953552,0.2990247309207916,0.2666991651058197,0.15766705572605133,0.09273858368396759
to,0.455847829580307,0.3619994819164276,0.535392165184021,0.23236601054668427,0.41548454761505127,0.24045762419700623,1.0,0.36996012926101685,0.2668606638908386,0.2414499819278717,0.44245919585227966,0.45010748505592346,0.4636894166469574,0.29808273911476135,0.29463258385658264
a,0.3320399522781372,0.4670248031616211,0.5829201340675354,0.3055207431316376,0.5052502155303955,0.18371513485908508,0.45503583550453186,0.3215816617012024,0.2509842813014984,0.22472180426120758,0.427140474319458,0.539380669593811,0.34539633989334106,0.24730755388736725,0.23916715383529663
shortage,0.2864443063735962,0.23313795030117035,0.31014639139175415,0.34430280327796936,0.3016875982284546,0.20489348471164703,0.3648369014263153,0.2775699198246002,0.23934905230998993,0.29277503490448,0.3075525164604187,0.30103394389152527,0.3924548625946045,0.31257444620132446,0.19423167407512665
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.26113685965538025,1.0,0.2133621722459793,0.41548454761505127,0.31678006052970886,0.27737662196159363,0.29665443301200867,0.4946078956127167,0.5696388483047485,0.4300730526447296,0.2803763747215271,0.1826142966747284
male,0.18103918433189392,0.17484773695468903,0.2487100213766098,0.10970950871706009,0.22521720826625824,0.3379872143268585,0.2270790934562683,0.19158869981765747,0.19324031472206116,0.032109301537275314,0.19301897287368774,0.1523800492286682,0.22113138437271118,0.14368772506713867,0.14269542694091797
teachers,0.2526462972164154,0.14576952159404755,0.22025763988494873,0.2196923941373825,0.27737662196159363,0.2718508243560791,0.2668606638908386,0.228617861866951,1.0,0.09989804029464722,0.28049156069755554,0.2128150761127472,0.3189203441143036,0.2199343591928482,0.19522249698638916
.,0.3567904531955719,0.4105546176433563,0.5934505462646484,0.21784088015556335,0.5352458953857422,0.25083568692207336,0.4645031690597534,0.32859939336776733,0.24628326296806335,0.2413787543773651,0.6812511086463928,0.5591574311256409,0.40663889050483704,0.23760369420051575,0.4130953550338745
