,phagocytes,can,be,called,to,a,specific,location,by,what,?
phagocytes,0.9999999403953552,0.35396116971969604,0.25749778747558594,0.2526703476905823,0.21744151413440704,0.20977525413036346,0.29181528091430664,0.045488763600587845,0.2113724648952484,0.2258819192647934,0.21603655815124512
generally,0.26167502999305725,0.46982342004776,0.4973081350326538,0.32207953929901123,0.3871513605117798,0.37653425335884094,0.4585024118423462,0.17832569777965546,0.2987501621246338,0.40614598989486694,0.23411904275417328
patrol,0.2182934731245041,0.14159829914569855,0.15527920424938202,0.08593439310789108,0.21850314736366272,0.17254380881786346,0.08634322136640549,0.09286201000213623,0.1631024032831192,0.18773683905601501,0.15909674763679504
the,0.18778933584690094,0.312528520822525,0.4248143136501312,0.489897221326828,0.535392165184021,0.5829201340675354,0.3501757085323334,0.351087361574173,0.4408751428127289,0.42745697498321533,0.22068053483963013
body,0.3875851333141327,0.2680990397930145,0.28826382756233215,0.24747388064861298,0.307265043258667,0.26263290643692017,0.28025946021080017,0.10897783190011978,0.23696592450141907,0.2143840193748474,0.20136451721191406
searching,0.17449019849300385,0.23173044621944427,0.20628532767295837,0.16888009011745453,0.3059254288673401,0.25525227189064026,0.22541266679763794,0.21558573842048645,0.16860954463481903,0.26203444600105286,0.25871166586875916
for,0.1933351755142212,0.35690054297447205,0.3801851272583008,0.29870352149009705,0.4451248347759247,0.44038116931915283,0.36453771591186523,0.23991359770298004,0.3248702883720398,0.3017193675041199,0.264628142118454
pathogens,0.7449630498886108,0.3723437786102295,0.25967881083488464,0.20207016170024872,0.26178881525993347,0.21121124923229218,0.3651876449584961,0.10286050289869308,0.20554135739803314,0.24503889679908752,0.21364152431488037
",",0.20911818742752075,0.3139454126358032,0.39254459738731384,0.26549121737480164,0.44245919585227966,0.427140474319458,0.24305859208106995,0.25077858567237854,0.3680937886238098,0.3087472915649414,0.31091248989105225
but,0.22532935440540314,0.4161612093448639,0.5764366984367371,0.34633150696754456,0.5542377829551697,0.44750767946243286,0.28462567925453186,0.20267635583877563,0.3159136474132538,0.5029441118240356,0.27921953797340393
can,0.35396116971969604,1.0,0.5791122913360596,0.306973397731781,0.4979398250579834,0.3915780484676361,0.4094622731208801,0.186631977558136,0.29642900824546814,0.34502777457237244,0.3226337134838104
be,0.25749778747558594,0.5791122913360596,1.0,0.2761072516441345,0.4972836375236511,0.39883795380592346,0.41437941789627075,0.2322239875793457,0.43158695101737976,0.3929833769798279,0.3324260413646698
called,0.2526703476905823,0.306973397731781,0.2761072516441345,1.0,0.2987143397331238,0.4868806302547455,0.21085023880004883,0.10381856560707092,0.3092815577983856,0.3235960602760315,0.18963319063186646
to,0.21744151413440704,0.4979398250579834,0.4972836375236511,0.2987143397331238,1.0,0.45503583550453186,0.3962339460849762,0.2590580880641937,0.33534231781959534,0.455847829580307,0.29463258385658264
specific,0.29181528091430664,0.4094622731208801,0.41437941789627075,0.21085023880004883,0.3962339460849762,0.3531852960586548,1.0000001192092896,0.24314814805984497,0.2610040307044983,0.37695175409317017,0.30923372507095337
locations,0.13554182648658752,0.2908288538455963,0.2794824540615082,0.13685312867164612,0.29775765538215637,0.22948916256427765,0.28164243698120117,0.8220941424369812,0.2575421631336212,0.21363390982151031,0.14570996165275574
by,0.2113724648952484,0.29642900824546814,0.43158695101737976,0.3092815577983856,0.33534231781959534,0.32094135880470276,0.2610040307044983,0.2652251422405243,1.0000001192092896,0.2455483376979828,0.17966607213020325
cytokines,0.7393000721931458,0.3335571587085724,0.27764421701431274,0.29748761653900146,0.24787235260009766,0.27230262756347656,0.4129287302494049,0.1629837453365326,0.23592901229858398,0.23624680936336517,0.15750601887702942
.,0.215576171875,0.35783761739730835,0.4383580684661865,0.300344854593277,0.4645031690597534,0.50484299659729,0.2631765305995941,0.27818506956100464,0.3936232924461365,0.3567904531955719,0.4130953550338745
