,new,cameras,were,introduced,for,the,game,",",what,degree,of,view,do,they,provide,viewers,?
cbs,0.17091993987560272,0.22888387739658356,0.17166459560394287,0.11964559555053711,0.20941372215747833,0.2283918708562851,0.3367152214050293,0.18569420278072357,0.1950361132621765,0.12159660458564758,0.16151919960975647,0.10728363692760468,0.09816993027925491,0.19875462353229523,0.10569320619106293,0.36970505118370056,0.14594407379627228
introduced,0.285953551530838,0.17623065412044525,0.27468806505203247,1.0,0.2018822282552719,0.242969810962677,0.16931916773319244,0.22034090757369995,0.09417270123958588,0.20009112358093262,0.23328952491283417,0.04547453671693802,0.1117100864648819,0.23678191006183624,0.2114887684583664,0.12007344514131546,0.16386865079402924
new,0.9999999403953552,0.16705705225467682,0.21711495518684387,0.285953551530838,0.2700757384300232,0.3845241069793701,0.20104768872261047,0.36073189973831177,0.2130378633737564,0.12806136906147003,0.343457967042923,0.15748095512390137,0.21221688389778137,0.2588704824447632,0.1687231808900833,0.1999797523021698,0.14782847464084625
features,0.32841989398002625,0.34826380014419556,0.2578813135623932,0.2638690173625946,0.28744247555732727,0.29863014817237854,0.26691365242004395,0.2743610739707947,0.20126673579216003,0.16108480095863342,0.2464914619922638,0.1892053633928299,0.18857921659946442,0.2664065659046173,0.3406333029270172,0.28417810797691345,0.23497378826141357
during,0.19458933174610138,0.21300464868545532,0.4064035415649414,0.20965181291103363,0.3448435664176941,0.4838213622570038,0.23073366284370422,0.3225448727607727,0.24137552082538605,0.1881594955921173,0.3869180977344513,0.16323906183242798,0.1831897497177124,0.31528279185295105,0.15407399833202362,0.19237957894802094,0.1325719803571701
the,0.3845241069793701,0.2402329444885254,0.3906462490558624,0.242969810962677,0.4739971458911896,1.0,0.285271555185318,0.4933079481124878,0.42745697498321533,0.20765221118927002,0.733189046382904,0.25610461831092834,0.30239659547805786,0.49925389885902405,0.26373472809791565,0.24207380414009094,0.22068053483963013
telecast,0.1972183734178543,0.36042580008506775,0.16974793374538422,0.1999298334121704,0.2551653981208801,0.25070837140083313,0.3229580521583557,0.25412067770957947,0.17870260775089264,0.10215243697166443,0.16529351472854614,0.13375629484653473,0.11391875147819519,0.23334206640720367,0.163543701171875,0.41890138387680054,0.1429772824048996
",",0.36073189973831177,0.22994861006736755,0.36755475401878357,0.22034090757369995,0.4464869201183319,0.4933079481124878,0.2653886377811432,1.0000001192092896,0.3087472915649414,0.1912073791027069,0.4946078956127167,0.216712087392807,0.3283645510673523,0.390799880027771,0.20966707170009613,0.18595917522907257,0.31091248989105225
including,0.21702982485294342,0.24088191986083984,0.41511550545692444,0.28614628314971924,0.42507120966911316,0.3738902807235718,0.15482984483242035,0.4127510190010071,0.18328791856765747,0.16052550077438354,0.44195112586021423,0.09930005669593811,0.18796655535697937,0.262778639793396,0.25678080320358276,0.14509226381778717,0.1633303165435791
pylon,0.13166603446006775,0.2908380925655365,0.21102800965309143,0.1626482903957367,0.14972147345542908,0.2435840517282486,0.22842232882976532,0.1579803228378296,0.15739646553993225,0.12776780128479004,0.19698308408260345,0.16799718141555786,0.0830778256058693,0.23949256539344788,0.2328207939863205,0.1963001787662506,0.1543668806552887
