,other,than,point,conception,",",what,landmark,is,used,in,the,other,definition,of,southern,california,?
another,0.4440920054912567,0.3526041507720947,0.27587398886680603,0.2736102044582367,0.3283841907978058,0.4190070629119873,0.2166031301021576,0.41278526186943054,0.2980952560901642,0.3397690951824188,0.5019711852073669,0.4440920054912567,0.2696106731891632,0.38147079944610596,0.12492156028747559,0.1454266458749771,0.295511931180954
definition,0.2703663408756256,0.3342207372188568,0.31866204738616943,0.3955181837081909,0.24771931767463684,0.330344021320343,0.142276793718338,0.29006320238113403,0.29203373193740845,0.20306213200092316,0.23176956176757812,0.2703663408756256,1.0,0.24912455677986145,0.1034817099571228,0.17904339730739594,0.2796523869037628
for,0.3273986279964447,0.30793827772140503,0.22027306258678436,0.260425329208374,0.4464869201183319,0.3017193675041199,0.21768541634082794,0.43268078565597534,0.4236139953136444,0.4322226941585541,0.4739971458911896,0.3273986279964447,0.2789401710033417,0.4185989499092102,0.14496514201164246,0.23038740456104279,0.264628142118454
southern,0.22025135159492493,0.16775213181972504,0.15319910645484924,0.06665686517953873,0.2795628309249878,0.18679563701152802,0.13517923653125763,0.2419366091489792,0.1475580930709839,0.3190481662750244,0.3282862603664398,0.22025135159492493,0.1034817099571228,0.31933003664016724,1.0,0.2983402609825134,0.11225555837154388
california,0.19346874952316284,0.17079950869083405,0.13981984555721283,0.16100458800792694,0.2704589068889618,0.1811584085226059,0.21313387155532837,0.20727038383483887,0.13606397807598114,0.2772824168205261,0.2750805914402008,0.19346874952316284,0.17904339730739594,0.24929828941822052,0.2983402609825134,1.0,0.1409905105829239
uses,0.2774812877178192,0.28979262709617615,0.2028588354587555,0.1725952923297882,0.28387847542762756,0.1933930367231369,0.06158487871289253,0.41359779238700867,0.645188570022583,0.2516363263130188,0.2830192744731903,0.2774812877178192,0.2580747902393341,0.2738003432750702,0.11634056270122528,0.1218428760766983,0.18407079577445984
point,0.24576379358768463,0.21799813210964203,0.9999998807907104,0.2517877221107483,0.28971099853515625,0.3286605179309845,0.11478018760681152,0.29601794481277466,0.1886732280254364,0.24451331794261932,0.3084787130355835,0.24576379358768463,0.31866204738616943,0.269877165555954,0.15319910645484924,0.13981984555721283,0.19189560413360596
conception,0.245061457157135,0.2564767301082611,0.2517877221107483,0.9999999403953552,0.26697906851768494,0.284974068403244,0.21145115792751312,0.29992517828941345,0.16425274312496185,0.28241026401519775,0.29475459456443787,0.245061457157135,0.3955181837081909,0.3158630430698395,0.06665686517953873,0.16100458800792694,0.16465921700000763
and,0.5504306554794312,0.39361441135406494,0.23319636285305023,0.247016042470932,0.6633074283599854,0.31309178471565247,0.1993752121925354,0.3859752118587494,0.3150506615638733,0.4954058527946472,0.5171257257461548,0.5504306554794312,0.1981266289949417,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.20544172823429108
the,0.44152235984802246,0.3227543234825134,0.3084787130355835,0.29475459456443787,0.4933079481124878,0.42745697498321533,0.26586976647377014,0.5823672413825989,0.3718377649784088,0.6662389636039734,1.0,0.44152235984802246,0.23176956176757812,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
tehachapi,0.16364629566669464,0.12912586331367493,0.1734963357448578,0.11029447615146637,0.33560389280319214,0.28426891565322876,0.3025245666503906,0.3005724549293518,0.16618093848228455,0.2905662953853607,0.3206006586551666,0.16364629566669464,0.0901380255818367,0.2956123948097229,0.2661155164241791,0.31922775506973267,0.16860505938529968
mountains,0.1606949418783188,0.1426095962524414,0.23096540570259094,0.052100978791713715,0.2542361319065094,0.1498076319694519,0.15313683450222015,0.2538272738456726,0.11020966619253159,0.27267226576805115,0.27269288897514343,0.1606949418783188,0.07726021856069565,0.22132478654384613,0.334571897983551,0.24200895428657532,0.08633821457624435
as,0.42805421352386475,0.40532299876213074,0.1902783066034317,0.2748660147190094,0.48816442489624023,0.31749409437179565,0.2251753956079483,0.43216490745544434,0.35160550475120544,0.3887844979763031,0.48381632566452026,0.42805421352386475,0.30895569920539856,0.3886612355709076,0.17950406670570374,0.1933012157678604,0.27043893933296204
the,0.44152235984802246,0.3227543234825134,0.3084787130355835,0.29475459456443787,0.4933079481124878,0.42745697498321533,0.26586976647377014,0.5823672413825989,0.3718377649784088,0.6662389636039734,1.0,0.44152235984802246,0.23176956176757812,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
northern,0.2566784620285034,0.17106010019779205,0.1502375304698944,0.10376093536615372,0.29473260045051575,0.19332477450370789,0.0979425460100174,0.25616052746772766,0.1416221261024475,0.3545122444629669,0.3422943353652954,0.2566784620285034,0.08475175499916077,0.32586339116096497,0.7355895638465881,0.23127253353595734,0.13149388134479523
boundary,0.20848466455936432,0.19976991415023804,0.3088805675506592,0.2516222298145294,0.2251134216785431,0.26910632848739624,0.2621070146560669,0.23768730461597443,0.14331677556037903,0.28667783737182617,0.3356972932815552,0.20848466455936432,0.27868202328681946,0.27984359860420227,0.26165544986724854,0.12054579704999924,0.0720028504729271
.,0.41511186957359314,0.3594527542591095,0.26374325156211853,0.2287956029176712,0.6812511086463928,0.3567904531955719,0.21915630996227264,0.4569662809371948,0.33111312985420227,0.5591574311256409,0.5934505462646484,0.41511186957359314,0.2228187918663025,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.4130953550338745
