,a,language,solved,in,quadratic,time,implies,the,use,of,what,type,of,turing,machine,?
for,0.44038116931915283,0.23522019386291504,0.18016043305397034,0.4322226941585541,0.1951127052307129,0.3992156386375427,0.304726779460907,0.4739971458911896,0.47655582427978516,0.4185989499092102,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.2892029285430908,0.25323837995529175,0.264628142118454
instance,0.40728384256362915,0.25607767701148987,0.30417802929878235,0.23631897568702698,0.3376895487308502,0.31412214040756226,0.42537087202072144,0.3539782464504242,0.4810474216938019,0.3011147379875183,0.3862040638923645,0.27324962615966797,0.3011147379875183,0.3197348713874817,0.2857376039028168,0.30205854773521423
",",0.427140474319458,0.2694627344608307,0.25483599305152893,0.5201468467712402,0.20080609619617462,0.3029961884021759,0.2431975156068802,0.4933079481124878,0.3276674151420593,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2807261645793915,0.21841607987880707,0.31091248989105225
the,0.5829201340675354,0.30198320746421814,0.21140827238559723,0.6662389636039734,0.24549010396003723,0.43061500787734985,0.23583805561065674,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2644472122192383,0.22788187861442566,0.22068053483963013
language,0.21064592897891998,0.9999998807907104,0.17738208174705505,0.23268210887908936,0.25576016306877136,0.22813627123832703,0.2138451337814331,0.30198320746421814,0.30800333619117737,0.25272229313850403,0.28220435976982117,0.16224351525306702,0.25272229313850403,0.24883875250816345,0.21203725039958954,0.25349316000938416
{,0.285521000623703,0.18717683851718903,0.19926400482654572,0.19254113733768463,0.29070913791656494,0.1985921859741211,0.23537304997444153,0.27834996581077576,0.25433433055877686,0.24386580288410187,0.23725886642932892,0.28487804532051086,0.24386580288410187,0.19117382168769836,0.22019009292125702,0.3181390166282654
xx,0.16178521513938904,0.1387268751859665,0.1209486573934555,0.19526483118534088,0.22135008871555328,0.13116006553173065,0.11551152169704437,0.2355078011751175,0.15711982548236847,0.13862080872058868,0.05625376105308533,0.13133856654167175,0.13862080872058868,0.06811798363924026,0.06295495480298996,0.11678656935691833
|,0.1060825064778328,0.011280873790383339,0.09557465463876724,-0.005561829078942537,0.010126695036888123,0.045256201177835464,-0.016542959958314896,0.013736051507294178,0.024269327521324158,0.02609487809240818,0.07818534225225449,0.003131166100502014,0.02609487809240818,-0.019461411982774734,0.012875697575509548,0.1159842237830162
x,0.21952441334724426,0.1460479348897934,0.20542564988136292,0.16749148070812225,0.35624533891677856,0.1682448536157608,0.1580330729484558,0.20980626344680786,0.17150966823101044,0.1708947718143463,0.13783220946788788,0.151067852973938,0.1708947718143463,0.22797083854675293,0.2432967573404312,0.23304535448551178
is,0.658733606338501,0.270936518907547,0.16888999938964844,0.5394441485404968,0.23647955060005188,0.25187405943870544,0.33371198177337646,0.5823672413825989,0.3357410430908203,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18364353477954865,0.18938691914081573,0.22961433231830597
any,0.45031747221946716,0.21856144070625305,0.29290327429771423,0.3135753571987152,0.26813024282455444,0.3699842095375061,0.4526888132095337,0.4525727927684784,0.44453081488609314,0.3769088089466095,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.24515610933303833,0.2084415853023529,0.4113408327102661
binary,0.28007954359054565,0.22671674191951752,0.3432301878929138,0.16351808607578278,0.4542417824268341,0.21425172686576843,0.29861003160476685,0.18260802328586578,0.2965701222419739,0.21468596160411835,0.21848982572555542,0.2684940695762634,0.21468596160411835,0.2608136534690857,0.3249818682670593,0.16258445382118225
string,0.1667976677417755,0.2186809778213501,0.15873998403549194,0.14018605649471283,0.24962377548217773,0.22161506116390228,0.22686344385147095,0.19217795133590698,0.2051885575056076,0.17002220451831818,0.17737996578216553,0.19778890907764435,0.17002220451831818,0.21067000925540924,0.2280959188938141,0.16560307145118713
},0.21669639647006989,0.12376107275485992,0.124871164560318,0.15788979828357697,0.21731774508953094,0.14553458988666534,0.1879914551973343,0.2273053377866745,0.21988233923912048,0.22909000515937805,0.16619744896888733,0.25070399045944214,0.22909000515937805,0.03704864904284477,0.11106081306934357,0.19530506432056427
can,0.3915780484676361,0.18375475704669952,0.21544745564460754,0.26527702808380127,0.2940922677516937,0.2720869183540344,0.3005293607711792,0.312528520822525,0.5362023711204529,0.2603091299533844,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.224638432264328,0.26097333431243896,0.3226337134838104
be,0.39883795380592346,0.2154676616191864,0.26658907532691956,0.3481820821762085,0.2542339861392975,0.3473503291606903,0.3691355586051941,0.4248143136501312,0.4528608024120331,0.33904364705085754,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.2587292492389679,0.24763767421245575,0.3324260413646698
solved,0.18525584042072296,0.17738208174705505,1.0,0.17707815766334534,0.36100172996520996,0.2711636424064636,0.24275612831115723,0.21140827238559723,0.220936581492424,0.17960071563720703,0.247396320104599,0.11779391020536423,0.17960071563720703,0.3374759256839752,0.2487926036119461,0.2692696750164032
in,0.539380669593811,0.23268210887908936,0.17707815766334534,1.0,0.19246864318847656,0.3431483507156372,0.1738758087158203,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.26572495698928833,0.16716814041137695,0.20430970191955566
linear,0.23775021731853485,0.2396632432937622,0.40587157011032104,0.18096387386322021,0.5915191769599915,0.14405253529548645,0.35217446088790894,0.2117266058921814,0.23253798484802246,0.23112532496452332,0.2132105678319931,0.25495558977127075,0.23112532496452332,0.338595449924469,0.276178777217865,0.16595983505249023
time,0.3292340338230133,0.22813627123832703,0.2711636424064636,0.3431483507156372,0.19349753856658936,0.9999998807907104,0.25559958815574646,0.43061500787734985,0.30243632197380066,0.35127586126327515,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.3296571373939514,0.25790056586265564,0.27391523122787476
on,0.3848365545272827,0.20230385661125183,0.19498692452907562,0.46853652596473694,0.18007826805114746,0.30044233798980713,0.1105777770280838,0.5107308030128479,0.2776605486869812,0.3966929316520691,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.17251454293727875,0.209082692861557,0.2714994251728058
a,1.0,0.21064592897891998,0.18525584042072296,0.539380669593811,0.28062862157821655,0.3292340338230133,0.30004221200942993,0.5829201340675354,0.30793872475624084,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.23916715383529663
multi-tape,0.30301621556282043,0.22498449683189392,0.18539917469024658,0.18986725807189941,0.2848178744316101,0.21841734647750854,0.253558874130249,0.2036377340555191,0.29252931475639343,0.2221662551164627,0.22010479867458344,0.18170461058616638,0.2221662551164627,0.34675097465515137,0.38208553194999695,0.14011883735656738
turing,0.25234705209732056,0.24883875250816345,0.3374759256839752,0.26572495698928833,0.3271917700767517,0.3296571373939514,0.2330102175474167,0.2644472122192383,0.21024121344089508,0.2670239806175232,0.2806522250175476,0.044547878205776215,0.2670239806175232,1.0000001192092896,0.4048772156238556,0.1460462063550949
machine,0.24983544647693634,0.21203725039958954,0.2487926036119461,0.16716814041137695,0.25962498784065247,0.25790056586265564,0.19548219442367554,0.22788187861442566,0.2811545729637146,0.15468473732471466,0.23075932264328003,0.21776969730854034,0.15468473732471466,0.4048772156238556,1.0,0.17587624490261078
",",0.427140474319458,0.2694627344608307,0.25483599305152893,0.5201468467712402,0.20080609619617462,0.3029961884021759,0.2431975156068802,0.4933079481124878,0.3276674151420593,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2807261645793915,0.21841607987880707,0.31091248989105225
but,0.44750767946243286,0.2890211343765259,0.2757832109928131,0.48674455285072327,0.19693006575107574,0.4371204376220703,0.40841343998908997,0.4859698414802551,0.43892642855644226,0.39942997694015503,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.23138876259326935,0.210704043507576,0.27921953797340393
necessarily,0.2749404311180115,0.19898854196071625,0.26276877522468567,0.14690805971622467,0.29109787940979004,0.27427226305007935,0.5234834551811218,0.23690861463546753,0.4413822293281555,0.21284587681293488,0.4277169704437256,0.19836001098155975,0.21284587681293488,0.24264323711395264,0.2242206633090973,0.32468926906585693
requires,0.322436660528183,0.21042214334011078,0.19678223133087158,0.16126661002635956,0.28460046648979187,0.26243963837623596,0.3955997824668884,0.2693159878253937,0.46046870946884155,0.29617026448249817,0.24784088134765625,0.261353075504303,0.29617026448249817,0.2229427844285965,0.25788235664367676,0.26020103693008423
quadratic,0.28062862157821655,0.25576016306877136,0.36100172996520996,0.19246864318847656,1.0,0.19349753856658936,0.32640406489372253,0.24549010396003723,0.2341124415397644,0.26294127106666565,0.217502161860466,0.19623880088329315,0.26294127106666565,0.3271917700767517,0.25962498784065247,0.1588403880596161
time,0.3292340338230133,0.22813627123832703,0.2711636424064636,0.3431483507156372,0.19349753856658936,0.9999998807907104,0.25559958815574646,0.43061500787734985,0.30243632197380066,0.35127586126327515,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.3296571373939514,0.25790056586265564,0.27391523122787476
in,0.539380669593811,0.23268210887908936,0.17707815766334534,1.0,0.19246864318847656,0.3431483507156372,0.1738758087158203,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.26572495698928833,0.16716814041137695,0.20430970191955566
