,how,was,the,civil,disobedience,shown,in,antigone,?
she,0.22300666570663452,0.42156049609184265,0.36308351159095764,0.1733604520559311,0.2803308367729187,0.23928064107894897,0.39094278216362,0.2881942093372345,0.14223381876945496
gives,0.26903846859931946,0.13610969483852386,0.3072636127471924,0.13255055248737335,0.22821694612503052,0.24635189771652222,0.19419550895690918,0.14476050436496735,0.2204105257987976
a,0.29312583804130554,0.4508470594882965,0.5829201340675354,0.21693918108940125,0.25352153182029724,0.2581788897514343,0.539380669593811,0.21860060095787048,0.23916715383529663
stirring,0.29599326848983765,0.14028257131576538,0.24023491144180298,0.1627652645111084,0.32611575722694397,0.17550478875637054,0.22739136219024658,0.14169462025165558,0.19071023166179657
speech,0.213003471493721,0.19483859837055206,0.2542078197002411,0.19007819890975952,0.33553940057754517,0.11982697993516922,0.22392018139362335,0.07575741410255432,0.1412617564201355
in,0.2601168751716614,0.45514053106307983,0.6662389636039734,0.26466667652130127,0.3054615259170532,0.2988935708999634,1.0,0.17945496737957,0.20430970191955566
which,0.4852597713470459,0.2830964922904968,0.6521818041801453,0.13459211587905884,0.3121037483215332,0.3214279115200043,0.4840516746044159,0.15784083306789398,0.25814583897590637
she,0.22300666570663452,0.42156049609184265,0.36308351159095764,0.1733604520559311,0.2803308367729187,0.23928064107894897,0.39094278216362,0.2881942093372345,0.14223381876945496
tells,0.4043009281158447,0.18652133643627167,0.28859055042266846,0.1209987923502922,0.2775058448314667,0.22493740916252136,0.20949023962020874,0.19595037400722504,0.20469747483730316
him,0.3545486629009247,0.3675798773765564,0.39213326573371887,0.13836358487606049,0.3692842423915863,0.1742667704820633,0.2284061461687088,0.19424603879451752,0.23943768441677094
that,0.557814359664917,0.33670201897621155,0.5473989248275757,0.16867391765117645,0.3551425039768219,0.3633551597595215,0.435920387506485,0.10913330316543579,0.32716336846351624
she,0.22300666570663452,0.42156049609184265,0.36308351159095764,0.1733604520559311,0.2803308367729187,0.23928064107894897,0.39094278216362,0.2881942093372345,0.14223381876945496
must,0.3341856896877289,0.20152942836284637,0.2713140547275543,0.12366364151239395,0.2450776845216751,0.207840234041214,0.18276341259479523,0.04254456236958504,0.23707495629787445
