,where,can,tesla,'s,theories,as,to,what,caused,the,skin,damage,be,found,?
tesla,0.12761090695858002,0.19812452793121338,0.9999999403953552,0.06449045985937119,0.23655711114406586,0.10285310447216034,0.17548894882202148,0.23221199214458466,0.05371434986591339,0.1324402391910553,0.08597852289676666,0.16247212886810303,0.15180771052837372,0.052854783833026886,0.10250775516033173
noted,0.19610406458377838,0.1980029195547104,0.12294332683086395,-0.024553362280130386,0.2194291353225708,0.31388962268829346,0.18737518787384033,0.16981294751167297,0.24934861063957214,0.248806893825531,0.19112388789653778,0.1924409568309784,0.24397937953472137,0.2907566726207733,0.13014346361160278
the,0.5003893971443176,0.312528520822525,0.1324402391910553,-0.01540423184633255,0.24012529850006104,0.48381632566452026,0.535392165184021,0.42745697498321533,0.24990202486515045,1.0,0.2213820368051529,0.2545957863330841,0.4248143136501312,0.3452354073524475,0.22068053483963013
hazards,0.24616117775440216,0.3573473393917084,0.08548804372549057,0.0018013794906437397,0.24286124110221863,0.2744333744049072,0.2605954110622406,0.24034540355205536,0.30865898728370667,0.2174634337425232,0.2228631228208542,0.3946879506111145,0.2697191834449768,0.17812684178352356,0.22479578852653503
of,0.38066378235816956,0.2603091299533844,0.18837453424930573,-0.03817026689648628,0.25074607133865356,0.3886612355709076,0.41548454761505127,0.33290785551071167,0.29665443301200867,0.733189046382904,0.177443727850914,0.23761005699634552,0.33904364705085754,0.2982911467552185,0.1826142966747284
working,0.2553141415119171,0.252237468957901,0.206875741481781,-0.0629357099533081,0.19350047409534454,0.2861536145210266,0.28215980529785156,0.2846863269805908,0.13020698726177216,0.25857484340667725,0.2345055639743805,0.15397721529006958,0.2322242259979248,0.17771941423416138,0.17154020071029663
with,0.4142743945121765,0.3572797477245331,0.16424812376499176,-0.04624466598033905,0.20106440782546997,0.40387406945228577,0.4239959120750427,0.2464839518070221,0.31770411133766174,0.4223487675189972,0.22355467081069946,0.18497955799102783,0.36101722717285156,0.2364431470632553,0.2433311939239502
his,0.29880598187446594,0.13348791003227234,0.1580733060836792,0.047556519508361816,0.285927951335907,0.3146366477012634,0.3715193271636963,0.26976513862609863,0.17088682949543,0.4394008219242096,0.19038939476013184,0.18667037785053253,0.21738691627979279,0.13338476419448853,0.18075084686279297
circuit,0.20608781278133392,0.17418986558914185,0.32125237584114075,0.10877111554145813,0.10989328473806381,0.15791361033916473,0.24521300196647644,0.1518143117427826,0.1156669482588768,0.25798067450523376,0.14723587036132812,0.21885907649993896,0.24506905674934387,0.12226194888353348,0.058349963277578354
and,0.43859338760375977,0.3675691485404968,0.19560420513153076,0.06895173341035843,0.2395821362733841,0.49487000703811646,0.48971283435821533,0.31309178471565247,0.2892237603664398,0.5171257257461548,0.25818943977355957,0.272375226020813,0.41766801476478577,0.27978911995887756,0.20544172823429108
single-node,0.2088475078344345,0.31839674711227417,0.2292349636554718,0.04105107858777046,0.1573166400194168,0.21284115314483643,0.2598092555999756,0.2714863419532776,0.15763753652572632,0.2521466612815857,0.25839194655418396,0.1980406939983368,0.28504136204719543,0.19006074965000153,0.32854530215263367
x-ray-producing,0.280143141746521,0.32878655195236206,0.24012993276119232,-0.022348526865243912,0.23042060434818268,0.311347097158432,0.23962238430976868,0.26612886786460876,0.26669493317604065,0.3038971722126007,0.3259683847427368,0.27789178490638733,0.30650338530540466,0.20432619750499725,0.2157968431711197
devices,0.2131791114807129,0.42616787552833557,0.4021223783493042,0.04254931956529617,0.2707599997520447,0.20490479469299316,0.30548763275146484,0.2216251939535141,0.20231349766254425,0.2281099557876587,0.18213827908039093,0.18562063574790955,0.3439714312553406,0.1767979860305786,0.10574188083410263
.,0.41390106081962585,0.35783761739730835,0.17949827015399933,-0.003708066651597619,0.18147483468055725,0.515582263469696,0.4645031690597534,0.3567904531955719,0.2413787543773651,0.5934505462646484,0.28410694003105164,0.2985546886920929,0.4383580684661865,0.3618174195289612,0.4130953550338745
