,in,an,ideal,moral,society,",",what,would,all,citizens,be,free,from,?
robert,0.22155319154262543,0.162705197930336,0.14758047461509705,0.11230132728815079,0.17190605401992798,0.22878289222717285,0.1948658525943756,0.1367437094449997,0.1262793093919754,0.08745691925287247,0.10589228570461273,0.0941820815205574,0.13347840309143066,0.11293095350265503
nozick,0.15681204199790955,0.18957673013210297,0.229511097073555,0.33387327194213867,0.27183401584625244,0.3004125952720642,0.2608667016029358,0.19450102746486664,0.15235386788845062,0.1807401478290558,0.16371405124664307,0.20179098844528198,0.14538632333278656,0.22039884328842163
argued,0.16827838122844696,0.1852625459432602,0.23683032393455505,0.33002209663391113,0.2719356417655945,0.2107459008693695,0.31776854395866394,0.3832751512527466,0.17671097815036774,0.24131257832050323,0.2228209674358368,0.15029595792293549,0.1619374305009842,0.18905270099639893
that,0.435920387506485,0.365763783454895,0.3302164673805237,0.28321540355682373,0.23252169787883759,0.4137537479400635,0.6297725439071655,0.5895259380340576,0.53305584192276,0.21861132979393005,0.6036020517349243,0.25286802649497986,0.3477667272090912,0.32716336846351624
government,0.3066793978214264,0.15164874494075775,0.14254654943943024,0.27700337767601013,0.3291187882423401,0.27344048023223877,0.28074538707733154,0.2675379514694214,0.21567091345787048,0.3892174959182739,0.22621913254261017,0.2551202178001404,0.16793464124202728,0.18851417303085327
redistributes,0.2472490668296814,0.20112283527851105,0.25697240233421326,0.194295272231102,0.27316153049468994,0.2016652673482895,0.24882610142230988,0.29437685012817383,0.33856987953186035,0.21749348938465118,0.29362592101097107,0.29561471939086914,0.18700966238975525,0.11713492125272751
wealth,0.1835664063692093,0.15013493597507477,0.3012717068195343,0.3872048854827881,0.28868359327316284,0.22482609748840332,0.2415573000907898,0.2968173027038574,0.20417547225952148,0.33909204602241516,0.2205534279346466,0.1962985098361969,0.19466403126716614,0.1624586433172226
by,0.370934396982193,0.2719563841819763,0.1778499335050583,0.13548806309700012,0.14365209639072418,0.3680937886238098,0.2455483376979828,0.28394925594329834,0.2944089472293854,0.1486787050962448,0.43158695101737976,0.19287452101707458,0.3373257517814636,0.17966607213020325
force,0.21744468808174133,0.21655116975307465,0.1823953241109848,0.1804603636264801,0.1597387045621872,0.22091743350028992,0.16915984451770782,0.2111431211233139,0.1734381765127182,0.21135447919368744,0.16664405167102814,0.21837836503982544,0.14128944277763367,0.1650998443365097
(,0.3087427020072937,0.286407470703125,0.14840134978294373,0.17627911269664764,0.11421491950750351,0.6363511681556702,0.2411840260028839,0.21630488336086273,0.28167209029197693,0.13357816636562347,0.2349044382572174,0.17066511511802673,0.25806233286857605,0.40561532974243164
