,first,published,by,sir,charles,lyell,in,1830,this,book,was,called,what,?
sir,0.24384428560733795,0.196127250790596,0.25479987263679504,1.0000001192092896,0.31466981768608093,0.37407779693603516,0.2226593792438507,-0.16918279230594635,0.19531670212745667,0.18971581757068634,0.28069576621055603,0.13990050554275513,0.21176420152187347,0.10503887385129929
charles,0.21988804638385773,0.25483158230781555,0.24757300317287445,0.31466981768608093,1.0000001192092896,0.49025341868400574,0.21346928179264069,-0.07185401767492294,0.1696656495332718,0.2425260841846466,0.28342804312705994,0.13778330385684967,0.18606366217136383,0.17366734147071838
lyell,0.26161783933639526,0.3143066465854645,0.25282546877861023,0.37407779693603516,0.49025341868400574,1.0,0.28673797845840454,-0.02974502556025982,0.33274969458580017,0.308898389339447,0.29281342029571533,0.23145052790641785,0.3582803010940552,0.23743964731693268
first,1.0,0.3122035264968872,0.3877052962779999,0.24384428560733795,0.21988804638385773,0.26161783933639526,0.4127444326877594,-0.1657835692167282,0.41690850257873535,0.28297871351242065,0.5022147297859192,0.39303290843963623,0.28086137771606445,0.18701928853988647
published,0.3122035264968872,1.0,0.32986849546432495,0.196127250790596,0.25483158230781555,0.3143066465854645,0.26697060465812683,-0.045353468507528305,0.19602374732494354,0.5555539727210999,0.2896443009376526,0.31456130743026733,0.20457668602466583,0.16280238330364227
his,0.3241460621356964,0.2540745139122009,0.3107621967792511,0.28580740094184875,0.2825178802013397,0.34210720658302307,0.3598145842552185,-0.05276528000831604,0.3549620509147644,0.2672714293003082,0.4405253231525421,0.17527347803115845,0.26976513862609863,0.18075084686279297
famous,0.36207643151283264,0.19459384679794312,0.24140264093875885,0.2768409848213196,0.22592519223690033,0.27233973145484924,0.34673580527305603,0.03251194581389427,0.20630793273448944,0.18508793413639069,0.31606587767601013,0.3474815785884857,0.1616666167974472,0.10379006713628769
book,0.28297871351242065,0.5555539727210999,0.27178502082824707,0.18971581757068634,0.2425260841846466,0.308898389339447,0.2527170181274414,-0.032228972762823105,0.2779081463813782,1.0,0.24848085641860962,0.21799540519714355,0.2872225046157837,0.20572158694267273
",",0.34503069519996643,0.2937801778316498,0.3680937886238098,0.2283722162246704,0.24990057945251465,0.33540257811546326,0.5201468467712402,-0.135811910033226,0.4316047728061676,0.23644568026065826,0.45456063747406006,0.26549121737480164,0.3087472915649414,0.31091248989105225
principles,0.18865478038787842,0.24903304874897003,0.19437851011753082,0.20147986710071564,0.1728537529706955,0.4392516314983368,0.16260969638824463,0.03065064176917076,0.25753599405288696,0.288196861743927,0.15514956414699554,0.22499698400497437,0.3122304081916809,0.19203636050224304
of,0.3536086082458496,0.23023100197315216,0.3646814823150635,0.17569157481193542,0.22512592375278473,0.29912737011909485,0.5696388483047485,0.04025930166244507,0.45148900151252747,0.22602593898773193,0.4069072902202606,0.4222904443740845,0.33290785551071167,0.1826142966747284
geology,0.16146276891231537,0.1883460283279419,0.11631732434034348,0.15510497987270355,0.1909296214580536,0.5231190323829651,0.21882881224155426,0.021966198459267616,0.24655671417713165,0.19704405963420868,0.11747080832719803,0.1586015820503235,0.27770960330963135,0.1570872962474823
",",0.34503069519996643,0.2937801778316498,0.3680937886238098,0.2283722162246704,0.24990057945251465,0.33540257811546326,0.5201468467712402,-0.135811910033226,0.4316047728061676,0.23644568026065826,0.45456063747406006,0.26549121737480164,0.3087472915649414,0.31091248989105225
in,0.4127444326877594,0.26697060465812683,0.370934396982193,0.2226593792438507,0.21346928179264069,0.28673797845840454,1.0,0.04449261724948883,0.45205554366111755,0.2527170181274414,0.45514053106307983,0.40847352147102356,0.30808621644973755,0.20430970191955566
1830,-0.1657835692167282,-0.045353468507528305,-0.09367712587118149,-0.16918279230594635,-0.07185401767492294,-0.02974502556025982,0.04449261724948883,1.0,0.07902921736240387,-0.032228972762823105,-0.10621101409196854,0.06909133493900299,0.03702225163578987,-0.007744183298200369
.,0.4345304071903229,0.23857341706752777,0.3936232924461365,0.18421879410743713,0.2551998198032379,0.29554814100265503,0.5591574311256409,-0.11199550330638885,0.500583827495575,0.21435262262821198,0.40146201848983765,0.300344854593277,0.3567904531955719,0.4130953550338745
