,where,did,huguenots,and,walloons,settle,in,england,?
other,0.3730994164943695,0.31707024574279785,0.213627889752388,0.5504306554794312,0.3017282783985138,0.2204814851284027,0.39989137649536133,0.18523254990577698,0.24682199954986572
evidence,0.22179295122623444,0.24616770446300507,0.15131792426109314,0.25004807114601135,0.1343570053577423,0.2449425756931305,0.16157563030719757,0.18103326857089996,0.24151235818862915
of,0.38066378235816956,0.2513895630836487,0.27577435970306396,0.5116966962814331,0.2505747377872467,0.2614152729511261,0.5696388483047485,0.24624483287334442,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,0.30745792388916016,0.5171257257461548,0.2618098855018616,0.2943725883960724,0.6662389636039734,0.28280043601989746,0.22068053483963013
walloons,0.23627135157585144,0.18972115218639374,0.4158315360546112,0.32074102759361267,1.0000001192092896,0.11559838801622391,0.22857673466205597,0.2631365954875946,0.1857677847146988
and,0.43859338760375977,0.34479495882987976,0.28783127665519714,1.0,0.32074102759361267,0.25108152627944946,0.4954058527946472,0.35173749923706055,0.20544172823429108
huguenots,0.2706839442253113,0.2420482039451599,1.0,0.28783127665519714,0.4158315360546112,0.2901375889778137,0.25916293263435364,0.37832969427108765,0.16010338068008423
in,0.5344807505607605,0.2593238651752472,0.25916293263435364,0.4954058527946472,0.22857673466205597,0.2407265156507492,1.0,0.33311840891838074,0.20430970191955566
canterbury,0.19627965986728668,0.1715923547744751,0.3704512417316437,0.2127632349729538,0.23752377927303314,0.2639555037021637,0.21091140806674957,0.45002803206443787,0.19566942751407623
includes,0.1867043823003769,0.15465357899665833,0.11011034995317459,0.3265656530857086,0.18153545260429382,0.13417097926139832,0.32460328936576843,0.13078762590885162,0.14011523127555847
a,0.40997210144996643,0.2552328109741211,0.20410758256912231,0.3739250600337982,0.23529237508773804,0.22866025567054749,0.539380669593811,0.2410653531551361,0.23916715383529663
block,0.21938268840312958,0.17439137399196625,0.16165122389793396,0.19999995827674866,0.1797991544008255,0.07719983905553818,0.1659933477640152,0.08391015976667404,0.27211859822273254
of,0.38066378235816956,0.2513895630836487,0.27577435970306396,0.5116966962814331,0.2505747377872467,0.2614152729511261,0.5696388483047485,0.24624483287334442,0.1826142966747284
houses,0.24262011051177979,0.2445467859506607,0.29699432849884033,0.33128079771995544,0.2776387929916382,0.169882670044899,0.2622964382171631,0.2416280061006546,0.10120081901550293
in,0.5344807505607605,0.2593238651752472,0.25916293263435364,0.4954058527946472,0.22857673466205597,0.2407265156507492,1.0,0.33311840891838074,0.20430970191955566
turnagain,0.34414148330688477,0.30541467666625977,0.3140750527381897,0.36832284927368164,0.2530803382396698,0.3625379204750061,0.33385568857192993,0.39033058285713196,0.2318880558013916
lane,0.16077689826488495,0.14061620831489563,0.16333648562431335,0.28166595101356506,0.14026224613189697,0.18327267467975616,0.16843415796756744,0.2415604144334793,0.12951500713825226
",",0.3149496018886566,0.3015086054801941,0.23394492268562317,0.6633074283599854,0.23453691601753235,0.27913352847099304,0.5201468467712402,0.2732875645160675,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.2706839442253113,0.43859338760375977,0.23627135157585144,0.2612013518810272,0.5344807505607605,0.23118865489959717,0.24793872237205505
weavers,0.16826114058494568,0.19043023884296417,0.3108687996864319,0.2973311245441437,0.28551185131073,0.2094508856534958,0.18974058330059052,0.27084583044052124,0.206721231341362
',0.24928376078605652,0.25488927960395813,0.06491873413324356,0.3053182065486908,0.1806916892528534,0.13701027631759644,0.4158826768398285,0.19773803651332855,0.330942302942276
windows,0.18821458518505096,0.17833152413368225,0.2387627363204956,0.22030679881572723,0.28664126992225647,0.1212984099984169,0.17973342537879944,0.192875474691391,0.17412035167217255
survive,0.21221476793289185,0.23436835408210754,0.15547773241996765,0.25777333974838257,0.14516595005989075,0.25953593850135803,0.22333702445030212,0.1821683943271637,0.15179267525672913
on,0.37630224227905273,0.2670976221561432,0.17342323064804077,0.4077630043029785,0.16959449648857117,0.18805578351020813,0.46853652596473694,0.2161867767572403,0.2714994251728058
the,0.5003893971443176,0.34736719727516174,0.30745792388916016,0.5171257257461548,0.2618098855018616,0.2943725883960724,0.6662389636039734,0.28280043601989746,0.22068053483963013
top,0.2531495690345764,0.17264406383037567,0.07251529395580292,0.281191349029541,0.2142861783504486,0.13475169241428375,0.2235720455646515,0.11930463463068008,0.17265194654464722
floor,0.31825220584869385,0.0905529335141182,0.1875995546579361,0.26355883479118347,0.2794593572616577,0.06765999644994736,0.21428263187408447,0.05908733978867531,0.20457154512405396
",",0.3149496018886566,0.3015086054801941,0.23394492268562317,0.6633074283599854,0.23453691601753235,0.27913352847099304,0.5201468467712402,0.2732875645160675,0.31091248989105225
as,0.35409465432167053,0.3596470057964325,0.14947842061519623,0.49487000703811646,0.20467959344387054,0.1659889966249466,0.3887844979763031,0.20793095231056213,0.27043893933296204
many,0.4338301420211792,0.375588983297348,0.27507859468460083,0.5296266674995422,0.2878344655036926,0.20620310306549072,0.41474202275276184,0.2581256926059723,0.2124512493610382
huguenots,0.2706839442253113,0.2420482039451599,1.0,0.28783127665519714,0.4158315360546112,0.2901375889778137,0.25916293263435364,0.37832969427108765,0.16010338068008423
worked,0.23623773455619812,0.3377852141857147,0.13277055323123932,0.3093699514865875,0.19555248320102692,0.17958824336528778,0.28707414865493774,0.19945457577705383,0.0901828184723854
as,0.35409465432167053,0.3596470057964325,0.14947842061519623,0.49487000703811646,0.20467959344387054,0.1659889966249466,0.3887844979763031,0.20793095231056213,0.27043893933296204
weavers,0.16826114058494568,0.19043023884296417,0.3108687996864319,0.2973311245441437,0.28551185131073,0.2094508856534958,0.18974058330059052,0.27084583044052124,0.206721231341362
.,0.41390106081962585,0.35288307070732117,0.2170230895280838,0.588965117931366,0.25432345271110535,0.2460833340883255,0.5591574311256409,0.31012484431266785,0.4130953550338745
