,what,was,sky,travel,later,rebranded,as,?
however,0.4480680823326111,0.37327632308006287,0.20270024240016937,0.23459607362747192,0.4364548921585083,0.28849199414253235,0.4668710231781006,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.22621183097362518,0.2159072756767273,0.35016918182373047,0.2713417112827301,0.48816442489624023,0.31091248989105225
this,0.5489566326141357,0.3638818562030792,0.15060988068580627,0.25282320380210876,0.3066357672214508,0.19309470057487488,0.43993282318115234,0.3155723512172699
was,0.22111038863658905,1.0000001192092896,0.181777685880661,0.1548587530851364,0.5684447288513184,0.3797401785850525,0.3677520453929901,0.18412111699581146
replaced,0.12975038588047028,0.34946855902671814,0.06885432451963425,0.08884566277265549,0.36825934052467346,0.36856234073638916,0.33300021290779114,0.14945141971111298
by,0.2455483376979828,0.4752357602119446,0.13224995136260986,0.20530667901039124,0.3747883439064026,0.29734334349632263,0.3815547823905945,0.17966607213020325
sky,0.16493305563926697,0.181777685880661,1.0,0.19291888177394867,0.16628144681453705,0.25380489230155945,0.18261636793613434,0.11270341277122498
three,0.24888746440410614,0.2748996615409851,0.1818981170654297,0.1611381322145462,0.3466250002384186,0.2631988525390625,0.23234014213085175,0.20928427577018738
on,0.34226128458976746,0.3909217119216919,0.18642869591712952,0.22256895899772644,0.30872204899787903,0.2645025849342346,0.36047765612602234,0.2714994251728058
31,0.04987277463078499,-0.07483632862567902,0.07169321924448013,0.11713434010744095,-0.08766037225723267,-0.0497409850358963,0.025866655632853508,-0.017570214346051216
october,0.24927909672260284,0.4627581834793091,0.12374502420425415,0.11716192215681076,0.30697008967399597,0.24199452996253967,0.25472286343574524,0.29706719517707825
2005,0.0704459398984909,0.11356307566165924,-0.10435401648283005,-0.012209119275212288,0.11980636417865753,0.08802051842212677,0.019447719678282738,0.10709824413061142
",",0.3087472915649414,0.45456063747406006,0.22621183097362518,0.2159072756767273,0.35016918182373047,0.2713417112827301,0.48816442489624023,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.20498745143413544,0.24070590734481812,0.39698365330696106,0.2605993449687958,0.41006597876548767,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.181777685880661,0.1548587530851364,0.5684447288513184,0.3797401785850525,0.3677520453929901,0.18412111699581146
itself,0.3625122308731079,0.24240277707576752,0.14343629777431488,0.14421069622039795,0.27742069959640503,0.23073165118694305,0.2946869432926178,0.17933900654315948
later,0.2517229914665222,0.5684447288513184,0.16628144681453705,0.17766493558883667,1.0,0.38201993703842163,0.38482072949409485,0.1417175978422165
re-branded,0.18635530769824982,0.34796443581581116,0.24814121425151825,0.18681159615516663,0.36761289834976196,0.8890158534049988,0.2624415159225464,0.16268296539783478
as,0.31749409437179565,0.3677520453929901,0.18261636793613434,0.2136022299528122,0.38482072949409485,0.24511797726154327,1.0,0.27043893933296204
'pick,0.2814961075782776,0.19982169568538666,0.21092082560062408,0.1901644766330719,0.1576770544052124,0.29340896010398865,0.27211618423461914,0.2453973889350891
tv,0.20700684189796448,0.1889979988336563,0.22956761717796326,0.18675954639911652,0.21774893999099731,0.2935240566730499,0.21589502692222595,0.20290863513946533
',0.3245812654495239,0.33675912022590637,0.14748349785804749,0.1095312312245369,0.22560328245162964,0.23125596344470978,0.41391023993492126,0.330942302942276
in,0.30808621644973755,0.45514053106307983,0.20324937999248505,0.22463937103748322,0.40857815742492676,0.27716606855392456,0.3887844979763031,0.20430970191955566
2011,0.04286744073033333,-0.022202642634510994,-0.08791840821504593,0.0073178596794605255,0.031212210655212402,-0.0024413536302745342,0.10110048204660416,0.005212190095335245
.,0.3567904531955719,0.40146201848983765,0.19117935001850128,0.22954578697681427,0.3488861322402954,0.2769361734390259,0.515582263469696,0.4130953550338745
