,when,was,the,study,on,sequenced,y,genomes,published,?
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2268155962228775,0.3848365545272827,0.22071623802185059,0.1800517588853836,0.1964590698480606,0.1993555724620819,0.23916715383529663
study,0.2670287787914276,0.18420368432998657,0.2533665597438812,1.0,0.1889076977968216,0.25978586077690125,0.0984625294804573,0.342268705368042,0.27503788471221924,0.15902167558670044
published,0.1944759637117386,0.2896443009376526,0.22017472982406616,0.27503788471221924,0.26885396242141724,0.28142112493515015,0.0804150328040123,0.25870075821876526,1.0,0.16280238330364227
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2875489294528961,0.46853652596473694,0.195512592792511,0.14807109534740448,0.1839744746685028,0.26697060465812683,0.20430970191955566
nature,0.1610763818025589,0.16693586111068726,0.19596898555755615,0.29473158717155457,0.21576794981956482,0.18460503220558167,0.1206672340631485,0.27095896005630493,0.2468176633119583,0.17397694289684296
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2875489294528961,0.46853652596473694,0.195512592792511,0.14807109534740448,0.1839744746685028,0.26697060465812683,0.20430970191955566
october,0.273419588804245,0.4627581834793091,0.2621108889579773,0.09407491236925125,0.3742676079273224,0.08670859038829803,0.14784905314445496,0.05853871628642082,0.20929045975208282,0.29706719517707825
2011,0.07140792906284332,-0.022202642634510994,0.07811610400676727,0.07092127203941345,0.08962488919496536,0.12503206729888916,-0.023413371294736862,0.1087007075548172,0.032348573207855225,0.005212190095335245
sequenced,0.22924666106700897,0.17971199750900269,0.2043665200471878,0.25978586077690125,0.14598079025745392,1.0000001192092896,0.09680598974227905,0.5486786365509033,0.28142112493515015,0.16787222027778625
the,0.5091903209686279,0.48711544275283813,1.0,0.2533665597438812,0.5107308030128479,0.2043665200471878,0.1503237932920456,0.19961972534656525,0.22017472982406616,0.22068053483963013
genome,0.11553331464529037,0.1578206866979599,0.16735753417015076,0.31633350253105164,0.11376000195741653,0.5227338075637817,0.1289241462945938,0.925873875617981,0.24574589729309082,0.1776634305715561
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.29377859830856323,0.3966929316520691,0.17863619327545166,0.12763753533363342,0.21799539029598236,0.23023100197315216,0.1826142966747284
y.,0.060404784977436066,-0.1864357441663742,-0.0005152968224138021,-0.014670261181890965,-0.05878081172704697,0.07297654449939728,0.15663756430149078,0.1054212898015976,0.02850060723721981,0.14909613132476807
pestis,0.2564457058906555,0.19139879941940308,0.23376873135566711,0.2447090744972229,0.15769386291503906,0.314264178276062,0.26068559288978577,0.45354992151260376,0.24085740745067596,0.2471543848514557
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.22416724264621735,0.36926645040512085,0.1438906490802765,0.12303977459669113,0.1609775274991989,0.12155468016862869,0.19969791173934937
plague,0.25819700956344604,0.24312011897563934,0.2537761330604553,0.27523523569107056,0.16606301069259644,0.1375812292098999,0.09972385317087173,0.2773939073085785,0.2748439908027649,0.11872942000627518
victims,0.1891029179096222,0.16634027659893036,0.21845385432243347,0.1946883648633957,0.20570677518844604,0.17354454100131989,0.0676453560590744,0.19841739535331726,0.11391455680131912,0.16638198494911194
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.300253301858902,0.4077630043029785,0.2107895463705063,0.1590278595685959,0.22858738899230957,0.22629010677337646,0.20544172823429108
indicated,0.25539880990982056,0.23311184346675873,0.2715122699737549,0.20275408029556274,0.2782304584980011,0.3635674715042114,0.12471311539411545,0.2877461612224579,0.27771538496017456,0.20115208625793457
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.31241273880004883,0.42569106817245483,0.3085562288761139,0.1836707890033722,0.27655360102653503,0.23603634536266327,0.32716336846351624
the,0.5091903209686279,0.48711544275283813,1.0,0.2533665597438812,0.5107308030128479,0.2043665200471878,0.1503237932920456,0.19961972534656525,0.22017472982406616,0.22068053483963013
strain,0.269822895526886,0.13790249824523926,0.1979137361049652,0.22839614748954773,0.199894979596138,0.3166181743144989,0.14933232963085175,0.3895423710346222,0.08897215873003006,0.14672546088695526
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.31241273880004883,0.42569106817245483,0.3085562288761139,0.1836707890033722,0.27655360102653503,0.23603634536266327,0.32716336846351624
caused,0.3178572356700897,0.25113144516944885,0.24990202486515045,0.18129518628120422,0.25160422921180725,0.27838292717933655,0.09873538464307785,0.23567849397659302,0.13217803835868835,0.20679491758346558
the,0.5091903209686279,0.48711544275283813,1.0,0.2533665597438812,0.5107308030128479,0.2043665200471878,0.1503237932920456,0.19961972534656525,0.22017472982406616,0.22068053483963013
black,0.1860525906085968,0.1419273465871811,0.28466513752937317,0.08499815315008163,0.18663345277309418,0.13193702697753906,0.15444546937942505,0.15819352865219116,0.15518271923065186,0.15159966051578522
death,0.21254116296768188,0.28516459465026855,0.21438048779964447,0.11223351210355759,0.16915851831436157,0.11970498412847519,0.08238031715154648,0.10180490463972092,0.19972451031208038,0.21149799227714539
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.20457550883293152,0.3635730445384979,0.17540794610977173,0.15005770325660706,0.19056721031665802,0.17880885303020477,0.22961433231830597
ancestral,0.15268109738826752,0.17965318262577057,0.274385929107666,0.2795116901397705,0.14959432184696198,0.2946535050868988,0.1474679410457611,0.3894927501678467,0.1167188510298729,0.11722901463508606
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.3326032757759094,0.41031414270401,0.18497569859027863,0.20773886144161224,0.20878541469573975,0.12403073906898499,0.29463258385658264
most,0.299309104681015,0.29933857917785645,0.47635307908058167,0.24304185807704926,0.28303956985473633,0.19637946784496307,0.0833783969283104,0.21530522406101227,0.16557666659355164,0.2107497900724411
modern,0.19283193349838257,0.23571695387363434,0.3283970355987549,0.27496016025543213,0.17548997700214386,0.22728890180587769,0.09433839470148087,0.20941467583179474,0.18606533110141754,0.12475407868623734
strains,0.2403797209262848,0.12280638515949249,0.21299296617507935,0.2533787786960602,0.15809588134288788,0.37750673294067383,0.1381152868270874,0.5066022872924805,0.14352962374687195,0.11230511963367462
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.29377859830856323,0.3966929316520691,0.17863619327545166,0.12763753533363342,0.21799539029598236,0.23023100197315216,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2533665597438812,0.5107308030128479,0.2043665200471878,0.1503237932920456,0.19961972534656525,0.22017472982406616,0.22068053483963013
disease,0.21795444190502167,0.1844245046377182,0.22720423340797424,0.2567962408065796,0.14357414841651917,0.15192651748657227,0.13617779314517975,0.2767575681209564,0.18543528020381927,0.16159942746162415
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23432257771492004,0.49257001280784607,0.2016836255788803,0.24694207310676575,0.2366262525320053,0.23857341706752777,0.4130953550338745
