,who,has,elected,the,president,of,warsaw,since,1990,?
since,0.27765995264053345,0.5216675996780396,0.3033266067504883,0.4054957628250122,0.25564420223236084,0.35513219237327576,0.2226824164390564,1.0000001192092896,-0.03854043781757355,0.2876587212085724
1990,0.17690111696720123,-0.1569167673587799,0.12937329709529877,-0.0810435339808464,0.1049930602312088,-0.07900239527225494,0.05906631425023079,-0.03854043781757355,0.9999999403953552,0.07789827883243561
the,0.3733934462070465,0.4177538752555847,0.23167964816093445,1.0,0.24330610036849976,0.733189046382904,0.23137180507183075,0.4054957628250122,-0.0810435339808464,0.22068053483963013
president,0.22565458714962006,0.19723163545131683,0.5661197304725647,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.18283961713314056,0.25564420223236084,0.1049930602312088,0.14148259162902832
of,0.2827862501144409,0.3909035325050354,0.2767166793346405,0.733189046382904,0.21610750257968903,1.0,0.19253842532634735,0.35513219237327576,-0.07900239527225494,0.1826142966747284
warsaw,0.16496863961219788,0.16755639016628265,0.16583745181560516,0.23137180507183075,0.18283961713314056,0.19253842532634735,1.0,0.2226824164390564,0.05906631425023079,0.09769917279481888
had,0.36173108220100403,0.5787927508354187,0.19200396537780762,0.3875846862792969,0.20116457343101501,0.37755560874938965,0.2310895472764969,0.4845401346683502,-0.01909726858139038,0.20728366076946259
been,0.3295723795890808,0.6162750124931335,0.1803503781557083,0.3563927710056305,0.14658920466899872,0.31685134768486023,0.1453571766614914,0.6581953763961792,-0.09760234504938126,0.24354910850524902
elected,0.3117038309574127,0.12959714233875275,0.9999999403953552,0.23167964816093445,0.5661197304725647,0.2767166793346405,0.16583745181560516,0.3033266067504883,0.12937329709529877,0.1966295689344406
by,0.39727845788002014,0.3254803419113159,0.19093629717826843,0.4408751428127289,0.18304786086082458,0.3646814823150635,0.15291538834571838,0.32704517245292664,-0.049373358488082886,0.17966607213020325
the,0.3733934462070465,0.4177538752555847,0.23167964816093445,1.0,0.24330610036849976,0.733189046382904,0.23137180507183075,0.4054957628250122,-0.0810435339808464,0.22068053483963013
city,0.21073515713214874,0.2476206123828888,0.2438550442457199,0.35769423842430115,0.26211032271385193,0.32503411173820496,0.25006377696990967,0.2516091465950012,-0.01220770925283432,0.13423943519592285
council,0.19620807468891144,0.18650029599666595,0.4162713587284088,0.2829204201698303,0.2747114896774292,0.2972237169742584,0.15685740113258362,0.24938711524009705,0.02969439886510372,0.1160062924027443
.,0.3541337847709656,0.4105546176433563,0.2512674033641815,0.5934505462646484,0.26255303621292114,0.5352458953857422,0.26825499534606934,0.431787371635437,0.011693721637129784,0.4130953550338745
