,who,designed,the,vince,lombardi,trophy,?
like,0.34740978479385376,0.24442915618419647,0.32912567257881165,0.12412965297698975,0.12842579185962677,0.12941649556159973,0.3268813192844391
the,0.3733934462070465,0.2559613883495331,1.0,0.2420601099729538,0.18416112661361694,0.23165881633758545,0.22068053483963013
lombardi,0.17496588826179504,0.13088172674179077,0.18416112661361694,0.3480035960674286,0.9999999403953552,0.26002585887908936,0.12761563062667847
trophy,0.1846436858177185,0.1463049203157425,0.23165881633758545,0.2472408413887024,0.26002585887908936,0.9999998807907104,0.1832219511270523
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.23942145705223083,0.26915502548217773,0.246511310338974,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.2420601099729538,0.18416112661361694,0.23165881633758545,0.22068053483963013
``,0.02397952415049076,-0.05251215770840645,0.029072100296616554,0.05296793580055237,-0.021232720464468002,-0.027883505448698997,0.0685480609536171
50,0.0322180911898613,0.08676627278327942,0.03602437674999237,-0.03171846643090248,0.06124844029545784,0.016763124614953995,0.030512850731611252
'',0.024401003494858742,0.017010018229484558,0.041273195296525955,-0.039132796227931976,0.044365204870700836,-0.04935453459620476,0.018684765323996544
will,0.24651563167572021,0.20539796352386475,0.3635469079017639,0.18170250952243805,0.13556189835071564,0.14131833612918854,0.35046905279159546
be,0.3371641933917999,0.1915401816368103,0.4248143136501312,0.1849185973405838,0.13619054853916168,0.1529839187860489,0.3324260413646698
designed,0.21097040176391602,1.0,0.2559613883495331,0.06996838748455048,0.13088172674179077,0.1463049203157425,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.24765817821025848,0.16533209383487701,0.17563243210315704,0.17966607213020325
tiffany,0.2110571414232254,0.3174445927143097,0.15607501566410065,0.234418585896492,0.24839052557945251,0.2283443808555603,0.17250743508338928
&,0.09244576841592789,0.15487702190876007,0.14992168545722961,0.10103904455900192,0.1740967035293579,0.09975413978099823,0.12596383690834045
co,0.2243642956018448,0.11803358793258667,0.19341111183166504,0.2077186107635498,0.20304515957832336,0.1531163901090622,0.1823645681142807
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.22345030307769775,0.22551476955413818,0.2492588460445404,0.4130953550338745
