,which,two,courts,apply,european,union,law,?
european,0.2234036773443222,0.19338899850845337,0.1762567013502121,0.20380762219429016,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.23846890032291412,0.22333486378192902,0.25711148977279663,0.1331356018781662,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
law,0.20205146074295044,0.18560174107551575,0.4104453921318054,0.3161100447177887,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.1528988480567932
is,0.4457404911518097,0.2315155267715454,0.19366668164730072,0.2002597153186798,0.16083641350269318,0.16997112333774567,0.18597714602947235,0.22961433231830597
applied,0.29366353154182434,0.12550276517868042,0.26233068108558655,0.6203225255012512,0.20982736349105835,0.15848392248153687,0.3741767704486847,0.15585725009441376
by,0.40543368458747864,0.33852577209472656,0.19574788212776184,0.18892419338226318,0.17922990024089813,0.14484883844852448,0.1977037936449051,0.17966607213020325
the,0.6521818041801453,0.43858039379119873,0.2453746348619461,0.23137710988521576,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
courts,0.24834851920604706,0.14246860146522522,1.0,0.30748796463012695,0.1762567013502121,0.25711148977279663,0.4104453921318054,0.17759139835834503
of,0.5011631846427917,0.37726253271102905,0.24972429871559143,0.23030845820903778,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
member,0.19141918420791626,0.14065296947956085,0.1733669489622116,0.1581656038761139,0.24138560891151428,0.23030449450016022,0.17515966296195984,0.06826172769069672
states,0.27476921677589417,0.2529267966747284,0.309557169675827,0.24333523213863373,0.25554242730140686,0.30693942308425903,0.2508668601512909,0.16272737085819244
and,0.506277859210968,0.4671151638031006,0.2592387795448303,0.2759774923324585,0.24143946170806885,0.2594362497329712,0.254730761051178,0.20544172823429108
the,0.6521818041801453,0.43858039379119873,0.2453746348619461,0.23137710988521576,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
court,0.19263212382793427,0.1356481909751892,0.7908373475074768,0.2738164961338043,0.18487446010112762,0.23186643421649933,0.413828045129776,0.17100423574447632
of,0.5011631846427917,0.37726253271102905,0.24972429871559143,0.23030845820903778,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
justice,0.16124017536640167,0.14767269790172577,0.465596467256546,0.15864385664463043,0.18444514274597168,0.17461003363132477,0.357088178396225,0.19269752502441406
of,0.5011631846427917,0.37726253271102905,0.24972429871559143,0.23030845820903778,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
the,0.6521818041801453,0.43858039379119873,0.2453746348619461,0.23137710988521576,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
european,0.2234036773443222,0.19338899850845337,0.1762567013502121,0.20380762219429016,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.23846890032291412,0.22333486378192902,0.25711148977279663,0.1331356018781662,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
.,0.45942068099975586,0.3524959683418274,0.2468891590833664,0.28494641184806824,0.2095622420310974,0.23708370327949524,0.24482665956020355,0.4130953550338745
