,how,many,times,less,is,the,strenght,of,the,weak,field,compared,to,the,strong,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.29185041785240173,0.5823672413825989,1.0,0.32424506545066833,0.733189046382904,1.0,0.19635674357414246,0.2105809599161148,0.28685078024864197,0.535392165184021,1.0,0.22482411563396454,0.22068053483963013
word,0.2394934892654419,0.24695859849452972,0.21215280890464783,0.2342672049999237,0.29004693031311035,0.2835540175437927,0.18939617276191711,0.23799116909503937,0.2835540175437927,0.1004195287823677,0.10336307436227798,0.1557658463716507,0.2865414023399353,0.2835540175437927,0.12453153729438782,0.19046713411808014
``,-0.01591024175286293,0.012824942357838154,0.027419542893767357,0.12711580097675323,0.058766357600688934,0.029072100296616554,0.0699382796883583,0.06780257821083069,0.029072100296616554,0.11448834836483002,0.02440645918250084,-0.005339426454156637,0.06720756739377975,0.029072100296616554,0.054558463394641876,0.0685480609536171
weak,0.2349320501089096,0.22382429242134094,0.0919666662812233,0.32096001505851746,0.21422678232192993,0.19635674357414246,0.4543769955635071,0.19737732410430908,0.19635674357414246,1.0000001192092896,0.19395510852336884,0.21879197657108307,0.2679104804992676,0.19635674357414246,0.6444464921951294,0.1458035111427307
'',-0.0029843549709767103,-0.016843097284436226,-0.032459624111652374,-0.0026206099428236485,0.0793738141655922,0.041273195296525955,-0.10931966453790665,0.13035868108272552,0.041273195296525955,-0.01278232503682375,0.037462469190359116,0.1379733830690384,-0.009905828163027763,0.041273195296525955,-0.007613490801304579,0.018684765323996544
derives,0.12783017754554749,0.18087513744831085,0.1180591881275177,0.17209401726722717,0.36272168159484863,0.3040989637374878,0.21152693033218384,0.2824671268463135,0.3040989637374878,0.1289176493883133,0.12733718752861023,0.19360379874706268,0.19444894790649414,0.3040989637374878,0.15922920405864716,0.05963926762342453
from,0.22939439117908478,0.33099696040153503,0.25679540634155273,0.2665170431137085,0.27355384826660156,0.40150508284568787,0.2150328904390335,0.4249346852302551,0.40150508284568787,0.1680017113685608,0.16799847781658173,0.22597238421440125,0.4069952368736267,0.40150508284568787,0.1937749981880188,0.19969791173934937
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.29185041785240173,0.5823672413825989,1.0,0.32424506545066833,0.733189046382904,1.0,0.19635674357414246,0.2105809599161148,0.28685078024864197,0.535392165184021,1.0,0.22482411563396454,0.22068053483963013
fact,0.35078367590904236,0.3778572976589203,0.222833514213562,0.3318858742713928,0.3122292160987854,0.32878658175468445,0.26410022377967834,0.3007645010948181,0.32878658175468445,0.3044402599334717,0.10908171534538269,0.264248788356781,0.35271596908569336,0.32878658175468445,0.27709323167800903,0.2798655927181244
that,0.557814359664917,0.5391656160354614,0.2866678833961487,0.42165717482566833,0.3995479643344879,0.5473989248275757,0.32924357056617737,0.41498205065727234,0.5473989248275757,0.36166444420814514,0.2216513603925705,0.30344316363334656,0.5436353087425232,0.5473989248275757,0.3756062090396881,0.32716336846351624
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.29185041785240173,0.5823672413825989,1.0,0.32424506545066833,0.733189046382904,1.0,0.19635674357414246,0.2105809599161148,0.28685078024864197,0.535392165184021,1.0,0.22482411563396454,0.22068053483963013
field,0.19519785046577454,0.1401631236076355,0.09539315104484558,0.1364952027797699,0.17269009351730347,0.2105809599161148,0.2499604970216751,0.20410659909248352,0.2105809599161148,0.19395510852336884,1.0,0.12083425372838974,0.2647967040538788,0.2105809599161148,0.18864484131336212,0.11279727518558502
strength,0.26251155138015747,0.16975803673267365,0.16784650087356567,0.239699587225914,0.17222268879413605,0.22000056505203247,0.7769745588302612,0.2074614018201828,0.22000056505203247,0.4334653317928314,0.2243698388338089,0.23710259795188904,0.2638579308986664,0.22000056505203247,0.4941543936729431,0.09558156877756119
is,0.22544461488723755,0.2649032473564148,0.21773184835910797,0.3123510479927063,1.0,0.5823672413825989,0.20345062017440796,0.4854315221309662,0.5823672413825989,0.21422678232192993,0.17269009351730347,0.2816821038722992,0.42745086550712585,0.5823672413825989,0.24643836915493011,0.22961433231830597
some,0.4180530905723572,0.7976660132408142,0.2114299237728119,0.473762571811676,0.3038453459739685,0.4566698372364044,0.25693222880363464,0.4300730526447296,0.4566698372364044,0.30554890632629395,0.19504235684871674,0.4169934093952179,0.4636894166469574,0.4566698372364044,0.30210819840431213,0.2562315762042999
1013,0.0598364882171154,-0.06435491144657135,0.07243649661540985,-0.042447712272405624,-0.07575640827417374,-0.10283316671848297,-0.06873906403779984,-0.1425662785768509,-0.10283316671848297,-0.013927929103374481,-0.04316970705986023,0.04674096032977104,-0.031251661479473114,-0.10283316671848297,-0.03378225862979889,0.20658347010612488
times,0.2685738503932953,0.303416907787323,1.0,0.32822343707084656,0.21773184835910797,0.29093852639198303,0.22822555899620056,0.24352745711803436,0.29093852639198303,0.0919666662812233,0.09539315104484558,0.30295902490615845,0.32875269651412964,0.29093852639198303,0.20514658093452454,0.18880689144134521
less,0.3495950996875763,0.3831726610660553,0.32822343707084656,1.0,0.3123510479927063,0.29185041785240173,0.24795052409172058,0.30836719274520874,0.29185041785240173,0.32096001505851746,0.1364952027797699,0.41422274708747864,0.38397523760795593,0.29185041785240173,0.2923782169818878,0.22418740391731262
than,0.29763275384902954,0.39069414138793945,0.34413233399391174,0.7410463690757751,0.2839990258216858,0.3227543234825134,0.22660194337368011,0.33036211133003235,0.3227543234825134,0.26008111238479614,0.14551980793476105,0.4645072817802429,0.3192550539970398,0.3227543234825134,0.24495375156402588,0.24917294085025787
that,0.557814359664917,0.5391656160354614,0.2866678833961487,0.42165717482566833,0.3995479643344879,0.5473989248275757,0.32924357056617737,0.41498205065727234,0.5473989248275757,0.36166444420814514,0.2216513603925705,0.30344316363334656,0.5436353087425232,0.5473989248275757,0.3756062090396881,0.32716336846351624
of,0.2480744868516922,0.37253960967063904,0.24352745711803436,0.30836719274520874,0.4854315221309662,0.733189046382904,0.29128050804138184,1.0,0.733189046382904,0.19737732410430908,0.20410659909248352,0.3360389769077301,0.41548454761505127,0.733189046382904,0.2524286210536957,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.29185041785240173,0.5823672413825989,1.0,0.32424506545066833,0.733189046382904,1.0,0.19635674357414246,0.2105809599161148,0.28685078024864197,0.535392165184021,1.0,0.22482411563396454,0.22068053483963013
strong,0.19945120811462402,0.2948308289051056,0.20514658093452454,0.2923782169818878,0.24643836915493011,0.22482411563396454,0.5187276005744934,0.2524286210536957,0.22482411563396454,0.6444464921951294,0.18864484131336212,0.26440101861953735,0.2913058400154114,0.22482411563396454,1.0,0.11990999430418015
force,0.16030928492546082,0.1819681078195572,0.1571890264749527,0.20304572582244873,0.22036980092525482,0.2800885736942291,0.35596826672554016,0.27094775438308716,0.2800885736942291,0.3057243824005127,0.2702903151512146,0.1615532785654068,0.24496492743492126,0.2800885736942291,0.3797370195388794,0.1650998443365097
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.32668155431747437,0.4569662809371948,0.5934505462646484,0.3059367835521698,0.5352458953857422,0.5934505462646484,0.24743562936782837,0.23224417865276337,0.27071613073349,0.4645031690597534,0.5934505462646484,0.2886887490749359,0.4130953550338745
