,what,co-receptor,on,the,t,cell,helps,in,recognizing,the,mhc-antigen,complex,?
recognition,0.25729188323020935,0.22360770404338837,0.1806931495666504,0.31624147295951843,0.12651291489601135,0.20822575688362122,0.23286369442939758,0.29843124747276306,0.713977575302124,0.31624147295951843,0.3175078332424164,0.22439801692962646,0.20074869692325592
of,0.33290785551071167,0.18291117250919342,0.3966929316520691,0.733189046382904,0.14617829024791718,0.18332023918628693,0.22412827610969543,0.5696388483047485,0.3956851065158844,0.733189046382904,0.31944864988327026,0.24271073937416077,0.1826142966747284
this,0.5489566326141357,0.31575748324394226,0.4193967580795288,0.6274310946464539,0.3269960582256317,0.2202661782503128,0.3097025156021118,0.45205554366111755,0.31926143169403076,0.6274310946464539,0.33248910307884216,0.3333515226840973,0.3155723512172699
mhc,0.30283498764038086,0.6134544610977173,0.21456308662891388,0.32005053758621216,0.2424878627061844,0.4599821865558624,0.32934409379959106,0.25616973638534546,0.3284829258918762,0.32005053758621216,0.7104612588882446,0.391009658575058,0.21010775864124298
:,-0.12022944539785385,-0.0707172304391861,-0.06502202153205872,-0.03403344005346298,-0.062014348804950714,-0.09334021061658859,-0.10994327813386917,0.020521078258752823,-0.032026879489421844,-0.03403344005346298,-0.04486953467130661,-0.06939321011304855,-0.07156077772378922
antigen,0.1935727745294571,0.5807989835739136,0.18474063277244568,0.2583788335323334,0.21886467933654785,0.46533098816871643,0.2745043933391571,0.19772455096244812,0.2812487483024597,0.2583788335323334,0.9499427080154419,0.2451605647802353,0.19160577654838562
complex,0.2605343163013458,0.3049810230731964,0.19742736220359802,0.25326284766197205,0.17782926559448242,0.1880919188261032,0.20584367215633392,0.26918336749076843,0.18012313544750214,0.25326284766197205,0.282727986574173,0.9999998807907104,0.17752902209758759
is,0.28837618231773376,0.24568186700344086,0.3635730445384979,0.5823672413825989,0.23234573006629944,0.15086454153060913,0.27021104097366333,0.5394441485404968,0.23206841945648193,0.5823672413825989,0.2592712342739105,0.2723233699798584,0.22961433231830597
aided,0.11643363535404205,0.19209754467010498,0.17961138486862183,0.2719253599643707,0.08385235071182251,0.06968845427036285,0.2668199837207794,0.1965620517730713,0.29327696561813354,0.2719253599643707,0.1876111477613449,0.117453932762146,0.0017562833381816745
by,0.2455483376979828,0.168822780251503,0.33887791633605957,0.4408751428127289,0.167274609208107,0.1892392784357071,0.1410844922065735,0.370934396982193,0.3040653467178345,0.4408751428127289,0.19268642365932465,0.14267762005329132,0.17966607213020325
a,0.3320399522781372,0.2632865309715271,0.3848365545272827,0.5829201340675354,0.2456076741218567,0.21525812149047852,0.26026079058647156,0.539380669593811,0.28035980463027954,0.5829201340675354,0.30175238847732544,0.26552852988243103,0.23916715383529663
co-receptor,0.20569512248039246,1.0,0.1902938336133957,0.25390109419822693,0.2285490781068802,0.47887372970581055,0.31113430857658386,0.2028670310974121,0.2155389040708542,0.25390109419822693,0.5775562524795532,0.3049810230731964,0.11177180707454681
on,0.34226128458976746,0.1902938336133957,0.9999999403953552,0.5107308030128479,0.24407607316970825,0.1793726086616516,0.17057308554649353,0.46853652596473694,0.2693327069282532,0.5107308030128479,0.18668727576732635,0.19742736220359802,0.2714994251728058
the,0.42745697498321533,0.25390109419822693,0.5107308030128479,1.0,0.2083338052034378,0.15822452306747437,0.28157877922058105,0.6662389636039734,0.40028032660484314,1.0,0.2951911985874176,0.25326284766197205,0.22068053483963013
t,0.37454068660736084,0.2285490781068802,0.24407607316970825,0.2083338052034378,0.9999999403953552,0.24071010947227478,0.23113413155078888,0.1924382597208023,0.16001319885253906,0.2083338052034378,0.22487898170948029,0.17782926559448242,0.4954066574573517
cell,0.19222842156887054,0.47887372970581055,0.1793726086616516,0.15822452306747437,0.24071010947227478,1.0000001192092896,0.2035469263792038,0.16478286683559418,0.22051505744457245,0.15822452306747437,0.48553466796875,0.1880919188261032,0.2058541625738144
",",0.3087472915649414,0.161176860332489,0.49057599902153015,0.4933079481124878,0.31002363562583923,0.17534321546554565,0.2342686951160431,0.5201468467712402,0.29545074701309204,0.4933079481124878,0.18593057990074158,0.2636418044567108,0.31091248989105225
called,0.3235960602760315,0.24604283273220062,0.25462663173675537,0.489897221326828,0.12367025017738342,0.15713366866111755,0.24856673181056976,0.40847352147102356,0.22739307582378387,0.489897221326828,0.2338036149740219,0.19006845355033875,0.18963319063186646
cd8,0.05143481865525246,0.17501123249530792,0.15343929827213287,0.020268293097615242,0.16579310595989227,0.15644192695617676,0.07599182426929474,0.08391531556844711,0.09165781736373901,0.020268293097615242,0.15163618326187134,0.04440179094672203,0.22663535177707672
.,0.3567904531955719,0.21213093400001526,0.49257001280784607,0.5934505462646484,0.3410096764564514,0.2801848351955414,0.24475505948066711,0.5591574311256409,0.27856191992759705,0.5934505462646484,0.2411048859357834,0.2245299518108368,0.4130953550338745
