,what,was,tesla,'s,reputation,in,popular,culture,?
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.17523381114006042,0.17097744345664978,0.18711842596530914,0.12288305163383484,0.10250775516033173
was,0.22111038863658905,1.0000001192092896,0.16455206274986267,0.008974763564765453,0.3308448791503906,0.45514053106307983,0.2916531562805176,0.23239882290363312,0.18412111699581146
renowned,0.030006814748048782,0.2591543197631836,0.16726455092430115,0.0821920782327652,0.39242035150527954,0.24497079849243164,0.35982227325439453,0.26949751377105713,0.08647420257329941
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.28371551632881165,0.4322226941585541,0.30736467242240906,0.18012717366218567,0.264628142118454
his,0.26976513862609863,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.4158247113227844,0.3598145842552185,0.2327563464641571,0.1357201635837555,0.18075084686279297
achievements,0.1811215728521347,0.24203382432460785,0.2339266985654831,0.005611489061266184,0.33475735783576965,0.23843587934970856,0.2492741048336029,0.21621257066726685,0.12920449674129486
and,0.31309178471565247,0.3740963041782379,0.19560420513153076,0.06895173341035843,0.31531646847724915,0.4954058527946472,0.3164171278476715,0.2617773115634918,0.20544172823429108
showmanship,0.26006409525871277,0.27177461981773376,0.31057533621788025,0.061010874807834625,0.32139474153518677,0.23972845077514648,0.2007882297039032,0.19476312398910522,0.18259155750274658
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.26644301414489746,0.5201468467712402,0.2819201350212097,0.23807421326637268,0.31091248989105225
eventually,0.28470873832702637,0.35699570178985596,0.1490691900253296,-0.021462872624397278,0.30201783776283264,0.3575967252254486,0.21179258823394775,0.14313553273677826,0.13642115890979767
earning,0.12061654776334763,0.24095652997493744,0.18107981979846954,0.01018267497420311,0.32237693667411804,0.31669119000434875,0.2021430879831314,0.13958479464054108,0.1980265974998474
him,0.34912991523742676,0.3675798773765564,0.14682093262672424,0.004161491058766842,0.4246571958065033,0.2284061461687088,0.21498706936836243,0.0837937593460083,0.23943768441677094
a,0.3320399522781372,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.2353951334953308,0.539380669593811,0.2756339907646179,0.23602306842803955,0.23916715383529663
reputation,0.24973461031913757,0.3308448791503906,0.17523381114006042,0.049814119935035706,1.0000001192092896,0.22389911115169525,0.28873515129089355,0.24882514774799347,0.14395901560783386
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.22389911115169525,1.0,0.3157482445240021,0.2512284517288208,0.20430970191955566
popular,0.186283677816391,0.2916531562805176,0.18711842596530914,0.11900079250335693,0.28873515129089355,0.3157482445240021,1.0,0.38051751255989075,0.13108457624912262
culture,0.22475376725196838,0.23239882290363312,0.12288305163383484,-0.02915232628583908,0.24882514774799347,0.2512284517288208,0.38051751255989075,1.0,0.13093146681785583
as,0.31749409437179565,0.3677520453929901,0.10285310447216034,-0.05775856226682663,0.28857773542404175,0.3887844979763031,0.2382158637046814,0.19426991045475006,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.13714656233787537,0.025255560874938965,0.1636977344751358,0.2605783939361572,0.17249290645122528,0.0850803479552269,0.19793890416622162
archetypal,0.29327091574668884,0.25281822681427,0.20621788501739502,0.06561034172773361,0.2667386829853058,0.23153305053710938,0.20907913148403168,0.2788469195365906,0.18580661714076996
``,0.008517155423760414,-0.012679691426455975,0.04274534806609154,-0.03416389226913452,-0.022548720240592957,0.04765888676047325,-0.032901737838983536,0.01757078990340233,0.0685480609536171
mad,0.2700570523738861,0.19546043872833252,0.131080761551857,0.08673956990242004,0.3042367100715637,0.19324833154678345,0.23049435019493103,0.08181926608085632,0.19706392288208008
scientist,0.19887776672840118,0.28327304124832153,0.2603257894515991,-0.003612953471019864,0.14414876699447632,0.16458964347839355,0.14619804918766022,0.12736548483371735,0.1278093308210373
'',0.08143015950918198,0.04456103965640068,0.048713020980358124,-0.04859459400177002,-0.0010356963612139225,0.07432962208986282,-0.04108109325170517,-0.02524700202047825,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.2323891669511795,0.5591574311256409,0.2864297032356262,0.24176450073719025,0.4130953550338745
