,what,are,two,examples,of,cytotoxic,or,immunosuppressive,drugs,?
lower,0.20079238712787628,0.22557412087917328,0.1788208782672882,0.15069344639778137,0.31757521629333496,0.19793295860290527,0.27895238995552063,0.22100730240345,0.07357638329267502,0.08471795171499252
doses,0.23750413954257965,0.343686044216156,0.17236532270908356,0.3296252489089966,0.2203560471534729,0.5590684413909912,0.3743049204349518,0.5199071168899536,0.5908489227294922,0.19695578515529633
of,0.33290785551071167,0.39081433415412903,0.37726253271102905,0.3054686188697815,1.0,0.2379591315984726,0.3792596757411957,0.28317955136299133,0.21399663388729095,0.1826142966747284
anti-inflammatory,0.22603416442871094,0.28550535440444946,0.1647740602493286,0.2893708050251007,0.2399972677230835,0.6014581322669983,0.3245353698730469,0.654025673866272,0.5137049555778503,0.22249925136566162
drugs,0.27091342210769653,0.2709655165672302,0.1497427076101303,0.3124215304851532,0.21399663388729095,0.40702110528945923,0.27312225103378296,0.42477548122406006,1.0000001192092896,0.15436270833015442
are,0.29724663496017456,1.0,0.46276170015335083,0.5214043259620667,0.39081433415412903,0.32282209396362305,0.5374364256858826,0.3329129219055176,0.2709655165672302,0.24591213464736938
often,0.3849453330039978,0.5443448424339294,0.3597128391265869,0.409993052482605,0.3351972997188568,0.2888202965259552,0.5791526436805725,0.346606969833374,0.28305310010910034,0.23748154938220978
used,0.27546408772468567,0.3322218656539917,0.226744145154953,0.4040156602859497,0.3075267970561981,0.2850898802280426,0.4951852560043335,0.3021009862422943,0.26952141523361206,0.22430120408535004
in,0.30808621644973755,0.3841303884983063,0.36463531851768494,0.25567561388015747,0.5696388483047485,0.20217716693878174,0.3586423695087433,0.21540607511997223,0.18405058979988098,0.20430970191955566
conjunction,0.24663683772087097,0.22937312722206116,0.2975572943687439,0.3142409026622772,0.18689265847206116,0.23342956602573395,0.3052244186401367,0.29228639602661133,0.22132167220115662,0.15015976130962372
with,0.2464839518070221,0.38996943831443787,0.4333336651325226,0.2860853374004364,0.41827285289764404,0.22322066128253937,0.38158315420150757,0.2528212070465088,0.19421935081481934,0.2433311939239502
cytotoxic,0.27720823884010315,0.32282209396362305,0.1832377165555954,0.2588944733142853,0.2379591315984726,0.9999998807907104,0.32765915989875793,0.5698764324188232,0.40702110528945923,0.2709274888038635
or,0.33867141604423523,0.5374364256858826,0.3349444568157196,0.4126914143562317,0.3792596757411957,0.32765915989875793,1.0000001192092896,0.4035513699054718,0.27312225103378296,0.32389625906944275
immunosuppressive,0.3023419678211212,0.3329129219055176,0.19682596623897552,0.37133491039276123,0.28317955136299133,0.5698764324188232,0.4035513699054718,1.0,0.42477548122406006,0.25029832124710083
drugs,0.27091342210769653,0.2709655165672302,0.1497427076101303,0.3124215304851532,0.21399663388729095,0.40702110528945923,0.27312225103378296,0.42477548122406006,1.0000001192092896,0.15436270833015442
such,0.23989605903625488,0.4654397666454315,0.29377371072769165,0.5161488652229309,0.3209529519081116,0.2408035695552826,0.5489916801452637,0.30898159742355347,0.28769445419311523,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.3029302954673767,0.325487345457077,0.3886612355709076,0.2355472892522812,0.4400654137134552,0.22074410319328308,0.19872604310512543,0.27043893933296204
methotrexate,0.3636155426502228,0.3781149983406067,0.2707192003726959,0.36972975730895996,0.37848442792892456,0.5594302415847778,0.4513412117958069,0.5577021837234497,0.5866100192070007,0.2735767066478729
or,0.33867141604423523,0.5374364256858826,0.3349444568157196,0.4126914143562317,0.3792596757411957,0.32765915989875793,1.0000001192092896,0.4035513699054718,0.27312225103378296,0.32389625906944275
azathioprine,0.21604174375534058,0.31638967990875244,0.24684545397758484,0.24964717030525208,0.31797435879707336,0.5577983260154724,0.3243409991264343,0.3837052881717682,0.3436519503593445,0.24237243831157684
.,0.3567904531955719,0.3452940285205841,0.3524959683418274,0.28905922174453735,0.5352458953857422,0.30313485860824585,0.36683785915374756,0.2419031411409378,0.23083394765853882,0.4130953550338745
