,what,did,dalton,think,the,atomic,ratios,were,between,atoms,in,compounds,?
john,0.18237407505512238,0.18785913288593292,0.38285204768180847,0.16012033820152283,0.2230520099401474,0.05220319703221321,0.1171756386756897,0.19632886350154877,0.17043940722942352,0.07907862961292267,0.22177861630916595,0.1410122662782669,0.13162356615066528
dalton,0.20382486283779144,0.18875794112682343,1.0,0.20645467936992645,0.26350104808807373,0.31045907735824585,0.22480712831020355,0.18155688047409058,0.1990034580230713,0.33144569396972656,0.21548058092594147,0.26694369316101074,0.14812810719013214
's,0.02692362666130066,0.05069678649306297,0.01184313278645277,0.015562640503048897,-0.01540423184633255,-0.050388578325510025,0.06509090960025787,0.007088581565767527,0.006096371449530125,-0.013980841264128685,-0.037580832839012146,-0.04443596675992012,-0.023395681753754616
original,0.24651947617530823,0.2664784789085388,0.16635747253894806,0.20388007164001465,0.4037000238895416,0.1692347377538681,0.17974376678466797,0.27702075242996216,0.16926848888397217,0.19030284881591797,0.2534193694591522,0.10993122309446335,0.17256900668144226
atomic,0.24257957935333252,0.15765592455863953,0.31045907735824585,0.19797104597091675,0.20241498947143555,1.0000001192092896,0.2909190356731415,0.14927040040493011,0.1831418126821518,0.6516500115394592,0.1661578118801117,0.3803640305995941,0.16654692590236664
hypothesis,0.32678523659706116,0.18737025558948517,0.28288471698760986,0.29575371742248535,0.2221619188785553,0.2586326599121094,0.36089861392974854,0.10617061704397202,0.1670493185520172,0.26138976216316223,0.17262659966945648,0.2176753133535385,0.20027662813663483
assumed,0.3064858615398407,0.2731741964817047,0.09337733685970306,0.323236346244812,0.25453677773475647,0.2039550095796585,0.2609393298625946,0.2102435827255249,0.20690783858299255,0.10320275276899338,0.20372121036052704,0.13612952828407288,0.2463492453098297
that,0.6297725439071655,0.47518548369407654,0.21234120428562164,0.5798900723457336,0.5473989248275757,0.2316160649061203,0.32612112164497375,0.35517072677612305,0.299440860748291,0.28964754939079285,0.435920387506485,0.26948118209838867,0.32716336846351624
all,0.41981086134910583,0.33943864703178406,0.12765073776245117,0.4156843423843384,0.4860881567001343,0.2142798751592636,0.26783883571624756,0.4387909770011902,0.22774523496627808,0.23496389389038086,0.3335905969142914,0.26393139362335205,0.29575422406196594
elements,0.2152351289987564,0.14570437371730804,0.21409504115581512,0.22390979528427124,0.22297804057598114,0.40992194414138794,0.38283488154411316,0.18251387774944305,0.1806032657623291,0.45340728759765625,0.18130259215831757,0.45408159494400024,0.15222592651844025
were,0.22298263013362885,0.4162326455116272,0.18155688047409058,0.26015451550483704,0.3906462490558624,0.14927040040493011,0.20352791249752045,1.0000001192092896,0.27047741413116455,0.18063980340957642,0.3815755248069763,0.19416937232017517,0.17890112102031708
monatomic,0.28535014390945435,0.18759770691394806,0.33782947063446045,0.2642378509044647,0.29990503191947937,0.7490885853767395,0.3153706192970276,0.2516084313392639,0.217992901802063,0.546991229057312,0.2891082167625427,0.4466586410999298,0.20854847133159637
and,0.31309178471565247,0.34479495882987976,0.2588704824447632,0.30740439891815186,0.5171257257461548,0.19259218871593475,0.2113747000694275,0.42175528407096863,0.40645647048950195,0.21866731345653534,0.4954058527946472,0.25433242321014404,0.20544172823429108
that,0.6297725439071655,0.47518548369407654,0.21234120428562164,0.5798900723457336,0.5473989248275757,0.2316160649061203,0.32612112164497375,0.35517072677612305,0.299440860748291,0.28964754939079285,0.435920387506485,0.26948118209838867,0.32716336846351624
