,what,would,the,latter,apollo,missions,carry,to,the,moon,to,increase,exploration,?
these,0.4164220690727234,0.3925110399723053,0.49086877703666687,0.28378671407699585,0.1771434247493744,0.33472466468811035,0.359192430973053,0.46852558851242065,0.49086877703666687,0.19515039026737213,0.46852558851242065,0.36185070872306824,0.2515515983104706,0.2571668326854706
missions,0.21898438036441803,0.24290740489959717,0.26288601756095886,0.1701948493719101,0.3512161374092102,1.0,0.28122517466545105,0.29123765230178833,0.26288601756095886,0.30764681100845337,0.29123765230178833,0.14282995462417603,0.48404404520988464,0.21422071754932404
would,0.45766422152519226,1.0000001192092896,0.4133751392364502,0.2951241731643677,0.20719991624355316,0.24290740489959717,0.2894904315471649,0.5965728163719177,0.4133751392364502,0.22023175656795502,0.5965728163719177,0.29228541254997253,0.2122567892074585,0.37178951501846313
also,0.42747777700424194,0.4152511954307556,0.6021018624305725,0.2897869050502777,0.20789839327335358,0.27933046221733093,0.2869444191455841,0.5348826050758362,0.6021018624305725,0.20976969599723816,0.5348826050758362,0.318539559841156,0.2110775113105774,0.21848613023757935
carry,0.22239743173122406,0.2894904315471649,0.26752355694770813,0.10788136720657349,0.2052871137857437,0.28122517466545105,0.9999998807907104,0.32521840929985046,0.26752355694770813,0.16144131124019623,0.32521840929985046,0.2729712128639221,0.16674748063087463,0.17171701788902283
the,0.42745697498321533,0.4133751392364502,1.0,0.37523433566093445,0.2169172167778015,0.26288601756095886,0.26752355694770813,0.535392165184021,1.0,0.23613092303276062,0.535392165184021,0.32049667835235596,0.3181801736354828,0.22068053483963013
lunar,0.18274477124214172,0.20055215060710907,0.23309995234012604,0.16386955976486206,0.48109763860702515,0.3653785288333893,0.1841992735862732,0.15437743067741394,0.23309995234012604,0.6080004572868347,0.15437743067741394,0.17496681213378906,0.4383805990219116,0.1628302037715912
roving,0.3064090609550476,0.3042666018009186,0.3257351219654083,0.13121497631072998,0.3629663288593292,0.37323224544525146,0.24713461101055145,0.3160090446472168,0.3257351219654083,0.2804263234138489,0.3160090446472168,0.2589489817619324,0.40781211853027344,0.26367756724357605
vehicle,0.20767386257648468,0.23903562128543854,0.20434843003749847,0.10149958729743958,0.2785165011882782,0.3116077184677124,0.3642506003379822,0.26649773120880127,0.20434843003749847,0.2732023000717163,0.26649773120880127,0.2697259187698364,0.28840234875679016,0.16397647559642792
(,0.2411840260028839,0.21630488336086273,0.33289089798927307,0.22494494915008545,0.14281296730041504,0.16699284315109253,0.1326606422662735,0.30882009863853455,0.33289089798927307,0.15743975341320038,0.30882009863853455,0.15438681840896606,0.20810678601264954,0.40561532974243164
