,what,type,of,flower,is,sought,on,midsummer,'s,eve,?
each,0.3353266417980194,0.2533338665962219,0.38460010290145874,0.25794437527656555,0.2954041659832001,0.1291140466928482,0.30782750248908997,0.23947036266326904,0.021750088781118393,0.2238747924566269,0.21173812448978424
midsummer,0.23927390575408936,0.16338598728179932,0.2498185783624649,0.27792614698410034,0.2644389271736145,0.08527956902980804,0.25722536444664,1.0000001192092896,0.025140395388007164,0.3788015842437744,0.16556790471076965
’,-0.01733604073524475,-0.046952784061431885,-0.062016043812036514,-0.031982675194740295,0.024411404505372047,-0.03679938241839409,0.052648309618234634,0.053118571639060974,-0.1203070729970932,0.14001747965812683,0.045561522245407104
s,0.3634900748729706,0.17575131356716156,0.42263656854629517,0.15638965368270874,0.3467119336128235,0.2505331337451935,0.334797739982605,0.3590879738330841,0.05719660595059395,0.24446344375610352,0.25130221247673035
eve,0.20910058915615082,0.16259793937206268,0.11783141642808914,0.22124455869197845,0.16868843138217926,0.06740317493677139,0.2784496247768402,0.3788015842437744,-0.04732388257980347,1.0000001192092896,0.23469486832618713
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.22658979892730713,0.4691906273365021,0.25776931643486023,0.49057599902153015,0.25277140736579895,-0.0016132977325469255,0.21530404686927795,0.31091248989105225
apart,0.3046720027923584,0.08637959510087967,0.25376787781715393,0.20813687145709991,0.19060654938220978,0.14508873224258423,0.27255526185035706,0.17864856123924255,-0.019087860360741615,0.13800691068172455,0.11720603704452515
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.19786962866783142,0.27355384826660156,0.2597581446170807,0.36926645040512085,0.16745002567768097,-0.01936490088701248,0.18406960368156433,0.19969791173934937
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.220725879073143,0.5823672413825989,0.2821049392223358,0.5107308030128479,0.31286704540252686,-0.01540423184633255,0.21724742650985718,0.22068053483963013
official,0.18967986106872559,0.07963163405656815,0.2864961326122284,0.1516818106174469,0.21236078441143036,0.17274251580238342,0.2521604001522064,0.20217545330524445,0.0002636060817167163,0.10494201630353928,0.18097688257694244
floating,0.22671008110046387,0.19552040100097656,0.22077718377113342,0.216561421751976,0.25443342328071594,0.13674306869506836,0.2517450153827667,0.22137978672981262,0.016400828957557678,0.13852901756763458,0.19971981644630432
of,0.33290785551071167,0.18112817406654358,1.0,0.22062033414840698,0.4854315221309662,0.33104926347732544,0.3966929316520691,0.2498185783624649,-0.03817026689648628,0.11783141642808914,0.1826142966747284
wreaths,0.18872086703777313,0.16772708296775818,0.2570483684539795,0.339093416929245,0.16398200392723083,0.15017418563365936,0.14312587678432465,0.2618716061115265,0.09287944436073303,0.2161385864019394,0.10216034948825836
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.22658979892730713,0.4691906273365021,0.25776931643486023,0.49057599902153015,0.25277140736579895,-0.0016132977325469255,0.21530404686927795,0.31091248989105225
jumping,0.20202851295471191,0.1353549361228943,0.1680438369512558,0.18701298534870148,0.15082351863384247,0.12393967807292938,0.24370542168617249,0.17708607017993927,0.03633401542901993,0.0896519124507904,0.18901002407073975
over,0.28007611632347107,0.13094623386859894,0.36136594414711,0.16605275869369507,0.2159561663866043,0.2800197899341583,0.39810362458229065,0.15260222554206848,0.016215575858950615,0.12597890198230743,0.25742942094802856
fires,0.19660112261772156,0.13345657289028168,0.1780686229467392,0.18986018002033234,0.22061218321323395,0.12934815883636475,0.23021841049194336,0.18180347979068756,-0.08401038497686386,0.125510111451149,0.1999000906944275
