,what,other,sources,of,high,oxidative,potential,can,add,to,a,fire,?
combustion,0.2678600549697876,0.21739889681339264,0.2775018811225891,0.25126782059669495,0.20847836136817932,0.44894781708717346,0.3108345568180084,0.3478321433067322,0.2375383824110031,0.21775685250759125,0.3238258957862854,0.2860585153102875,0.2177530825138092
hazards,0.24034540355205536,0.2943810224533081,0.22268475592136383,0.2060418576002121,0.21593907475471497,0.27414941787719727,0.37949666380882263,0.3573473393917084,0.19294153153896332,0.2605954110622406,0.25150901079177856,0.2816212475299835,0.22479578852653503
also,0.42747777700424194,0.5326101183891296,0.2983015477657318,0.4924938678741455,0.29454025626182556,0.27188602089881897,0.3097817599773407,0.4861826002597809,0.2800997495651245,0.5348826050758362,0.5149940252304077,0.2249581515789032,0.21848613023757935
apply,0.3400125503540039,0.34919416904449463,0.24228864908218384,0.23030845820903778,0.18920263648033142,0.2074679732322693,0.326700896024704,0.370430052280426,0.3910493552684784,0.3410952687263489,0.23401778936386108,0.08583556115627289,0.3161788284778595
to,0.455847829580307,0.4193183183670044,0.29232558608055115,0.41548454761505127,0.28947713971138,0.1776769459247589,0.3595958650112152,0.4979398250579834,0.3365766704082489,1.0,0.45503583550453186,0.2020210474729538,0.29463258385658264
compounds,0.19472219049930573,0.3425661325454712,0.2668680250644684,0.232599675655365,0.2174522429704666,0.7056699991226196,0.2832587957382202,0.3859596848487854,0.30541089177131653,0.29820382595062256,0.23579706251621246,0.16476978361606598,0.2057836651802063
of,0.33290785551071167,0.38583824038505554,0.20696839690208435,1.0,0.2803038954734802,0.14910751581192017,0.2684917747974396,0.2603091299533844,0.22190609574317932,0.41548454761505127,0.5052502155303955,0.20259131491184235,0.1826142966747284
oxygen,0.16781960427761078,0.2354368269443512,0.2407027781009674,0.16848602890968323,0.18708185851573944,0.5524711012840271,0.2748369574546814,0.3056217133998871,0.19902902841567993,0.24193501472473145,0.21662019193172455,0.2802748680114746,0.16786395013332367
with,0.2464839518070221,0.44086363911628723,0.17556439340114594,0.41827285289764404,0.19851811230182648,0.1754172444343567,0.2293883115053177,0.3572797477245331,0.3253640830516815,0.4239959120750427,0.3783375024795532,0.2051490843296051,0.2433311939239502
a,0.3320399522781372,0.2806335389614105,0.16673140227794647,0.5052502155303955,0.22865821421146393,0.18754437565803528,0.32849350571632385,0.3915780484676361,0.24784277379512787,0.45503583550453186,1.0,0.2617572844028473,0.23916715383529663
high,0.20466077327728271,0.18805554509162903,0.16436295211315155,0.2803038954734802,1.0,0.15598443150520325,0.21687033772468567,0.24255423247814178,0.09626567363739014,0.28947713971138,0.22865821421146393,0.12679317593574524,0.11137914657592773
oxidative,0.21494156122207642,0.2341967076063156,0.21024543046951294,0.14910751581192017,0.15598443150520325,1.0,0.30552423000335693,0.362488329410553,0.2749490439891815,0.1776769459247589,0.18754437565803528,0.16020140051841736,0.1729019284248352
potential,0.27308183908462524,0.27144795656204224,0.3439752757549286,0.2684917747974396,0.21687033772468567,0.30552423000335693,1.0,0.39116546511650085,0.24875259399414062,0.3595958650112152,0.32849350571632385,0.13481752574443817,0.20122039318084717
",",0.3087472915649414,0.4446498453617096,0.3490506112575531,0.4946078956127167,0.27938312292099,0.14497366547584534,0.23060423135757446,0.3139454126358032,0.25646987557411194,0.44245919585227966,0.427140474319458,0.24915234744548798,0.31091248989105225
such,0.23989605903625488,0.6041211485862732,0.29856202006340027,0.3209529519081116,0.2009960561990738,0.19640076160430908,0.3054960370063782,0.396209716796875,0.27823615074157715,0.2871878743171692,0.2706976532936096,0.1676037311553955,0.17851735651493073
