,what,applies,to,equally,to,constant,velocity,motion,as,it,does,to,rest,.
since,0.29783400893211365,0.2815611660480499,0.3733763098716736,0.2199832946062088,0.3733763098716736,0.24975700676441193,0.1260358840227127,0.16715207695960999,0.36245352029800415,0.39943817257881165,0.23816218972206116,0.3733763098716736,0.22644084692001343,0.431787371635437
there,0.35085538029670715,0.31701430678367615,0.40669289231300354,0.21754960715770721,0.40669289231300354,0.24553555250167847,0.12593379616737366,0.16378037631511688,0.33535557985305786,0.4020688533782959,0.2930194139480591,0.40669289231300354,0.3068382740020752,0.43897318840026855
is,0.28837618231773376,0.3432334363460541,0.42745086550712585,0.2864139676094055,0.42745086550712585,0.1972285658121109,0.18647955358028412,0.2224293351173401,0.43216490745544434,0.6328473687171936,0.4403602182865143,0.42745086550712585,0.26480963826179504,0.4569662809371948
no,0.339326947927475,0.3262711763381958,0.30015695095062256,0.23952537775039673,0.30015695095062256,0.19875183701515198,0.16275639832019806,0.17400233447551727,0.28687340021133423,0.25005611777305603,0.29778221249580383,0.30015695095062256,0.24474003911018372,0.35224834084510803
experiment,0.29811543226242065,0.23877353966236115,0.23297391831874847,0.24873660504817963,0.23297391831874847,0.2388579398393631,0.27710476517677307,0.15491212904453278,0.2577669024467468,0.227716863155365,0.13588465750217438,0.23297391831874847,0.15927337110042572,0.23954947292804718
that,0.6297725439071655,0.3473225235939026,0.5436353087425232,0.4427568018436432,0.5436353087425232,0.2775205373764038,0.2781139016151428,0.2637788951396942,0.4735107421875,0.5921133160591125,0.4764937460422516,0.5436353087425232,0.3498731553554535,0.4460422694683075
can,0.34502777457237244,0.37797990441322327,0.4979398250579834,0.3337024450302124,0.4979398250579834,0.2332909256219864,0.2817866802215576,0.22257983684539795,0.3245031237602234,0.3819273114204407,0.5156301856040955,0.4979398250579834,0.2649167776107788,0.35783761739730835
distinguish,0.26580512523651123,0.3002297282218933,0.2675764262676239,0.20873422920703888,0.2675764262676239,0.20167888700962067,0.15501771867275238,0.12949936091899872,0.2287272810935974,0.21276025474071503,0.24098840355873108,0.2675764262676239,0.19093488156795502,0.21135340631008148
whether,0.5516265630722046,0.3238925635814667,0.43423423171043396,0.3774302899837494,0.43423423171043396,0.2196260541677475,0.2185480147600174,0.24329346418380737,0.3247567117214203,0.31634634733200073,0.39905500411987305,0.43423423171043396,0.2684153616428375,0.26396292448043823
it,0.45803478360176086,0.2413882613182068,0.513711154460907,0.2754046618938446,0.513711154460907,0.13728496432304382,0.24838849902153015,0.21295468509197235,0.4461488723754883,0.9999999403953552,0.34188351035118103,0.513711154460907,0.31067076325416565,0.5593622326850891
is,0.28837618231773376,0.3432334363460541,0.42745086550712585,0.2864139676094055,0.42745086550712585,0.1972285658121109,0.18647955358028412,0.2224293351173401,0.43216490745544434,0.6328473687171936,0.4403602182865143,0.42745086550712585,0.26480963826179504,0.4569662809371948
