,since,what,year,did,the,university,offer,a,doctorate,in,cinema,&,media,studies,?
it,0.39943817257881165,0.45803478360176086,0.2363913208246231,0.2993364930152893,0.6251175999641418,0.20301668345928192,0.18560080230236053,0.5452592968940735,0.21489810943603516,0.5130809545516968,0.2091728299856186,0.08886928111314774,0.19141267240047455,0.18707939982414246,0.25732165575027466
has,0.5216675996780396,0.20338068902492523,0.2526876926422119,0.2124989777803421,0.4177538752555847,0.21257302165031433,0.22990621626377106,0.4670248031616211,0.19721004366874695,0.4173259735107422,0.22361615300178528,0.1216270700097084,0.22855450212955475,0.24284861981868744,0.15994466841220856
offered,0.23899248242378235,0.1662205457687378,0.25439193844795227,0.40334975719451904,0.270993173122406,0.21229375898838043,0.7171011567115784,0.2915024757385254,0.26390790939331055,0.2690350115299225,0.13467034697532654,0.1711655557155609,0.19579483568668365,0.16370955109596252,0.22244536876678467
a,0.3303585946559906,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.20917463302612305,1.0,0.1868133842945099,0.539380669593811,0.2289597988128662,0.07266713678836823,0.21000106632709503,0.24775946140289307,0.23916715383529663
doctorate,0.1165817528963089,0.2320137470960617,0.20884886384010315,0.23276235163211823,0.22784000635147095,0.574899435043335,0.28669822216033936,0.1868133842945099,1.0000001192092896,0.287461519241333,0.22891606390476227,0.17288553714752197,0.19351321458816528,0.4741878807544708,0.15198934078216553
in,0.4325680434703827,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.1875079721212387,0.539380669593811,0.287461519241333,1.0,0.29577532410621643,0.1358654648065567,0.19773486256599426,0.30442532896995544,0.20430970191955566
music,0.20934365689754486,0.23070453107357025,0.2705836892127991,0.21389511227607727,0.2714049816131592,0.2219531238079071,0.24321915209293365,0.2234005630016327,0.30488166213035583,0.22969312965869904,0.30573388934135437,0.12416104227304459,0.3441527485847473,0.2172635793685913,0.18264494836330414
composition,0.16744326055049896,0.2385338991880417,0.20748654007911682,0.1800018697977066,0.2593342959880829,0.267181932926178,0.1215558797121048,0.25990504026412964,0.33596721291542053,0.22499391436576843,0.17566345632076263,0.07949863374233246,0.1349334567785263,0.39198729395866394,0.12543568015098572
since,1.0000001192092896,0.29783400893211365,0.31512683629989624,0.27613121271133423,0.4054957628250122,0.18180672824382782,0.1353169083595276,0.3303585946559906,0.1165817528963089,0.4325680434703827,0.2002744823694229,0.11394962668418884,0.1947530210018158,0.11472364515066147,0.2876587212085724
1933,0.10873579978942871,-0.0002672631817404181,0.06489189714193344,0.06241374462842941,0.22824165225028992,0.13272897899150848,0.009430309757590294,0.04640556871891022,0.14115427434444427,0.14386238157749176,-0.037631627172231674,-0.016940467059612274,-0.026051761582493782,0.09059356153011322,-0.14505821466445923
and,0.3515571057796478,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.2665814459323883,0.3224562108516693,0.3739250600337982,0.26075127720832825,0.4954058527946472,0.17745845019817352,0.34093084931373596,0.28782835602760315,0.30504533648490906,0.20544172823429108
in,0.4325680434703827,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.1875079721212387,0.539380669593811,0.287461519241333,1.0,0.29577532410621643,0.1358654648065567,0.19773486256599426,0.30442532896995544,0.20430970191955566
cinema,0.2002744823694229,0.15087248384952545,0.08070848137140274,0.08980871737003326,0.23910944163799286,0.2720787823200226,0.12229650467634201,0.2289597988128662,0.22891606390476227,0.29577532410621643,1.0,0.21478012204170227,0.27331534028053284,0.1928764134645462,0.11584244668483734
&,0.11394962668418884,0.11141876131296158,0.04340685158967972,0.160298690199852,0.14992168545722961,0.18137070536613464,0.1427270770072937,0.07266713678836823,0.17288553714752197,0.1358654648065567,0.21478012204170227,0.9999998807907104,0.17114384472370148,0.21265849471092224,0.12596383690834045
media,0.1947530210018158,0.18292108178138733,0.17681238055229187,0.1758316457271576,0.19221965968608856,0.18529392778873444,0.21645712852478027,0.21000106632709503,0.19351321458816528,0.19773486256599426,0.27331534028053284,0.17114384472370148,0.9999999403953552,0.23121844232082367,0.1571006178855896
