,imperialism,is,responsible,for,the,rapid,spread,of,what,?
it,0.1997520625591278,0.6328473687171936,0.185812309384346,0.32171204686164856,0.6251175999641418,0.1769426465034485,0.2943859398365021,0.38761502504348755,0.45803478360176086,0.25732165575027466
has,0.11067613214254379,0.5668748617172241,0.1886494904756546,0.450642853975296,0.4177538752555847,0.16114789247512817,0.2559342086315155,0.3909035325050354,0.20338068902492523,0.15994466841220856
also,0.22434571385383606,0.5012649297714233,0.2941048741340637,0.5373267531394958,0.6021018624305725,0.23530927300453186,0.27261626720428467,0.4924938678741455,0.42747777700424194,0.21848613023757935
allowed,0.17249402403831482,0.14454121887683868,0.24464428424835205,0.3152953088283539,0.2985120713710785,0.16144920885562897,0.17035049200057983,0.2699741721153259,0.2693612575531006,0.2309964895248413
for,0.15846435725688934,0.43268078565597534,0.35061514377593994,0.9999999403953552,0.4739971458911896,0.220044806599617,0.17094987630844116,0.4185989499092102,0.3017193675041199,0.264628142118454
the,0.2716025412082672,0.5823672413825989,0.3305104374885559,0.4739971458911896,1.0,0.24250900745391846,0.28994160890579224,0.733189046382904,0.42745697498321533,0.22068053483963013
rapid,0.14089733362197876,0.15915311872959137,0.16818884015083313,0.220044806599617,0.24250900745391846,1.0000001192092896,0.19656836986541748,0.18225142359733582,0.16600939631462097,0.17199881374835968
spread,0.2380409836769104,0.17351946234703064,0.1392246037721634,0.17094987630844116,0.28994160890579224,0.19656836986541748,1.0,0.2895529866218567,0.22287604212760925,0.16482828557491302
of,0.29240643978118896,0.4854315221309662,0.37070101499557495,0.4185989499092102,0.733189046382904,0.18225142359733582,0.2895529866218567,1.0,0.33290785551071167,0.1826142966747284
technologies,0.26734036207199097,0.2335004061460495,0.2370394468307495,0.26400691270828247,0.2228800356388092,0.20956110954284668,0.2311277538537979,0.20219539105892181,0.1962265968322754,0.1638062298297882
and,0.19073538482189178,0.3859752118587494,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.15131959319114685,0.2815358638763428,0.5116966962814331,0.31309178471565247,0.20544172823429108
ideas,0.46148398518562317,0.1490333378314972,0.21045473217964172,0.2671806216239929,0.22381870448589325,0.09224464744329453,0.305742084980011,0.22676146030426025,0.42330971360206604,0.2857283353805542
.,0.22279119491577148,0.4569662809371948,0.2309054434299469,0.4726039469242096,0.5934505462646484,0.19743964076042175,0.2690257728099823,0.5352458953857422,0.3567904531955719,0.4130953550338745
