,who,challenged,the,plague,theory,first,?
the,0.3733934462070465,0.2500322163105011,1.0,0.2537761330604553,0.2277156263589859,0.49448907375335693,0.22068053483963013
plague,0.22886906564235687,0.126011922955513,0.2537761330604553,0.9999999403953552,0.1495029628276825,0.21400928497314453,0.11872942000627518
theory,0.19210977852344513,0.28839486837387085,0.2277156263589859,0.1495029628276825,0.9999999403953552,0.19488763809204102,0.1387292891740799
was,0.3318818509578705,0.28419938683509827,0.48711544275283813,0.24312011897563934,0.18278326094150543,0.5022147297859192,0.18412111699581146
first,0.39065709710121155,0.24591951072216034,0.49448907375335693,0.21400928497314453,0.19488763809204102,1.0,0.18701928853988647
significantly,0.23076145350933075,0.20904847979545593,0.3313288986682892,0.19578620791435242,0.2669803500175476,0.22171731293201447,0.1823679804801941
challenged,0.31148815155029297,0.9999999403953552,0.2500322163105011,0.126011922955513,0.28839486837387085,0.24591951072216034,0.224136084318161
by,0.39727845788002014,0.26950404047966003,0.4408751428127289,0.22066086530685425,0.17579947412014008,0.3877052962779999,0.17966607213020325
the,0.3733934462070465,0.2500322163105011,1.0,0.2537761330604553,0.2277156263589859,0.49448907375335693,0.22068053483963013
work,0.3146236836910248,0.12928493320941925,0.2704800069332123,0.20259913802146912,0.23476560413837433,0.24996063113212585,0.2621155381202698
of,0.2827862501144409,0.23433837294578552,0.733189046382904,0.27455615997314453,0.23506702482700348,0.3536086082458496,0.1826142966747284
british,0.2666113078594208,0.18444424867630005,0.28973397612571716,0.1644531935453415,0.15861153602600098,0.23959001898765564,0.09711728990077972
bacteriologist,0.26946184039115906,0.20343761146068573,0.18932901322841644,0.27122068405151367,0.2880933880805969,0.210553377866745,0.15713158249855042
j.,-0.022884098812937737,0.04536190629005432,0.03800997510552406,-0.11302391439676285,-0.02081148512661457,0.08811032772064209,0.004272869788110256
f.,0.16394910216331482,0.16493196785449982,0.18440215289592743,0.05550312623381615,0.09547299146652222,0.13310599327087402,0.11007396876811981
d.,0.2071729600429535,0.045686881989240646,0.03410084545612335,-0.01357524935156107,0.06812874227762222,0.1267024725675583,-0.049560099840164185
shrewsbury,0.17659971117973328,0.09526321291923523,0.24896416068077087,0.32531851530075073,0.07419513911008835,0.19509448111057281,0.1287088543176651
in,0.2792111933231354,0.19856062531471252,0.6662389636039734,0.2488756626844406,0.16955126821994781,0.4127444326877594,0.20430970191955566
1970,-0.0008222789620049298,-0.056390099227428436,0.013761552982032299,0.07402851432561874,0.02574324980378151,-0.04186903312802315,-0.007446378003805876
",",0.3365725874900818,0.26190248131752014,0.4933079481124878,0.2630122900009155,0.18095813691616058,0.34503069519996643,0.31091248989105225
who,0.9999998807907104,0.31148815155029297,0.3733934462070465,0.22886906564235687,0.19210977852344513,0.39065709710121155,0.26220351457595825
noted,0.2524459958076477,0.2729513347148895,0.248806893825531,0.15246498584747314,0.2085661143064499,0.20690548419952393,0.13014346361160278
that,0.45444270968437195,0.30831900238990784,0.5473989248275757,0.23825600743293762,0.36183905601501465,0.3482176661491394,0.32716336846351624
the,0.3733934462070465,0.2500322163105011,1.0,0.2537761330604553,0.2277156263589859,0.49448907375335693,0.22068053483963013
reported,0.2103302925825119,0.2119591236114502,0.24444028735160828,0.24072511494159698,0.1316768378019333,0.18223828077316284,0.16150116920471191
rates,0.14147251844406128,0.08270250260829926,0.25867342948913574,0.19638316333293915,0.20743949711322784,0.1475214809179306,0.13808594644069672
of,0.2827862501144409,0.23433837294578552,0.733189046382904,0.27455615997314453,0.23506702482700348,0.3536086082458496,0.1826142966747284
mortality,0.23352891206741333,0.212930366396904,0.267873615026474,0.3367435932159424,0.2418583333492279,0.16816917061805725,0.18695609271526337
in,0.2792111933231354,0.19856062531471252,0.6662389636039734,0.2488756626844406,0.16955126821994781,0.4127444326877594,0.20430970191955566
rural,0.12729370594024658,0.14027388393878937,0.18905460834503174,0.11694152653217316,0.11553828418254852,0.12357395887374878,0.11320571601390839
areas,0.25495338439941406,0.12612703442573547,0.3311663568019867,0.20923379063606262,0.1744486689567566,0.1414312869310379,0.1273590475320816
during,0.30551859736442566,0.2343098521232605,0.4838213622570038,0.25791043043136597,0.18977537751197815,0.45377472043037415,0.1325719803571701
the,0.3733934462070465,0.2500322163105011,1.0,0.2537761330604553,0.2277156263589859,0.49448907375335693,0.22068053483963013
14th-century,0.3371974527835846,0.2229628562927246,0.3126668930053711,0.3371194005012512,0.24691540002822876,0.3082759976387024,0.09547005593776703
pandemic,0.21051274240016937,0.18743392825126648,0.21906514465808868,0.5034893155097961,0.2198503613471985,0.22252018749713898,0.1620408594608307
were,0.3188014328479767,0.25421831011772156,0.3906462490558624,0.24258224666118622,0.1573960781097412,0.3285558819770813,0.17890112102031708
inconsistent,0.2174369841814041,0.29596027731895447,0.23799662292003632,0.1544402837753296,0.2803102433681488,0.178954616189003,0.3252195715904236
with,0.3282766342163086,0.24946348369121552,0.4223487675189972,0.1677253097295761,0.21627245843410492,0.2691199779510498,0.2433311939239502
the,0.3733934462070465,0.2500322163105011,1.0,0.2537761330604553,0.2277156263589859,0.49448907375335693,0.22068053483963013
