,what,would,mongol,armies,divert,in,order,to,cut,off,the,resources,of,cities,they,were,attacking,?
the,0.42745697498321533,0.4133751392364502,0.2924198508262634,0.33505764603614807,0.23905237019062042,0.6662389636039734,0.3284194767475128,0.535392165184021,0.29221418499946594,0.2773582935333252,1.0,0.25734785199165344,0.733189046382904,0.2621172070503235,0.49925389885902405,0.3906462490558624,0.3005821406841278,0.22068053483963013
mongol,0.15870186686515808,0.15524601936340332,1.0000001192092896,0.35058408975601196,0.20329590141773224,0.16958336532115936,0.23754975199699402,0.2125127911567688,0.13593503832817078,0.14724689722061157,0.2924198508262634,0.1732160747051239,0.22712039947509766,0.19590207934379578,0.21323534846305847,0.21221880614757538,0.21752957999706268,0.12849251925945282
military,0.18809624016284943,0.20076894760131836,0.26000091433525085,0.407022625207901,0.21462413668632507,0.2402431070804596,0.2194153070449829,0.2282337248325348,0.1519758701324463,0.12430787086486816,0.2290858030319214,0.22436527907848358,0.27347031235694885,0.2373671531677246,0.19090861082077026,0.21322216093540192,0.24346743524074554,0.1890317052602768
was,0.22111038863658905,0.41663143038749695,0.17204789817333221,0.2626568377017975,0.13785062730312347,0.45514053106307983,0.16897162795066833,0.3636345863342285,0.21575933694839478,0.15734454989433289,0.48711544275283813,0.14124581217765808,0.4069072902202606,0.17598430812358856,0.3300964832305908,0.590133786201477,0.1894925832748413,0.18412111699581146
also,0.42747777700424194,0.4152511954307556,0.2039244920015335,0.18593129515647888,0.1961846649646759,0.5073733329772949,0.2635660767555237,0.5348826050758362,0.27104851603507996,0.19549743831157684,0.6021018624305725,0.284804105758667,0.4924938678741455,0.22708983719348907,0.5272021293640137,0.31877249479293823,0.27751246094703674,0.21848613023757935
successful,0.16902779042720795,0.23030638694763184,0.11085983365774155,0.11258665472269058,0.18867330253124237,0.2864660918712616,0.11100335419178009,0.2317596971988678,0.16633765399456024,0.2217576950788498,0.31354787945747375,0.08867855370044708,0.2304827868938446,0.16724258661270142,0.2807728350162506,0.24574939906597137,0.27070099115371704,0.1132197454571724
in,0.30808621644973755,0.30461156368255615,0.16958336532115936,0.23347583413124084,0.18872329592704773,1.0,0.24184700846672058,0.45010748505592346,0.1650969684123993,0.25627145171165466,0.6662389636039734,0.2161814570426941,0.5696388483047485,0.32293570041656494,0.4330179989337921,0.3815755248069763,0.25919467210769653,0.20430970191955566
siege,0.12691979110240936,0.14733335375785828,0.341903954744339,0.444247305393219,0.3120550513267517,0.23684100806713104,0.09779619425535202,0.18065696954727173,0.16618704795837402,0.18965239822864532,0.26454421877861023,0.1238013207912445,0.24839437007904053,0.22121791541576385,0.13423193991184235,0.21970319747924805,0.3648863732814789,0.07257505506277084
warfare,0.21073800325393677,0.16995041072368622,0.2501002848148346,0.36013349890708923,0.2235938161611557,0.25275883078575134,0.09555608034133911,0.17279815673828125,0.11651845276355743,0.11591652035713196,0.257932186126709,0.20642372965812683,0.23136936128139496,0.185401052236557,0.2532399594783783,0.26906102895736694,0.30549266934394836,0.1583555042743683
",",0.3087472915649414,0.32586824893951416,0.2229510098695755,0.2557220757007599,0.24508757889270782,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.23439376056194305,0.26180344820022583,0.4933079481124878,0.2789028584957123,0.4946078956127167,0.31927579641342163,0.390799880027771,0.36755475401878357,0.27158185839653015,0.31091248989105225
cutting,0.2535122334957123,0.267337828874588,0.1403256058692932,0.1238921582698822,0.1856117695569992,0.16022035479545593,0.12753966450691223,0.20910726487636566,0.6199386715888977,0.32598865032196045,0.2671166658401489,0.22682248055934906,0.26013487577438354,0.18005099892616272,0.23914051055908203,0.21747282147407532,0.3149588108062744,0.07885761559009552
off,0.2350364625453949,0.29857581853866577,0.14724689722061157,0.1885354220867157,0.2279798537492752,0.25627145171165466,0.13618764281272888,0.3533020317554474,0.3888742923736572,1.0,0.2773582935333252,0.1520284116268158,0.20023372769355774,0.13462544977664948,0.2575175166130066,0.21087022125720978,0.26911643147468567,0.12937544286251068
resources,0.24701403081417084,0.3046133816242218,0.1732160747051239,0.22797714173793793,0.25804653763771057,0.2161814570426941,0.2150947004556656,0.3263809382915497,0.14274637401103973,0.1520284116268158,0.25734785199165344,1.0000001192092896,0.2746381163597107,0.2586253881454468,0.3222109377384186,0.1945209950208664,0.16700750589370728,0.26047492027282715
