,who,is,one,prominent,advocate,of,this,theory,?
he,0.5500732064247131,0.36230841279029846,0.3856739401817322,0.2890409231185913,0.24072200059890747,0.38706058263778687,0.3176022469997406,0.20341786742210388,0.2089974731206894
was,0.3318818509578705,0.5810302495956421,0.3752199709415436,0.24801866710186005,0.24468748271465302,0.4069072902202606,0.3638818562030792,0.18278326094150543,0.18412111699581146
regarded,0.28469380736351013,0.2792160212993622,0.37502971291542053,0.3651353120803833,0.2418432980775833,0.3187633752822876,0.2335585653781891,0.26654183864593506,0.1741991639137268
by,0.39727845788002014,0.3899846076965332,0.29445651173591614,0.19254037737846375,0.1263917237520218,0.3646814823150635,0.38438332080841064,0.17579947412014008,0.17966607213020325
the,0.3733934462070465,0.5823672413825989,0.5514441132545471,0.30881059169769287,0.16703304648399353,0.733189046382904,0.6274310946464539,0.2277156263589859,0.22068053483963013
gallicans,0.34317511320114136,0.14102886617183685,0.18691448867321014,0.2286735624074936,0.22886669635772705,0.22556611895561218,0.2695709764957428,0.16773809492588043,0.11000219732522964
and,0.41279885172843933,0.3859752118587494,0.42438167333602905,0.32993122935295105,0.26004573702812195,0.5116966962814331,0.42353692650794983,0.1765792816877365,0.20544172823429108
protestants,0.28060296177864075,0.17726023495197296,0.22074036300182343,0.2079322338104248,0.23743535578250885,0.3160131573677063,0.2522323429584503,0.17650525271892548,0.15855816006660461
as,0.3923053741455078,0.43216490745544434,0.3954789340496063,0.2529783248901367,0.327666699886322,0.3886612355709076,0.43993282318115234,0.18675357103347778,0.27043893933296204
a,0.36608949303627014,0.658733606338501,0.4910551905632019,0.2511630952358246,0.23267892003059387,0.5052502155303955,0.5422310829162598,0.2233850657939911,0.23916715383529663
noble,0.20064976811408997,0.17215265333652496,0.17676645517349243,0.21748317778110504,0.12313925474882126,0.24601131677627563,0.1885085105895996,0.2167135626077652,0.11942308396100998
man,0.3476670980453491,0.2326623499393463,0.28826990723609924,0.1368396282196045,0.18156889081001282,0.16490690410137177,0.26895007491111755,0.15938948094844818,0.2528940737247467
who,0.9999998807907104,0.24293622374534607,0.40083858370780945,0.31358104944229126,0.33117255568504333,0.2827862501144409,0.3345087468624115,0.19210977852344513,0.26220351457595825
respected,0.4860796630382538,0.19099432229995728,0.35820987820625305,0.3956036865711212,0.33124974370002747,0.3140163719654083,0.3220880925655365,0.19253069162368774,0.20737361907958984
people,0.3933800458908081,0.34254953265190125,0.2841606140136719,0.10248800367116928,0.1766786277294159,0.3251037895679474,0.27838850021362305,0.14523828029632568,0.23739641904830933
's,0.05599616840481758,0.02396530658006668,0.06913424283266068,0.016728825867176056,0.06368985027074814,-0.03817026689648628,0.02106832154095173,-0.0025054612196981907,-0.023395681753754616
dignity,0.2661554217338562,0.16734012961387634,0.2389870584011078,0.14903868734836578,0.3258819580078125,0.23600144684314728,0.2565782964229584,0.11825597286224365,0.2379169464111328
and,0.41279885172843933,0.3859752118587494,0.42438167333602905,0.32993122935295105,0.26004573702812195,0.5116966962814331,0.42353692650794983,0.1765792816877365,0.20544172823429108
lives,0.29557937383651733,0.3232544958591461,0.2169322967529297,0.16711600124835968,0.1920406073331833,0.28370368480682373,0.15256580710411072,0.09488154947757721,0.15810374915599823
.,0.3541337847709656,0.4569662809371948,0.4123194217681885,0.23774133622646332,0.22176724672317505,0.5352458953857422,0.500583827495575,0.18047811090946198,0.4130953550338745
