,what,is,generally,considered,to,be,the,most,basic,iteration,of,a,turing,machine,?
a,0.3320399522781372,0.658733606338501,0.37653425335884094,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.5829201340675354,0.3508910834789276,0.2517271041870117,0.2976329028606415,0.5052502155303955,1.0,0.25234705209732056,0.24983544647693634,0.23916715383529663
deterministic,0.41523241996765137,0.33447402715682983,0.40709012746810913,0.360864520072937,0.32933658361434937,0.38229048252105713,0.33725428581237793,0.2568792700767517,0.3742840886116028,0.5038013458251953,0.3430701494216919,0.35494157671928406,0.4115058183670044,0.27763426303863525,0.26914435625076294
turing,0.2806522250175476,0.18364353477954865,0.1910787671804428,0.18294841051101685,0.22095461189746857,0.2587292492389679,0.2644472122192383,0.23340554535388947,0.2720482647418976,0.3455856740474701,0.2670239806175232,0.25234705209732056,1.0000001192092896,0.4048772156238556,0.1460462063550949
machine,0.23075932264328003,0.18938691914081573,0.17172005772590637,0.0991567000746727,0.1634126603603363,0.24763767421245575,0.22788187861442566,0.17841923236846924,0.2905193269252777,0.23659208416938782,0.15468473732471466,0.24983544647693634,0.4048772156238556,1.0,0.17587624490261078
is,0.28837618231773376,1.0,0.4094115197658539,0.4096149802207947,0.42745086550712585,0.4819129705429077,0.5823672413825989,0.41165053844451904,0.2828887104988098,0.27008384466171265,0.4854315221309662,0.658733606338501,0.18364353477954865,0.18938691914081573,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.41466525197029114,0.4028765559196472,0.535392165184021,0.4248143136501312,1.0,0.47635307908058167,0.27259987592697144,0.36439648270606995,0.733189046382904,0.5829201340675354,0.2644472122192383,0.22788187861442566,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.5125229954719543,0.4944847524166107,0.321603000164032,0.3381733000278473,0.47635307908058167,1.0,0.2763790488243103,0.22000080347061157,0.4178851246833801,0.3508910834789276,0.23340554535388947,0.17841923236846924,0.2107497900724411
basic,0.3564627468585968,0.2828887104988098,0.33846813440322876,0.18555022776126862,0.28033503890037537,0.3317239582538605,0.27259987592697144,0.2763790488243103,1.0000001192092896,0.36206772923469543,0.2817785441875458,0.2517271041870117,0.2720482647418976,0.2905193269252777,0.26534420251846313
turing,0.2806522250175476,0.18364353477954865,0.1910787671804428,0.18294841051101685,0.22095461189746857,0.2587292492389679,0.2644472122192383,0.23340554535388947,0.2720482647418976,0.3455856740474701,0.2670239806175232,0.25234705209732056,1.0000001192092896,0.4048772156238556,0.1460462063550949
machine,0.23075932264328003,0.18938691914081573,0.17172005772590637,0.0991567000746727,0.1634126603603363,0.24763767421245575,0.22788187861442566,0.17841923236846924,0.2905193269252777,0.23659208416938782,0.15468473732471466,0.24983544647693634,0.4048772156238556,1.0,0.17587624490261078
",",0.3087472915649414,0.4691906273365021,0.29679131507873535,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.4933079481124878,0.3636029064655304,0.2850632071495056,0.23925891518592834,0.4946078956127167,0.427140474319458,0.2807261645793915,0.21841607987880707,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.5185179114341736,0.32509535551071167,0.5345056653022766,0.476310670375824,0.6521818041801453,0.4637843072414398,0.39763036370277405,0.39560869336128235,0.5011631846427917,0.56894451379776,0.2775655686855316,0.27888262271881104,0.25814583897590637
uses,0.1933930367231369,0.41359779238700867,0.2629905939102173,0.2119465321302414,0.3010925054550171,0.25802361965179443,0.2830192744731903,0.2366945892572403,0.35540297627449036,0.31549689173698425,0.2738003432750702,0.35566505789756775,0.21857912838459015,0.2995792329311371,0.18407079577445984
a,0.3320399522781372,0.658733606338501,0.37653425335884094,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.5829201340675354,0.3508910834789276,0.2517271041870117,0.2976329028606415,0.5052502155303955,1.0,0.25234705209732056,0.24983544647693634,0.23916715383529663
fixed,0.255135715007782,0.19544963538646698,0.26375725865364075,0.20685331523418427,0.26378992199897766,0.3733726739883423,0.27127328515052795,0.20209814608097076,0.3554556369781494,0.2914487421512604,0.1495256870985031,0.24578048288822174,0.21131744980812073,0.14322613179683685,0.2728462815284729
set,0.28954121470451355,0.21148966252803802,0.2205725908279419,0.18612004816532135,0.320547491312027,0.19580282270908356,0.2927955985069275,0.15995323657989502,0.2104903906583786,0.26090073585510254,0.20671486854553223,0.2540091574192047,0.23849166929721832,0.18266715109348297,0.1698019951581955
of,0.33290785551071167,0.4854315221309662,0.3127037584781647,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.733189046382904,0.4178851246833801,0.2817785441875458,0.30468982458114624,1.0,0.5052502155303955,0.2670239806175232,0.15468473732471466,0.1826142966747284
rules,0.3341682255268097,0.1963796466588974,0.3107971251010895,0.20705194771289825,0.24270765483379364,0.2569824457168579,0.27022838592529297,0.2064923495054245,0.3502710163593292,0.26217514276504517,0.18197891116142273,0.20817093551158905,0.18449901044368744,0.1317290961742401,0.22111085057258606
to,0.455847829580307,0.42745086550712585,0.3871513605117798,0.2954166829586029,1.0,0.4972836375236511,0.535392165184021,0.321603000164032,0.28033503890037537,0.30821552872657776,0.41548454761505127,0.45503583550453186,0.22095461189746857,0.1634126603603363,0.29463258385658264
determine,0.39403316378593445,0.31959035992622375,0.3436073362827301,0.351576030254364,0.4076496958732605,0.43451228737831116,0.40889066457748413,0.2702135145664215,0.2608242630958557,0.3853139877319336,0.3512130081653595,0.3650607168674469,0.31221580505371094,0.20093661546707153,0.2943372130393982
its,0.30393704771995544,0.4447362422943115,0.3741089403629303,0.30358725786209106,0.3691340684890747,0.2731834948062897,0.559237003326416,0.32324016094207764,0.24968425929546356,0.3161696493625641,0.48690423369407654,0.4424409866333008,0.13580092787742615,0.15019336342811584,0.15103481709957123
future,0.29700374603271484,0.1601216346025467,0.1632077842950821,0.19669988751411438,0.3191963732242584,0.32757890224456787,0.2337762415409088,0.1406138688325882,0.12776537239551544,0.2539953589439392,0.25455814599990845,0.16284751892089844,0.19704203307628632,0.12522825598716736,0.3367180824279785
actions,0.39243605732917786,0.17133161425590515,0.2630143165588379,0.25708088278770447,0.27775833010673523,0.2970867455005646,0.297427237033844,0.19948463141918182,0.27125102281570435,0.33480724692344666,0.27202147245407104,0.22348695993423462,0.29611268639564514,0.2045169323682785,0.2841099798679352
.,0.3567904531955719,0.4569662809371948,0.3124077022075653,0.29356086254119873,0.4645031690597534,0.4383580684661865,0.5934505462646484,0.35404038429260254,0.2838435769081116,0.2446613758802414,0.5352458953857422,0.50484299659729,0.19254323840141296,0.20798662304878235,0.4130953550338745
