,along,with,electric,motors,",",what,power,sources,overtook,steam,engines,in,the,20th,century,?
steam,0.22119560837745667,0.21801024675369263,0.3633075952529907,0.3802523612976074,0.2264556586742401,0.15672586858272552,0.35972869396209717,0.15929515659809113,0.25793948769569397,1.0000001192092896,0.4903687536716461,0.19852672517299652,0.23105813562870026,0.17203637957572937,0.2347051203250885,0.113324373960495
engines,0.10451225191354752,0.21779674291610718,0.27716219425201416,0.4789537489414215,0.20245449244976044,0.1634974628686905,0.3073769509792328,0.2675727903842926,0.26960498094558716,0.4903687536716461,1.0000001192092896,0.18084456026554108,0.2245008647441864,0.15909530222415924,0.15469561517238617,0.18940703570842743
remained,0.20034240186214447,0.25786063075065613,0.11026088893413544,0.1581348329782486,0.23734888434410095,0.1733817607164383,0.20304328203201294,0.13555797934532166,0.31851911544799805,0.2021377831697464,0.17769627273082733,0.30947351455688477,0.3492392301559448,0.11149054765701294,0.2731819748878479,0.08263323456048965
the,0.39495137333869934,0.4223487675189972,0.21345196664333344,0.16861771047115326,0.4933079481124878,0.42745697498321533,0.2647338807582855,0.27209216356277466,0.33106908202171326,0.23105813562870026,0.2245008647441864,0.6662389636039734,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
dominant,0.13203708827495575,0.21302339434623718,0.1052568107843399,0.1259896159172058,0.23045329749584198,0.21783894300460815,0.27562618255615234,0.19404272735118866,0.2837256193161011,0.18495407700538635,0.1701275259256363,0.26107057929039,0.3743239641189575,0.2151002585887909,0.3373525142669678,0.07625212520360947
source,0.13185645639896393,0.16254369914531708,0.18051189184188843,0.10825450718402863,0.2657822072505951,0.2553733289241791,0.2376585751771927,0.7342106699943542,0.09027112275362015,0.190715953707695,0.2280399650335312,0.24019475281238556,0.30258262157440186,0.18905924260616302,0.1051749438047409,0.2462312877178192
of,0.34889817237854004,0.41827285289764404,0.17329032719135284,0.17503497004508972,0.4946078956127167,0.33290785551071167,0.25273123383522034,0.20696839690208435,0.3091469407081604,0.20239725708961487,0.17593856155872345,0.5696388483047485,0.733189046382904,0.21726468205451965,0.2826060354709625,0.1826142966747284
power,0.19456323981285095,0.20798128843307495,0.34122735261917114,0.3177069425582886,0.2231994867324829,0.22216427326202393,1.0000001192092896,0.2631075382232666,0.2807225286960602,0.35972869396209717,0.3073769509792328,0.16666220128536224,0.2647338807582855,0.24901182949543,0.15483827888965607,0.15304024517536163
until,0.17785710096359253,0.25182005763053894,0.14820946753025055,0.14973442256450653,0.2947838604450226,0.2693650424480438,0.1498769372701645,0.20126067101955414,0.2454039454460144,0.19970092177391052,0.19401630759239197,0.38338494300842285,0.37191009521484375,0.1847054660320282,0.3046443462371826,0.20304496586322784
the,0.39495137333869934,0.4223487675189972,0.21345196664333344,0.16861771047115326,0.4933079481124878,0.42745697498321533,0.2647338807582855,0.27209216356277466,0.33106908202171326,0.23105813562870026,0.2245008647441864,0.6662389636039734,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
early,0.17541852593421936,0.23919914662837982,0.1870424598455429,0.14420484006404877,0.3022546172142029,0.2454567849636078,0.1823132336139679,0.19783270359039307,0.26199594140052795,0.24322280287742615,0.16853192448616028,0.34672921895980835,0.34442198276519775,0.17268848419189453,0.4336492121219635,0.15272949635982513
20th,0.24221569299697876,0.22445109486579895,0.156341090798378,0.12402648478746414,0.22451449930667877,0.1850772649049759,0.24901182949543,0.16141246259212494,0.14965829253196716,0.17203637957572937,0.15909530222415924,0.20743919909000397,0.3097512125968933,1.0,0.2968566119670868,0.14985637366771698
century,0.10333268344402313,0.1467021107673645,0.13295488059520721,0.18192996084690094,0.24487493932247162,0.20422613620758057,0.15483827888965607,0.13789618015289307,0.27357515692710876,0.2347051203250885,0.15469561517238617,0.3174034655094147,0.3617299497127533,0.2968566119670868,1.0,0.1026201918721199
