,where,did,tesla,and,twain,hang,out,?
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.4954058527946472,0.28504478931427,0.1740773320198059,0.3576207756996155,0.20430970191955566
middle,0.24287375807762146,0.17732174694538116,0.08926539123058319,0.2514324486255646,0.11553888767957687,0.1342289298772812,0.1980866640806198,0.13139553368091583
age,0.2418987900018692,0.1816447526216507,0.07816897332668304,0.20936404168605804,0.13436225056648254,0.10074372589588165,0.12958112359046936,0.16859300434589386
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.6633074283599854,0.24214226007461548,0.2178230732679367,0.3161109685897827,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.19560420513153076,0.18854016065597534,0.126344233751297,0.2017683982849121,0.10250775516033173
became,0.1668500453233719,0.3632316589355469,0.12976884841918945,0.31226563453674316,0.2019362598657608,0.07353787124156952,0.1417316347360611,0.11374033987522125
a,0.40997210144996643,0.2552328109741211,0.2211925983428955,0.3739250600337982,0.26306867599487305,0.19217978417873383,0.34264278411865234,0.23916715383529663
close,0.2642509639263153,0.1545615941286087,0.08207103610038757,0.32415980100631714,0.15621832013130188,0.17618881165981293,0.18643999099731445,0.1908312737941742
friend,0.17635221779346466,0.1877204179763794,0.14410300552845,0.2752458155155182,0.2639409601688385,0.10934764891862869,0.1824260801076889,0.12953594326972961
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.5116966962814331,0.19054219126701355,0.14368058741092682,0.34176841378211975,0.1826142966747284
mark,0.14520183205604553,0.10116355866193771,0.19376379251480103,0.21048615872859955,0.5033149123191833,0.134181410074234,0.21840184926986694,0.11634156107902527
twain,0.11263522505760193,0.1379179060459137,0.18854016065597534,0.190964475274086,0.9999999403953552,0.12839937210083008,0.16765503585338593,0.1620187759399414
;,-0.020392686128616333,0.10727239400148392,-0.03835732489824295,0.08403264731168747,0.07432922720909119,-0.03354903310537338,-0.060155294835567474,0.10349778085947037
they,0.43078136444091797,0.4879390597343445,0.1470530778169632,0.5073080658912659,0.2012670487165451,0.28581511974334717,0.39875903725624084,0.2753053903579712
spent,0.23081740736961365,0.26986101269721985,0.06432446837425232,0.2740579843521118,0.25057893991470337,0.12182755023241043,0.21941432356834412,0.09774520993232727
a,0.40997210144996643,0.2552328109741211,0.2211925983428955,0.3739250600337982,0.26306867599487305,0.19217978417873383,0.34264278411865234,0.23916715383529663
lot,0.2776258885860443,0.333745539188385,0.16089829802513123,0.37820276618003845,0.16697955131530762,0.21580345928668976,0.32308754324913025,0.219394251704216
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.5116966962814331,0.19054219126701355,0.14368058741092682,0.34176841378211975,0.1826142966747284
time,0.3538551926612854,0.3567926585674286,0.14928559958934784,0.3025408685207367,0.21014311909675598,0.1595029979944229,0.25965559482574463,0.27391523122787476
together,0.27854785323143005,0.16267985105514526,0.2026316523551941,0.37008100748062134,0.14344145357608795,0.12457600235939026,0.3212219476699829,0.1690303236246109
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.4954058527946472,0.28504478931427,0.1740773320198059,0.3576207756996155,0.20430970191955566
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.4234102666378021,0.31528156995773315,0.1644585132598877,0.3022425174713135,0.18075084686279297
lab,0.18901365995407104,0.19881273806095123,0.24769280850887299,0.2452252358198166,0.14356008172035217,0.13056457042694092,0.3131846487522125,0.15959888696670532
and,0.43859338760375977,0.34479495882987976,0.19560420513153076,1.0,0.190964475274086,0.21056894958019257,0.3881998062133789,0.20544172823429108
elsewhere,0.43946096301078796,0.22710520029067993,0.08733204007148743,0.28654205799102783,0.09136722981929779,0.12768103182315826,0.2612178325653076,0.33915433287620544
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.588965117931366,0.19596882164478302,0.20233863592147827,0.34234723448753357,0.4130953550338745
