,what,is,the,exchange,of,heat,associated,with,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21970009803771973,0.5696388483047485,0.20852652192115784,0.23328746855258942,0.4080928862094879,0.20430970191955566
macroscopic,0.2585065960884094,0.1789577305316925,0.22794966399669647,0.12370176613330841,0.2728501558303833,0.30888593196868896,0.19096747040748596,0.22209064662456512,0.1954335868358612
closed,0.1689339131116867,0.15169702470302582,0.2359541952610016,0.09153959155082703,0.15899594128131866,0.17847010493278503,0.23027709126472473,0.1538650244474411,0.15595348179340363
systems,0.1871482878923416,0.23126937448978424,0.28089964389801025,0.21122312545776367,0.277031809091568,0.23849663138389587,0.17868167161941528,0.16664795577526093,0.1575973927974701
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2447657436132431,0.4946078956127167,0.25331911444664,0.27184680104255676,0.4120737314224243,0.31091248989105225
nonconservative,0.25337398052215576,0.23817770183086395,0.21776974201202393,0.10183478891849518,0.20895910263061523,0.20636484026908875,0.15622888505458832,0.18100842833518982,0.2374468743801117
forces,0.2112482488155365,0.18792390823364258,0.3134811818599701,0.20112575590610504,0.3090144991874695,0.14868886768817902,0.16610772907733917,0.18998397886753082,0.16984491050243378
act,0.2622668445110321,0.18206438422203064,0.28682878613471985,0.16939003765583038,0.2802577316761017,0.11627411097288132,0.19315513968467712,0.18591532111167908,0.1482519507408142
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.20507046580314636,0.41548454761505127,0.2773711681365967,0.2648659348487854,0.4239959120750427,0.29463258385658264
change,0.3690716028213501,0.33028605580329895,0.3641999065876007,0.34014296531677246,0.2569013833999634,0.21514888107776642,0.17883643507957458,0.22604717314243317,0.24115969240665436
the,0.42745697498321533,0.5823672413825989,1.0,0.2543705105781555,0.733189046382904,0.2556036710739136,0.2742886245250702,0.4223487675189972,0.22068053483963013
internal,0.2065390944480896,0.14705020189285278,0.24764955043792725,0.17765875160694122,0.273920476436615,0.28870540857315063,0.186752587556839,0.27123862504959106,0.1665428727865219
energies,0.24132846295833588,0.22511978447437286,0.2364770919084549,0.19302158057689667,0.22040630877017975,0.396619975566864,0.3174441158771515,0.2152749001979828,0.20904763042926788
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23548997938632965,1.0,0.19590096175670624,0.3077163100242615,0.41827285289764404,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2543705105781555,0.733189046382904,0.2556036710739136,0.2742886245250702,0.4223487675189972,0.22068053483963013
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.187787726521492,0.25597915053367615,0.21058917045593262,0.1672019064426422,0.14296101033687592,0.15556083619594574
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2447657436132431,0.4946078956127167,0.25331911444664,0.27184680104255676,0.4120737314224243,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23130671679973602,0.5116966962814331,0.2678423523902893,0.30157923698425293,0.5477725267410278,0.20544172823429108
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.18657633662223816,0.39081433415412903,0.20968274772167206,0.28055059909820557,0.38996943831443787,0.24591213464736938
often,0.3849453330039978,0.3856629431247711,0.38004449009895325,0.1523229330778122,0.3351972997188568,0.23968406021595,0.3631689250469208,0.41081544756889343,0.23748154938220978
associated,0.15836219489574432,0.2300606518983841,0.2742886245250702,0.12345506995916367,0.3077163100242615,0.16414809226989746,0.9999999403953552,0.3939831554889679,0.1453326791524887
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.25147977471351624,0.41827285289764404,0.2545742690563202,0.3939831554889679,0.9999999403953552,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.2543705105781555,0.733189046382904,0.2556036710739136,0.2742886245250702,0.4223487675189972,0.22068053483963013
transfer,0.16232657432556152,0.22183071076869965,0.2638886570930481,0.40922075510025024,0.2704789340496063,0.2840116322040558,0.20043061673641205,0.18636707961559296,0.13552898168563843
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23548997938632965,1.0,0.19590096175670624,0.3077163100242615,0.41827285289764404,0.1826142966747284
heat,0.1933984011411667,0.20543494820594788,0.2556036710739136,0.23564943671226501,0.19590096175670624,1.0,0.16414809226989746,0.2545742690563202,0.16343188285827637
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.14290252327919006,0.5352458953857422,0.27046459913253784,0.2184346318244934,0.4446153938770294,0.4130953550338745
