,how,successful,was,the,french,revised,efforts,?
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.6662389636039734,0.22093388438224792,0.19535814225673676,0.21540255844593048,0.20430970191955566
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,1.0,0.2555147111415863,0.2513941526412964,0.26890742778778076,0.22068053483963013
aftermath,0.18594743311405182,0.1836276799440384,0.2607690393924713,0.24227569997310638,0.10117422789335251,0.16018468141555786,0.34715545177459717,0.13848184049129486
of,0.2480744868516922,0.2304827868938446,0.4069072902202606,0.733189046382904,0.19450366497039795,0.2270628809928894,0.23738951981067657,0.1826142966747284
generally,0.35949206352233887,0.22520899772644043,0.25163960456848145,0.41466525197029114,0.27812209725379944,0.14397133886814117,0.2584264874458313,0.23411904275417328
poor,0.2143605500459671,0.20570020377635956,0.23301246762275696,0.21093174815177917,0.1512148231267929,0.1567276120185852,0.2913396954536438,0.12937016785144806
french,0.14884154498577118,0.20162765681743622,0.2523815333843231,0.2555147111415863,1.0000001192092896,0.1001666933298111,0.1669636070728302,0.1386883556842804
results,0.2975708544254303,0.19717088341712952,0.1437312215566635,0.2863679826259613,0.12361245602369308,0.21071328222751617,0.24627336859703064,0.21797199547290802
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.6662389636039734,0.22093388438224792,0.19535814225673676,0.21540255844593048,0.20430970191955566
most,0.311336874961853,0.38893797993659973,0.29933857917785645,0.47635307908058167,0.21416456997394562,0.14474666118621826,0.2607354521751404,0.2107497900724411
theaters,0.18894053995609283,0.2329704463481903,0.33365586400032043,0.2679557502269745,0.16377229988574982,0.18691037595272064,0.16178590059280396,0.17258712649345398
of,0.2480744868516922,0.2304827868938446,0.4069072902202606,0.733189046382904,0.19450366497039795,0.2270628809928894,0.23738951981067657,0.1826142966747284
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,1.0,0.2555147111415863,0.2513941526412964,0.26890742778778076,0.22068053483963013
seven,0.20032188296318054,0.14670997858047485,0.28194957971572876,0.28151169419288635,0.16133227944374084,0.11438235640525818,0.14109094440937042,0.1732930988073349
years,0.21949264407157898,0.23175986111164093,0.35855233669281006,0.2912273406982422,0.17051009833812714,0.19147944450378418,0.1563541293144226,0.1914375126361847
',0.18823795020580292,0.23923127353191376,0.33675912022590637,0.474788099527359,0.15956202149391174,0.17963653802871704,0.18707911670207977,0.330942302942276
war,0.22947508096694946,0.1861853450536728,0.3560331463813782,0.366199791431427,0.2536753714084625,0.13454869389533997,0.32331201434135437,0.15510529279708862
in,0.2601168751716614,0.2864660918712616,0.45514053106307983,0.6662389636039734,0.22093388438224792,0.19535814225673676,0.21540255844593048,0.20430970191955566
1758,0.08410114049911499,0.08529993891716003,0.17758594453334808,0.13942837715148926,0.27732017636299133,0.1513662338256836,0.14819124341011047,0.16363275051116943
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.4933079481124878,0.28806620836257935,0.2112094908952713,0.20678693056106567,0.31091248989105225
france,0.13197430968284607,0.2079799622297287,0.2715669870376587,0.35517507791519165,0.5492131114006042,0.06276912987232208,0.19149892032146454,0.15069349110126495
's,-0.026164190843701363,-0.01727212779223919,0.008974763564765453,-0.01540423184633255,0.0634014755487442,-0.16661804914474487,0.11025857925415039,-0.023395681753754616
new,0.20832711458206177,0.19698897004127502,0.2748313844203949,0.3845241069793701,0.1977054476737976,0.2676893174648285,0.19430527091026306,0.14782847464084625
foreign,0.2628900706768036,0.17846134305000305,0.18690811097621918,0.2946566939353943,0.2541502118110657,0.15576983988285065,0.21453310549259186,0.13770383596420288
minister,0.08135554194450378,0.10361791402101517,0.26634681224823,0.19297581911087036,0.20523114502429962,0.11779671907424927,0.15448912978172302,0.10825661569833755
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.4933079481124878,0.28806620836257935,0.2112094908952713,0.20678693056106567,0.31091248989105225
the,0.33890387415885925,0.31354787945747375,0.48711544275283813,1.0,0.2555147111415863,0.2513941526412964,0.26890742778778076,0.22068053483963013
duc,0.09553685039281845,0.030502639710903168,0.22134777903556824,0.20688122510910034,0.4220242202281952,0.16765445470809937,0.1821836680173874,0.1750880479812622
de,0.10241838544607162,0.1306605488061905,0.20575080811977386,0.23491892218589783,0.3256419897079468,0.13332174718379974,0.07994144409894943,0.11064168810844421
choiseul,0.1547618955373764,0.16382664442062378,0.30744820833206177,0.3060218393802643,0.48836782574653625,0.26640018820762634,0.17416585981845856,0.23027311265468597
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.4933079481124878,0.28806620836257935,0.2112094908952713,0.20678693056106567,0.31091248989105225
decided,0.251603364944458,0.23508867621421814,0.41358432173728943,0.37534645199775696,0.16767200827598572,0.20208588242530823,0.36171582341194153,0.258772075176239
to,0.44169697165489197,0.2317596971988678,0.3636345863342285,0.535392165184021,0.1713797152042389,0.14988531172275543,0.36228540539741516,0.29463258385658264
focus,0.3044455051422119,0.20937849581241608,0.18024994432926178,0.25318023562431335,0.09890490025281906,0.1577523946762085,0.37490734457969666,0.23925252258777618
on,0.32655060291290283,0.22642658650875092,0.3909217119216919,0.5107308030128479,0.1382952481508255,0.17106640338897705,0.2287449687719345,0.2714994251728058
an,0.2520636022090912,0.2901456952095032,0.3694365322589874,0.4207492768764496,0.17262065410614014,0.17353367805480957,0.2043699324131012,0.19793890416622162
invasion,0.12191843241453171,0.19923119246959686,0.27169278264045715,0.32296645641326904,0.12546315789222717,0.11157938092947006,0.26852184534072876,0.18923960626125336
of,0.2480744868516922,0.2304827868938446,0.4069072902202606,0.733189046382904,0.19450366497039795,0.2270628809928894,0.23738951981067657,0.1826142966747284
britain,0.21808192133903503,0.2171248495578766,0.27792006731033325,0.29784059524536133,0.26548969745635986,0.2009318321943283,0.2283497452735901,0.1268460750579834
",",0.22659391164779663,0.28826844692230225,0.45456063747406006,0.4933079481124878,0.28806620836257935,0.2112094908952713,0.20678693056106567,0.31091248989105225
to,0.44169697165489197,0.2317596971988678,0.3636345863342285,0.535392165184021,0.1713797152042389,0.14988531172275543,0.36228540539741516,0.29463258385658264
draw,0.2672129273414612,0.1231108009815216,0.08883517980575562,0.21679934859275818,0.13645286858081818,0.08292274922132492,0.19128358364105225,0.16320596635341644
