,who,did,the,broncos,beat,in,the,divisional,game,?
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.6662389636039734,1.0,0.29866886138916016,0.285271555185318,0.22068053483963013
broncos,0.1763724684715271,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.299129456281662,0.20316283404827118,0.25985947251319885,0.32206958532333374,0.32325026392936707,0.18377114832401276
defeated,0.24426424503326416,0.23103484511375427,0.2833898365497589,0.3003196120262146,0.4585265815258026,0.24813973903656006,0.2833898365497589,0.26896175742149353,0.20683228969573975,0.1413237303495407
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.6662389636039734,1.0,0.29866886138916016,0.285271555185318,0.22068053483963013
pittsburgh,0.19273275136947632,0.11489082127809525,0.22728557884693146,0.46763214468955994,0.1780538260936737,0.1921023428440094,0.22728557884693146,0.1418951451778412,0.23751099407672882,0.17622371017932892
steelers,0.2024606466293335,0.1293059140443802,0.24458691477775574,0.6163044571876526,0.3288456201553345,0.16642944514751434,0.24458691477775574,0.29003608226776123,0.2665574252605438,0.2030561864376068
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.16871558129787445,1.0,0.6662389636039734,0.27742800116539,0.23986028134822845,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.6662389636039734,1.0,0.29866886138916016,0.285271555185318,0.22068053483963013
divisional,0.12287947535514832,0.17902438342571259,0.29866886138916016,0.32206958532333374,0.2122587412595749,0.27742800116539,0.29866886138916016,1.0,0.1927962601184845,0.08093056827783585
round,0.14290806651115417,0.11159620434045792,0.19933617115020752,0.2565499246120453,0.31973010301589966,0.17063008248806,0.19933617115020752,0.23850208520889282,0.24281927943229675,0.17003268003463745
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2718006372451782,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2653886377811432,0.31091248989105225
23–16,0.030127037316560745,0.004766777623444796,0.0726022943854332,0.4549325406551361,0.2160753756761551,0.15335093438625336,0.0726022943854332,0.24598544836044312,0.2442157119512558,-0.04613818600773811
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2718006372451782,0.5201468467712402,0.4933079481124878,0.26088419556617737,0.2653886377811432,0.31091248989105225
by,0.39727845788002014,0.18574509024620056,0.4408751428127289,0.11333504319190979,0.19276173412799835,0.370934396982193,0.4408751428127289,0.21055227518081665,0.21372540295124054,0.17966607213020325
scoring,0.1477721482515335,0.1931239515542984,0.2582377791404724,0.3381083905696869,0.32188814878463745,0.19487565755844116,0.2582377791404724,0.19379757344722748,0.3741050362586975,0.0971682071685791
11,0.11859084665775299,0.07614340633153915,-0.0219515822827816,-0.0632704421877861,-0.015784183517098427,0.03469983860850334,-0.0219515822827816,-0.1140165627002716,0.03408600389957428,-0.04295448586344719
points,0.16272501647472382,0.2069225311279297,0.2560983896255493,0.22998562455177307,0.19648222625255585,0.1616203784942627,0.2560983896255493,0.1835746020078659,0.3296988606452942,0.11006313562393188
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.16871558129787445,1.0,0.6662389636039734,0.27742800116539,0.23986028134822845,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.6662389636039734,1.0,0.29866886138916016,0.285271555185318,0.22068053483963013
final,0.16870783269405365,0.24226084351539612,0.3543182611465454,0.2183726727962494,0.32037389278411865,0.25512343645095825,0.3543182611465454,0.23647022247314453,0.32037389278411865,0.17315025627613068
three,0.2491552233695984,0.2043166607618332,0.43452659249305725,0.23654358088970184,0.2183031439781189,0.34828072786331177,0.43452659249305725,0.26496973633766174,0.24410177767276764,0.20928427577018738
minutes,0.153090700507164,0.1874036341905594,0.20313966274261475,0.17653882503509521,0.1998390555381775,0.18828919529914856,0.20313966274261475,0.11845880001783371,0.260603129863739,0.14419560134410858
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.19310332834720612,0.15358257293701172,0.5696388483047485,0.733189046382904,0.3047286868095398,0.2298848181962967,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.6662389636039734,1.0,0.29866886138916016,0.285271555185318,0.22068053483963013
game,0.2523840069770813,0.19789010286331177,0.285271555185318,0.32325026392936707,0.30160796642303467,0.23986028134822845,0.285271555185318,0.1927962601184845,0.9999998807907104,0.1829071193933487
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.2967934012413025,0.5591574311256409,0.5934505462646484,0.25612205266952515,0.2581658959388733,0.4130953550338745
