,what,type,of,climate,does,jacksonville,have,?
like,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.1522829383611679,0.3720950186252594,0.1849297434091568,0.5579352974891663,0.3268813192844391
much,0.45316147804260254,0.24851489067077637,0.2671096920967102,0.26048722863197327,0.38653305172920227,0.1343209147453308,0.440376877784729,0.23442231118679047
of,0.33290785551071167,0.18112817406654358,1.0,0.25840428471565247,0.3119818866252899,0.23084138333797455,0.3802283704280853,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2693597674369812,0.35928019881248474,0.2176690250635147,0.40389683842658997,0.22068053483963013
south,0.15388517081737518,0.11440043896436691,0.33382371068000793,0.24848546087741852,0.11284814029932022,0.24695053696632385,0.15469403564929962,0.12336621433496475
atlantic,0.16333554685115814,0.11180663108825684,0.22176773846149445,0.25683724880218506,0.13943062722682953,0.3390050530433655,0.20438291132450104,0.15355663001537323
region,0.2298986315727234,0.21490883827209473,0.2852717339992523,0.3039851784706116,0.10874218493700027,0.1469353437423706,0.191070094704628,0.13441751897335052
of,0.33290785551071167,0.18112817406654358,1.0,0.25840428471565247,0.3119818866252899,0.23084138333797455,0.3802283704280853,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2693597674369812,0.35928019881248474,0.2176690250635147,0.40389683842658997,0.22068053483963013
united,0.20036718249320984,0.14191332459449768,0.3187655806541443,0.1732175201177597,0.1650896966457367,0.303199827671051,0.17950676381587982,0.17266890406608582
states,0.21526020765304565,0.15023280680179596,0.30884552001953125,0.16518650949001312,0.18093830347061157,0.31034567952156067,0.20162390172481537,0.16272737085819244
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.224740669131279,0.28617382049560547,0.2837527096271515,0.3541618287563324,0.31091248989105225
jacksonville,0.14578714966773987,0.12017322331666946,0.23084138333797455,0.10859598219394684,0.14389668405056,1.0000001192092896,0.21982981264591217,0.1359667330980301
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.2747833728790283,0.42885294556617737,0.22732819616794586,0.6353569626808167,0.15994466841220856
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1805623322725296,0.38201746344566345,0.28008249402046204,0.338716596364975,0.23916715383529663
humid,0.20818693935871124,0.1742132157087326,0.21882779896259308,0.676008403301239,0.1943783313035965,0.16356991231441498,0.18073670566082,0.18080666661262512
subtropical,0.20690973103046417,0.15931519865989685,0.17569401860237122,0.47993817925453186,0.14803092181682587,0.19871120154857635,0.23358751833438873,0.13303013145923615
climate,0.2854173183441162,0.23705290257930756,0.25840428471565247,1.0000001192092896,0.22213737666606903,0.10859598219394684,0.2120167762041092,0.19998492300510406
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.1649118959903717,0.2728188931941986,0.1611778438091278,0.23072676360607147,0.40561532974243164
köppen,0.20744265615940094,0.2889552116394043,0.2060711532831192,0.7125304341316223,0.1997472047805786,0.16978302597999573,0.22268302738666534,0.20823095738887787
cfa,0.2744273841381073,0.17259588837623596,0.13006019592285156,0.4750805199146271,0.21572639048099518,0.2055162787437439,0.28014662861824036,0.2396017462015152
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.17368096113204956,0.2575884759426117,0.16729915142059326,0.22866283357143402,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.224740669131279,0.28617382049560547,0.2837527096271515,0.3541618287563324,0.31091248989105225
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.19627727568149567,0.26186925172805786,0.2283513844013214,0.48046383261680603,0.2433311939239502
mild,0.23350051045417786,0.2729632556438446,0.21897318959236145,0.5238950848579407,0.23742254078388214,0.1429978609085083,0.2427728772163391,0.1594024896621704
weather,0.2620617747306824,0.19018958508968353,0.22687400877475739,0.5256097316741943,0.2311316579580307,0.25744494795799255,0.20095227658748627,0.15533578395843506
during,0.24137552082538605,0.1538453847169876,0.3869180977344513,0.23821045458316803,0.15165476500988007,0.2325054407119751,0.27574852108955383,0.1325719803571701
winters,0.14106787741184235,0.08577335625886917,0.19831275939941406,0.477388471364975,0.23856361210346222,0.22050432860851288,0.20107078552246094,0.17052674293518066
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2292918860912323,0.3461615741252899,0.2603762745857239,0.4711785912513733,0.20544172823429108
hot,0.1852344572544098,0.2360318899154663,0.18243882060050964,0.41722941398620605,0.2383645921945572,0.14742472767829895,0.21457786858081818,0.1789601445198059
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2292918860912323,0.3461615741252899,0.2603762745857239,0.4711785912513733,0.20544172823429108
humid,0.20818693935871124,0.1742132157087326,0.21882779896259308,0.676008403301239,0.1943783313035965,0.16356991231441498,0.18073670566082,0.18080666661262512
weather,0.2620617747306824,0.19018958508968353,0.22687400877475739,0.5256097316741943,0.2311316579580307,0.25744494795799255,0.20095227658748627,0.15533578395843506
during,0.24137552082538605,0.1538453847169876,0.3869180977344513,0.23821045458316803,0.15165476500988007,0.2325054407119751,0.27574852108955383,0.1325719803571701
summers,0.16697873175144196,0.13845466077327728,0.2109280824661255,0.5652221441268921,0.2602591812610626,0.23761364817619324,0.2125851809978485,0.1530487835407257
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22208234667778015,0.3022993505001068,0.2843366861343384,0.41614407300949097,0.4130953550338745
