,in,what,area,of,the,united,states,did,tesla,move,to,?
tesla,0.17097744345664978,0.23221199214458466,0.12830446660518646,0.18837453424930573,0.1324402391910553,0.1552019715309143,0.17635658383369446,0.09757418930530548,0.9999999403953552,0.14545100927352905,0.17548894882202148,0.10250775516033173
gained,0.2935055196285248,0.15457381308078766,0.18132257461547852,0.29895761609077454,0.29543522000312805,0.23471371829509735,0.248657688498497,0.2939504086971283,0.2018451988697052,0.10238083451986313,0.22058042883872986,0.11261032521724701
experience,0.19806437194347382,0.3894727826118469,0.16028130054473877,0.228313148021698,0.21682339906692505,0.17249204218387604,0.19226029515266418,0.2411177009344101,0.23926784098148346,0.14829884469509125,0.25535836815834045,0.25203612446784973
in,1.0,0.30808621644973755,0.33632898330688477,0.5696388483047485,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.2593238651752472,0.17097744345664978,0.23030683398246765,0.45010748505592346,0.20430970191955566
telephony,0.26129165291786194,0.2220737338066101,0.28412821888923645,0.20798039436340332,0.2518288791179657,0.22218769788742065,0.21663977205753326,0.15577323734760284,0.3377399444580078,0.17319607734680176,0.27052682638168335,0.14779767394065857
and,0.4954058527946472,0.31309178471565247,0.3044000566005707,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.34479495882987976,0.19560420513153076,0.2671177089214325,0.48971283435821533,0.20544172823429108
electrical,0.2146623730659485,0.19961315393447876,0.20238524675369263,0.23057208955287933,0.2523402273654938,0.16479429602622986,0.1464807391166687,0.12294142693281174,0.45727142691612244,0.18500801920890808,0.2649001479148865,0.10923371464014053
engineering,0.2634803354740143,0.1897483468055725,0.16991204023361206,0.2630712687969208,0.23901307582855225,0.23063026368618011,0.21341769397258759,0.14655107259750366,0.31800028681755066,0.14388062059879303,0.21773739159107208,0.16555240750312805
before,0.4155850410461426,0.3801657259464264,0.1715146005153656,0.3282964527606964,0.45900648832321167,0.2543083131313324,0.23412185907363892,0.33642593026161194,0.14506052434444427,0.22331124544143677,0.4190867841243744,0.2507109045982361
emigrating,0.33440110087394714,0.2456328123807907,0.22495877742767334,0.2773526906967163,0.3192072808742523,0.31828585267066956,0.3135095536708832,0.17718683183193207,0.23259085416793823,0.2725912928581238,0.3138192296028137,0.14666429162025452
to,0.45010748505592346,0.455847829580307,0.2797197997570038,0.41548454761505127,0.535392165184021,0.2715383470058441,0.2828785181045532,0.4452643394470215,0.17548894882202148,0.37858664989471436,1.0,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.37834644317626953,0.733189046382904,1.0,0.34367692470550537,0.3463578522205353,0.34736719727516174,0.1324402391910553,0.29817628860473633,0.535392165184021,0.22068053483963013
united,0.3938477039337158,0.20036718249320984,0.24972930550575256,0.3187655806541443,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.21137088537216187,0.1552019715309143,0.16435693204402924,0.2715383470058441,0.17266890406608582
states,0.3977442979812622,0.21526020765304565,0.2400316596031189,0.30884552001953125,0.3463578522205353,0.8952266573905945,1.0,0.21754568815231323,0.17635658383369446,0.1676289290189743,0.2828785181045532,0.16272737085819244
in,1.0,0.30808621644973755,0.33632898330688477,0.5696388483047485,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.2593238651752472,0.17097744345664978,0.23030683398246765,0.45010748505592346,0.20430970191955566
1884,0.06194859743118286,-0.09389782696962357,0.09243827313184738,0.0891546979546547,0.07194139063358307,0.05140275880694389,0.1082279309630394,-0.019103914499282837,0.029632732272148132,0.0378652960062027,0.0789077877998352,-0.08445221930742264
to,0.45010748505592346,0.455847829580307,0.2797197997570038,0.41548454761505127,0.535392165184021,0.2715383470058441,0.2828785181045532,0.4452643394470215,0.17548894882202148,0.37858664989471436,1.0,0.29463258385658264
work,0.2753349542617798,0.3762225806713104,0.17807741463184357,0.23473061621189117,0.2704800069332123,0.13603049516677856,0.14620256423950195,0.336654931306839,0.2545209228992462,0.34735122323036194,0.3482864499092102,0.2621155381202698
