,what,was,planned,for,luther,by,frederick,iii,after,the,meeting,?
luther,0.2134782373905182,0.19185513257980347,0.15993882715702057,0.12958186864852905,1.0,0.15382802486419678,0.35359275341033936,0.20502203702926636,0.17198127508163452,0.1759674996137619,0.21091392636299133,0.1732746809720993
's,0.02692362666130066,0.008974763564765453,0.06015291437506676,-0.07241261005401611,-0.009990512393414974,-0.010884488001465797,-0.030423879623413086,-0.025885440409183502,-0.055672239512205124,-0.01540423184633255,0.013799736276268959,-0.023395681753754616
disappearance,0.22189614176750183,0.21894571185112,0.1601363569498062,0.17700795829296112,0.1464226096868515,0.17540891468524933,0.1746886521577835,0.04564973711967468,0.277187705039978,0.28494200110435486,0.2729528248310089,0.11583512276411057
during,0.24137552082538605,0.4470829963684082,0.2536073923110962,0.3448435664176941,0.18200165033340454,0.3220438063144684,0.2002415508031845,0.16410678625106812,0.528485894203186,0.4838213622570038,0.27857688069343567,0.1325719803571701
his,0.26976513862609863,0.4405253231525421,0.26248931884765625,0.39312878251075745,0.27093374729156494,0.3107621967792511,0.31675443053245544,0.18494349718093872,0.41949746012687683,0.4394008219242096,0.21243402361869812,0.18075084686279297
return,0.18344242870807648,0.12940508127212524,0.2203202098608017,0.23464316129684448,0.06525282561779022,0.1380302906036377,0.13469552993774414,0.1597772240638733,0.2711309492588043,0.2543797492980957,0.07653645426034927,0.14655634760856628
trip,0.24576207995414734,0.2776995003223419,0.30411484837532043,0.2293619066476822,0.09908436983823776,0.271188348531723,0.1765088438987732,0.12738575041294098,0.2791926860809326,0.2299763560295105,0.2665513753890991,0.09162633121013641
back,0.2965294420719147,0.2438982129096985,0.13426905870437622,0.2631518244743347,0.1458507627248764,0.1718224287033081,0.18686683475971222,0.18522945046424866,0.3641089200973511,0.3612101674079895,0.1613464504480362,0.2397768795490265
to,0.455847829580307,0.3636345863342285,0.309917151927948,0.4451248347759247,0.18029534816741943,0.33534231781959534,0.1936277449131012,0.1442069709300995,0.37890323996543884,0.535392165184021,0.2453547865152359,0.29463258385658264
wittenberg,0.15816158056259155,0.23245899379253387,0.1675025373697281,0.14358381927013397,0.42518264055252075,0.22712822258472443,0.35691240429878235,0.1839369386434555,0.20215079188346863,0.31221258640289307,0.2577672302722931,0.15716047585010529
was,0.22111038863658905,1.0000001192092896,0.3590250015258789,0.3863949179649353,0.19185513257980347,0.4752357602119446,0.34635642170906067,0.22718268632888794,0.49306565523147583,0.48711544275283813,0.24202010035514832,0.18412111699581146
planned,0.21141068637371063,0.3590250015258789,1.0000001192092896,0.21071262657642365,0.15993882715702057,0.25277236104011536,0.15732896327972412,0.13223405182361603,0.30027279257774353,0.3010992109775543,0.25552913546562195,0.16188396513462067
.,0.3567904531955719,0.40146201848983765,0.2560844421386719,0.4726039469242096,0.24907569587230682,0.3936232924461365,0.2665131986141205,0.24080099165439606,0.35870397090911865,0.5934505462646484,0.23260334134101868,0.4130953550338745
