,what,other,projectiles,did,tesla,compare,the,electric,particles,to,?
in,0.30808621644973755,0.39989137649536133,0.21995830535888672,0.2593238651752472,0.17097744345664978,0.1632516235113144,0.6662389636039734,0.19779469072818756,0.19249457120895386,0.45010748505592346,0.20430970191955566
comparing,0.37788718938827515,0.36333826184272766,0.29506275057792664,0.29765450954437256,0.22176137566566467,0.7220486402511597,0.27811378240585327,0.16949467360973358,0.20818449556827545,0.26591500639915466,0.26404500007629395
these,0.4164220690727234,0.6478539705276489,0.33288973569869995,0.38755595684051514,0.172775998711586,0.3474787771701813,0.49086877703666687,0.22622273862361908,0.3471221923828125,0.46852558851242065,0.2571668326854706
particles,0.26094838976860046,0.3036724925041199,0.4592534005641937,0.16904394328594208,0.2877620458602905,0.18100324273109436,0.23884518444538116,0.3256286382675171,1.0,0.25014081597328186,0.22255320847034454
with,0.2464839518070221,0.44086363911628723,0.28007981181144714,0.25472134351730347,0.16424812376499176,0.2636381685733795,0.4223487675189972,0.17031213641166687,0.2549915015697479,0.4239959120750427,0.2433311939239502
the,0.42745697498321533,0.44152235984802246,0.27604782581329346,0.34736719727516174,0.1324402391910553,0.26994526386260986,1.0,0.21345196664333344,0.23884518444538116,0.535392165184021,0.22068053483963013
bits,0.27468442916870117,0.2715308666229248,0.24766506254673004,0.08897767961025238,0.2088969349861145,0.28839609026908875,0.18586325645446777,0.16724702715873718,0.33867785334587097,0.23048996925354004,0.15402674674987793
of,0.33290785551071167,0.38583824038505554,0.24704132974147797,0.2513895630836487,0.18837453424930573,0.27714359760284424,0.733189046382904,0.17329032719135284,0.2280140221118927,0.41548454761505127,0.1826142966747284
metal,0.1684471070766449,0.2258572280406952,0.3601583242416382,0.14045892655849457,0.2887093722820282,0.1333298236131668,0.22397266328334808,0.2994401156902313,0.32368406653404236,0.18815438449382782,0.19767305254936218
projected,0.18966035544872284,0.22648821771144867,0.6453707218170166,0.16403257846832275,0.24255579710006714,0.23958434164524078,0.2842520475387573,0.25725701451301575,0.294146865606308,0.2539973556995392,0.17913633584976196
by,0.2455483376979828,0.3321913778781891,0.2575506567955017,0.18574509024620056,0.16513796150684357,0.1664934605360031,0.4408751428127289,0.19581176340579987,0.22884438931941986,0.33534231781959534,0.17966607213020325
his,0.26976513862609863,0.23453344404697418,0.21324177086353302,0.3546801507472992,0.1580733060836792,0.14588508009910583,0.4394008219242096,0.1696784496307373,0.15185458958148956,0.3715193271636963,0.18075084686279297
``,0.008517155423760414,0.10245004296302795,0.08620303869247437,-0.029888948425650597,0.04274534806609154,0.05108519643545151,0.029072100296616554,-0.05276835337281227,0.06251484155654907,0.06720756739377975,0.0685480609536171
electric,0.15451551973819733,0.1642848402261734,0.2869349420070648,0.12459144741296768,0.3824412524700165,0.12512551248073578,0.21345196664333344,1.0000001192092896,0.3256286382675171,0.2115597426891327,0.15674720704555511
gun,0.17682324349880219,0.18108102679252625,0.4739132523536682,0.18347382545471191,0.21771906316280365,0.12789295613765717,0.21240626275539398,0.21226409077644348,0.2334795892238617,0.1995566040277481,0.17821116745471954
",",0.3087472915649414,0.4446498453617096,0.2371644377708435,0.3015086054801941,0.20599327981472015,0.22873489558696747,0.4933079481124878,0.22981849312782288,0.22192497551441193,0.44245919585227966,0.31091248989105225
'',0.08143015950918198,0.021007593721151352,-0.040295761078596115,0.01978493109345436,0.048713020980358124,0.13516025245189667,0.041273195296525955,0.07890798151493073,-0.026776349171996117,-0.009905828163027763,0.018684765323996544
tesla,0.23221199214458466,0.11896419525146484,0.2878839373588562,0.09757418930530548,0.9999999403953552,0.21191047132015228,0.1324402391910553,0.3824412524700165,0.2877620458602905,0.17548894882202148,0.10250775516033173
said,0.3951668441295624,0.21980363130569458,0.23993350565433502,0.5119821429252625,0.1453642100095749,0.2518177628517151,0.3024602234363556,0.13391757011413574,0.22426320612430573,0.34274402260780334,0.28991883993148804
",",0.3087472915649414,0.4446498453617096,0.2371644377708435,0.3015086054801941,0.20599327981472015,0.22873489558696747,0.4933079481124878,0.22981849312782288,0.22192497551441193,0.44245919585227966,0.31091248989105225
``,0.008517155423760414,0.10245004296302795,0.08620303869247437,-0.029888948425650597,0.04274534806609154,0.05108519643545151,0.029072100296616554,-0.05276835337281227,0.06251484155654907,0.06720756739377975,0.0685480609536171
the,0.42745697498321533,0.44152235984802246,0.27604782581329346,0.34736719727516174,0.1324402391910553,0.26994526386260986,1.0,0.21345196664333344,0.23884518444538116,0.535392165184021,0.22068053483963013
particles,0.26094838976860046,0.3036724925041199,0.4592534005641937,0.16904394328594208,0.2877620458602905,0.18100324273109436,0.23884518444538116,0.3256286382675171,1.0,0.25014081597328186,0.22255320847034454
in,0.30808621644973755,0.39989137649536133,0.21995830535888672,0.2593238651752472,0.17097744345664978,0.1632516235113144,0.6662389636039734,0.19779469072818756,0.19249457120895386,0.45010748505592346,0.20430970191955566
the,0.42745697498321533,0.44152235984802246,0.27604782581329346,0.34736719727516174,0.1324402391910553,0.26994526386260986,1.0,0.21345196664333344,0.23884518444538116,0.535392165184021,0.22068053483963013
beam,0.20283140242099762,0.146023690700531,0.43504804372787476,0.151189386844635,0.27438047528266907,0.19875063002109528,0.2124788761138916,0.31294503808021545,0.4655141532421112,0.25916871428489685,0.14325125515460968
of,0.33290785551071167,0.38583824038505554,0.24704132974147797,0.2513895630836487,0.18837453424930573,0.27714359760284424,0.733189046382904,0.17329032719135284,0.2280140221118927,0.41548454761505127,0.1826142966747284
force,0.16915984451770782,0.1906614750623703,0.29438474774360657,0.1680130809545517,0.23777711391448975,0.16988308727741241,0.2800885736942291,0.19785821437835693,0.3777397572994232,0.24496492743492126,0.1650998443365097
...,0.001098619308322668,-0.039823777973651886,0.002479719929397106,0.04458035156130791,0.12339819222688675,-0.015759238973259926,0.04743409901857376,-0.009474166668951511,0.023375770077109337,-0.012529745697975159,-0.07163430005311966
will,0.3510494530200958,0.3551507890224457,0.2627316415309906,0.40638336539268494,0.1795932650566101,0.32293859124183655,0.3635469079017639,0.19335345923900604,0.3308010697364807,0.5091033577919006,0.35046905279159546
travel,0.19747209548950195,0.25378674268722534,0.1961725801229477,0.11813092976808548,0.1521781086921692,0.22081053256988525,0.2857808768749237,0.22166994214057922,0.2753003239631653,0.324314147233963,0.10014409571886063
much,0.45316147804260254,0.3761230409145355,0.31550636887550354,0.37947356700897217,0.20609156787395477,0.2993794083595276,0.35023224353790283,0.1872546225786209,0.2628380060195923,0.40610215067863464,0.23442231118679047
faster,0.32900017499923706,0.32517939805984497,0.3761834502220154,0.22845835983753204,0.24680593609809875,0.3273862600326538,0.25383174419403076,0.20590472221374512,0.31632012128829956,0.35276487469673157,0.2566389739513397
than,0.29388150572776794,0.5105555653572083,0.32493680715560913,0.24820660054683685,0.16368234157562256,0.3485441207885742,0.3227543234825134,0.1217779815196991,0.21907928586006165,0.3192550539970398,0.24917294085025787
such,0.23989605903625488,0.6041211485862732,0.3032849431037903,0.24497397243976593,0.08131318539381027,0.29505184292793274,0.3575236201286316,0.23246218264102936,0.2648301422595978,0.2871878743171692,0.17851735651493073
particles,0.26094838976860046,0.3036724925041199,0.4592534005641937,0.16904394328594208,0.2877620458602905,0.18100324273109436,0.23884518444538116,0.3256286382675171,1.0,0.25014081597328186,0.22255320847034454
...,0.001098619308322668,-0.039823777973651886,0.002479719929397106,0.04458035156130791,0.12339819222688675,-0.015759238973259926,0.04743409901857376,-0.009474166668951511,0.023375770077109337,-0.012529745697975159,-0.07163430005311966
and,0.31309178471565247,0.5504306554794312,0.27198731899261475,0.34479495882987976,0.19560420513153076,0.3096909821033478,0.5171257257461548,0.212884783744812,0.23946726322174072,0.48971283435821533,0.20544172823429108
they,0.4431931674480438,0.5182796120643616,0.3240906894207001,0.4879390597343445,0.1470530778169632,0.22747239470481873,0.49925389885902405,0.2232920229434967,0.3602789640426636,0.5452046394348145,0.2753053903579712
