,at,what,point,does,oxygen,toxicity,begin,to,happen,?
[,0.11318142712116241,0.010752761736512184,-0.018193570896983147,-0.04333333671092987,0.10739564150571823,0.007031682413071394,0.15511088073253632,0.07649242132902145,0.1450488567352295,0.011015460826456547
j,0.12660250067710876,0.15030516684055328,0.10539940744638443,0.11500108987092972,0.1557779610157013,0.1273035705089569,0.1280437707901001,0.11675981432199478,0.146138995885849,0.14581649005413055
],-0.021593619138002396,-0.03775298595428467,0.03288468345999718,0.018593570217490196,-0.003092464292421937,-0.006887379568070173,0.03222254291176796,-0.04249158129096031,0.012480265460908413,-0.0022520492784678936
oxygen,0.1428557187318802,0.16781960427761078,0.1446814239025116,0.2380215972661972,0.9999999403953552,0.47035717964172363,0.10920078307390213,0.24193501472473145,0.3087875247001648,0.16786395013332367
toxicity,0.14575502276420593,0.27705809473991394,0.1680033951997757,0.30192869901657104,0.47035717964172363,1.0,0.13204026222229004,0.26099494099617004,0.30913230776786804,0.283039927482605
usually,0.21524086594581604,0.32521089911460876,0.17697322368621826,0.3977598547935486,0.27663707733154297,0.28440922498703003,0.2539028525352478,0.3824864327907562,0.41229283809661865,0.19435347616672516
begins,0.19251419603824615,0.1788426637649536,0.14203718304634094,0.2696463465690613,0.05154360085725784,0.10675135254859924,0.6813104152679443,0.2261325567960739,0.2405119389295578,0.09518900513648987
to,0.36524343490600586,0.455847829580307,0.3403111398220062,0.4391997456550598,0.24193501472473145,0.26099494099617004,0.33302420377731323,1.0,0.25324898958206177,0.29463258385658264
occur,0.1852356344461441,0.2129514068365097,0.1805884838104248,0.25113990902900696,0.2696816325187683,0.3617711663246155,0.2967137098312378,0.1967356950044632,0.6170995235443115,0.17999543249607086
at,1.0,0.2838611304759979,0.3500237762928009,0.17465277016162872,0.1428557187318802,0.14575502276420593,0.2332090437412262,0.36524343490600586,0.23348276317119598,0.21978627145290375
partial,0.13921613991260529,0.24140220880508423,0.2357732057571411,0.22354616224765778,0.15541093051433563,0.222350612282753,0.14616520702838898,0.19141130149364471,0.20716708898544312,0.16151700913906097
pressures,0.20775394141674042,0.2606661915779114,0.261257141828537,0.26805350184440613,0.3483974039554596,0.34840312600135803,0.19706277549266815,0.3563862144947052,0.297040194272995,0.12055351585149765
more,0.2627858817577362,0.3484537899494171,0.24919617176055908,0.2897747755050659,0.265546053647995,0.23970262706279755,0.2749013304710388,0.47084665298461914,0.3441758453845978,0.27894994616508484
than,0.27679139375686646,0.29388150572776794,0.21799813210964203,0.32178643345832825,0.25305241346359253,0.23264770209789276,0.18698909878730774,0.3192550539970398,0.32592490315437317,0.24917294085025787
50,-0.018447641283273697,-0.04124141484498978,-0.012633662670850754,0.00387978064827621,-0.03149377182126045,-0.03931225463747978,0.11290501058101654,-0.024239253252744675,0.05990912392735481,0.030512850731611252
kilopascals,0.27598097920417786,0.25337982177734375,0.20400917530059814,0.20909205079078674,0.22352629899978638,0.3287319540977478,0.17433114349842072,0.26242515444755554,0.2510368525981903,0.26199403405189514
(,0.23315078020095825,0.2411840260028839,0.21612024307250977,0.2728188931941986,0.189798504114151,0.20994313061237335,0.12756820023059845,0.30882009863853455,0.18121996521949768,0.40561532974243164
kpa,0.26304763555526733,0.17692479491233826,0.3339129686355591,0.1963731199502945,0.2132871299982071,0.20297949016094208,0.13577435910701752,0.20735129714012146,0.15409009158611298,0.2370387464761734
),0.23338089883327484,0.26259949803352356,0.2308495044708252,0.2575884759426117,0.19541971385478973,0.1824767291545868,0.13078060746192932,0.31236231327056885,0.18349315226078033,0.42300865054130554
",",0.38314947485923767,0.3087472915649414,0.28971099853515625,0.28617382049560547,0.21812842786312103,0.2698010504245758,0.27304404973983765,0.44245919585227966,0.25441640615463257,0.31091248989105225
equal,0.17292043566703796,0.2397335022687912,0.20459824800491333,0.2664283514022827,0.17493391036987305,0.2260618507862091,0.1774446964263916,0.28325995802879333,0.20972220599651337,0.15421567857265472
to,0.36524343490600586,0.455847829580307,0.3403111398220062,0.4391997456550598,0.24193501472473145,0.26099494099617004,0.33302420377731323,1.0,0.25324898958206177,0.29463258385658264
about,0.3110121488571167,0.47976887226104736,0.24537129700183868,0.26877498626708984,0.1566355675458908,0.25068432092666626,0.2457190752029419,0.391953706741333,0.3176879584789276,0.302409827709198
