,what,are,the,two,principal,asian-american,groups,living,in,the,west,side,neighborhood,of,fresno,?
it,0.45803478360176086,0.3617996573448181,0.6251175999641418,0.28080877661705017,0.13832604885101318,0.22570458054542542,0.20514826476573944,0.20901772379875183,0.5130809545516968,0.6251175999641418,0.2561044991016388,0.2936079800128937,0.19387216866016388,0.38761502504348755,0.20951703190803528,0.25732165575027466
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2315155267715454,0.1573130041360855,0.23446771502494812,0.19906288385391235,0.2306187003850937,0.5394441485404968,0.5823672413825989,0.25201764702796936,0.27624061703681946,0.20414865016937256,0.4854315221309662,0.2127077877521515,0.22961433231830597
culturally,0.25300973653793335,0.31316691637039185,0.2812896966934204,0.14737030863761902,0.1984168291091919,0.31663286685943604,0.26369571685791016,0.1817840188741684,0.23738472163677216,0.2812896966934204,0.1594935953617096,0.11619177460670471,0.31632885336875916,0.24142678081989288,0.16752201318740845,0.13023632764816284
diverse,0.18528151512145996,0.30672088265419006,0.2793438136577606,0.18147797882556915,0.21323050558567047,0.3109082877635956,0.3338002562522888,0.2991149127483368,0.1994941383600235,0.2793438136577606,0.1611744910478592,0.11484452337026596,0.17945393919944763,0.27690666913986206,0.08302682638168335,0.07389035075902939
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.2770732343196869,0.3158816397190094,0.29783302545547485,0.27568840980529785,0.4954058527946472,0.5171257257461548,0.273951917886734,0.3098753094673157,0.21993553638458252,0.5116966962814331,0.21513071656227112,0.20544172823429108
also,0.42747777700424194,0.4565894305706024,0.6021018624305725,0.4511464238166809,0.2238820493221283,0.34063515067100525,0.26234152913093567,0.2228061705827713,0.5073733329772949,0.6021018624305725,0.25940629839897156,0.30676403641700745,0.20604711771011353,0.4924938678741455,0.2253323197364807,0.21848613023757935
includes,0.17138352990150452,0.4409101605415344,0.3388250470161438,0.2128845751285553,0.2267550379037857,0.2084755003452301,0.2473261058330536,0.20912350714206696,0.32460328936576843,0.3388250470161438,0.18777130544185638,0.18787169456481934,0.18327850103378296,0.4359378218650818,0.15791457891464233,0.14011523127555847
significant,0.24268144369125366,0.26126909255981445,0.35524800419807434,0.22559134662151337,0.27509844303131104,0.26802799105644226,0.21637171506881714,0.13540811836719513,0.3551969528198242,0.35524800419807434,0.19084329903125763,0.14143367111682892,0.1812542825937271,0.318554162979126,0.129734605550766,0.18679562211036682
mexican-american,0.22721847891807556,0.1745973378419876,0.2935362160205841,0.22099818289279938,0.11634349077939987,0.78985196352005,0.21724306046962738,0.16253720223903656,0.26668450236320496,0.2935362160205841,0.20443399250507355,0.13112202286720276,0.2110714465379715,0.2460417002439499,0.38850295543670654,0.21441027522087097
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.2770732343196869,0.3158816397190094,0.29783302545547485,0.27568840980529785,0.4954058527946472,0.5171257257461548,0.273951917886734,0.3098753094673157,0.21993553638458252,0.5116966962814331,0.21513071656227112,0.20544172823429108
