,southern,californian,communities,are,well,known,to,be,large,",",spread,-,out,",",and,what,other,characteristic,?
much,0.13215209543704987,0.16568593680858612,0.24686338007450104,0.2937524914741516,0.44768765568733215,0.2587057054042816,0.40610215067863464,0.3977218568325043,0.35420098900794983,0.36182254552841187,0.3446498215198517,0.13348990678787231,0.3749011158943176,0.36182254552841187,0.38395699858665466,0.45316147804260254,0.3761230409145355,0.27009567618370056,0.23442231118679047
of,0.31933003664016724,0.23419058322906494,0.21719247102737427,0.39081433415412903,0.3343164324760437,0.35814476013183594,0.41548454761505127,0.33904364705085754,0.3569655418395996,0.4946078956127167,0.2895529866218567,0.2919245660305023,0.34176841378211975,0.4946078956127167,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.2943860590457916,0.1826142966747284
southern,1.0,0.3061138689517975,0.23386338353157043,0.18306338787078857,0.16826173663139343,0.20228487253189087,0.18284058570861816,0.13618789613246918,0.2457246035337448,0.2795628309249878,0.1666969507932663,0.19949688017368317,0.14698512852191925,0.2795628309249878,0.24232792854309082,0.18679563701152802,0.22025135159492493,0.14449046552181244,0.11225555837154388
california,0.2983402609825134,0.8817973136901855,0.19918294250965118,0.17678135633468628,0.15319085121154785,0.14479784667491913,0.20697450637817383,0.17179958522319794,0.1447892040014267,0.2704589068889618,0.08316247910261154,0.15235690772533417,0.22061239182949066,0.2704589068889618,0.2441616654396057,0.1811584085226059,0.19346874952316284,0.11668804287910461,0.1409905105829239
is,0.2419366091489792,0.22932176291942596,0.23371800780296326,0.5330929756164551,0.33406564593315125,0.41921812295913696,0.42745086550712585,0.4819129705429077,0.2971126437187195,0.4691906273365021,0.17351946234703064,0.30179503560066223,0.2817855477333069,0.4691906273365021,0.3859752118587494,0.28837618231773376,0.25895947217941284,0.2790224850177765,0.22961433231830597
famous,0.16474774479866028,0.1900826096534729,0.11667299270629883,0.20935581624507904,0.4244558811187744,0.5231455564498901,0.12665097415447235,0.07391472905874252,0.2603476643562317,0.2816491723060608,0.15199469029903412,0.16995447874069214,0.134702667593956,0.2816491723060608,0.2970265746116638,0.1616666167974472,0.23237358033657074,0.21252195537090302,0.10379006713628769
for,0.14496514201164246,0.1971672624349594,0.23633545637130737,0.3895993232727051,0.46352139115333557,0.363901823759079,0.4451248347759247,0.3801851272583008,0.22967137396335602,0.4464869201183319,0.17094987630844116,0.28420013189315796,0.3312093913555145,0.4464869201183319,0.5064792633056641,0.3017193675041199,0.3273986279964447,0.24011608958244324,0.264628142118454
its,0.27002355456352234,0.1969750076532364,0.21333065629005432,0.30942749977111816,0.3455803096294403,0.31007078289985657,0.3691340684890747,0.2731834948062897,0.32899510860443115,0.33157986402511597,0.2118273377418518,0.19921338558197021,0.2466478794813156,0.33157986402511597,0.3841775357723236,0.30393704771995544,0.29483991861343384,0.39111703634262085,0.15103481709957123
large,0.2457246035337448,0.17814414203166962,0.2712402641773224,0.3467932939529419,0.3585031032562256,0.24581857025623322,0.3150999844074249,0.2907196581363678,1.0000001192092896,0.2263888567686081,0.24971313774585724,0.20334303379058838,0.24965140223503113,0.2263888567686081,0.3404269814491272,0.2017821967601776,0.353826105594635,0.31587547063827515,0.1355665624141693
",",0.2795628309249878,0.24206019937992096,0.2743113040924072,0.4062570035457611,0.4331948161125183,0.3604377806186676,0.44245919585227966,0.39254459738731384,0.2263888567686081,1.0000001192092896,0.24950742721557617,0.42609795928001404,0.3161109685897827,1.0000001192092896,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.263354629278183,0.31091248989105225
spread-out,0.18173755705356598,0.1194995790719986,0.23999546468257904,0.23464711010456085,0.2571389079093933,0.21078817546367645,0.31213459372520447,0.231848806142807,0.28297939896583557,0.2819232940673828,0.923049807548523,0.0956643596291542,0.381587952375412,0.2819232940673828,0.28046905994415283,0.258252888917923,0.3005591034889221,0.2488257884979248,0.19367332756519318
",",0.2795628309249878,0.24206019937992096,0.2743113040924072,0.4062570035457611,0.4331948161125183,0.3604377806186676,0.44245919585227966,0.39254459738731384,0.2263888567686081,1.0000001192092896,0.24950742721557617,0.42609795928001404,0.3161109685897827,1.0000001192092896,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.263354629278183,0.31091248989105225
suburban,0.3182743489742279,0.22882090508937836,0.2913483679294586,0.19766874611377716,0.20797473192214966,0.1729496270418167,0.19649888575077057,0.11695525050163269,0.20165377855300903,0.22812874615192413,0.16683867573738098,0.11951711028814316,0.15656635165214539,0.22812874615192413,0.27674803137779236,0.14185433089733124,0.1188308373093605,0.1809970736503601,0.06536495685577393
