,which,building,was,the,nfl,experience,held,at,for,super,bowl,50,?
the,0.6521818041801453,0.3159640431404114,0.48711544275283813,1.0,0.15305201709270477,0.21682339906692505,0.32185450196266174,0.457212895154953,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
annual,0.30685511231422424,0.15551987290382385,0.19130820035934448,0.2958983778953552,0.11959588527679443,0.14677971601486206,0.3879128098487854,0.27374956011772156,0.28860941529273987,0.07916140556335449,0.14850832521915436,-0.03275161236524582,0.1083487942814827
nfl,0.1353975087404251,0.11722128838300705,0.20145657658576965,0.15305201709270477,1.0,0.11086825281381607,0.15049099922180176,0.20260320603847504,0.23749186098575592,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.10610254108905792
experience,0.25010669231414795,0.10596802085638046,0.17093802988529205,0.21682339906692505,0.11086825281381607,1.0000001192092896,0.1624629646539688,0.22353319823741913,0.29364609718322754,0.16716913878917694,0.07502768933773041,0.02896616794168949,0.25203612446784973
was,0.2830964922904968,0.237406387925148,1.0000001192092896,0.48711544275283813,0.20145657658576965,0.17093802988529205,0.30231067538261414,0.36707764863967896,0.3863949179649353,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
held,0.2626747488975525,0.24138346314430237,0.30231067538261414,0.32185450196266174,0.15049099922180176,0.1624629646539688,1.0,0.3822793960571289,0.2495253086090088,0.1602509617805481,0.1913566142320633,0.018389368429780006,0.14103956520557404
at,0.3286694884300232,0.2514413893222809,0.36707764863967896,0.457212895154953,0.20260320603847504,0.22353319823741913,0.3822793960571289,1.0,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
the,0.6521818041801453,0.3159640431404114,0.48711544275283813,1.0,0.15305201709270477,0.21682339906692505,0.32185450196266174,0.457212895154953,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
moscone,0.16605806350708008,0.35373568534851074,0.3655855357646942,0.30502593517303467,0.26426073908805847,0.09628963470458984,0.2881282866001129,0.31536146998405457,0.23045647144317627,0.15169833600521088,0.2494211345911026,0.037980400025844574,0.10797344148159027
center,0.22164148092269897,0.27127861976623535,0.19517986476421356,0.29064592719078064,0.1418347954750061,0.167202889919281,0.2514551877975464,0.29677248001098633,0.1980270892381668,0.10317984968423843,0.10079877823591232,0.03478327393531799,0.12538520991802216
in,0.4840516746044159,0.3256937265396118,0.45514053106307983,0.6662389636039734,0.12599408626556396,0.19806437194347382,0.3127288818359375,0.4374977946281433,0.4322226941585541,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
san,0.190042182803154,0.15882441401481628,0.2675222158432007,0.2858080565929413,0.225969135761261,0.146830752491951,0.1226641833782196,0.21309925615787506,0.21004900336265564,0.15279507637023926,0.18508543074131012,0.02022494748234749,0.10952327400445938
francisco,0.1560719907283783,0.16730031371116638,0.24025709927082062,0.25086042284965515,0.24973660707473755,0.15988704562187195,0.12840238213539124,0.19574089348316193,0.2142373025417328,0.1658499836921692,0.20152677595615387,-0.012375159189105034,0.1020219698548317
.,0.45942068099975586,0.275610089302063,0.40146201848983765,0.5934505462646484,0.1964210718870163,0.22749435901641846,0.2628571093082428,0.4549728035926819,0.4726039469242096,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
