,what,is,considered,an,all,graduate,profession,in,scotland,?
in,0.30808621644973755,0.5394441485404968,0.28591203689575195,0.2605783939361572,0.3335905969142914,0.2576194703578949,0.16790467500686646,1.0,0.24716059863567352,0.20430970191955566
scotland,0.16722074151039124,0.19796344637870789,0.12221214920282364,0.1234734058380127,0.15738077461719513,0.16543345153331757,0.13806413114070892,0.24716059863567352,1.0,0.09160218387842178
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.3581022024154663,0.425624817609787,0.2738925516605377,0.28053703904151917,0.5201468467712402,0.21124857664108276,0.31091248989105225
anyone,0.5307026505470276,0.3013885021209717,0.21837745606899261,0.3074423372745514,0.39149558544158936,0.18806827068328857,0.2073449194431305,0.2515868544578552,0.147986501455307,0.4948124587535858
wishing,0.3505333364009857,0.20215170085430145,0.25743618607521057,0.1475711315870285,0.38358166813850403,0.15857121348381042,0.2827802300453186,0.1726807802915573,0.13886800408363342,0.2677502930164337
to,0.455847829580307,0.42745086550712585,0.2954166829586029,0.3138085603713989,0.42520734667778015,0.22082558274269104,0.2364424616098404,0.45010748505592346,0.19875919818878174,0.29463258385658264
teach,0.2818700671195984,0.15221208333969116,0.1630588173866272,0.12128275632858276,0.30149781703948975,0.39413541555404663,0.360173761844635,0.23312166333198547,0.1234060600399971,0.24188745021820068
must,0.30362528562545776,0.3093329071998596,0.26855698227882385,0.2022276371717453,0.3687012791633606,0.12735988199710846,0.2449924200773239,0.18276341259479523,0.14750562608242035,0.23707495629787445
be,0.3929833769798279,0.4819129705429077,0.41927069425582886,0.33041056990623474,0.42151448130607605,0.11696750670671463,0.25844690203666687,0.3481820821762085,0.19496235251426697,0.3324260413646698
registered,0.18316222727298737,0.1567090004682541,0.23227842152118683,0.20361046493053436,0.2683340609073639,0.18537220358848572,0.19353516399860382,0.193543940782547,0.12031299620866776,0.24155336618423462
with,0.2464839518070221,0.3250955045223236,0.24176937341690063,0.2730048894882202,0.3876307010650635,0.1702941358089447,0.1478627473115921,0.4080928862094879,0.21539276838302612,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,0.4207492768764496,0.4860881567001343,0.1983441710472107,0.17655403912067413,0.6662389636039734,0.23846951127052307,0.22068053483963013
general,0.24928055703639984,0.20144300162792206,0.11420184373855591,0.16276395320892334,0.24806559085845947,0.135860875248909,0.24059483408927917,0.259066641330719,0.12829405069351196,0.1972234547138214
teaching,0.27416905760765076,0.16213442385196686,0.1915973424911499,0.1394289880990982,0.2787666916847229,0.4782581031322479,0.42428866028785706,0.2659059166908264,0.13195748627185822,0.20424684882164001
council,0.16933071613311768,0.2196589708328247,0.10357796400785446,0.13216540217399597,0.20514151453971863,0.19603322446346283,0.1773139387369156,0.2689173221588135,0.27825841307640076,0.1160062924027443
for,0.3017193675041199,0.43268078565597534,0.3214476406574249,0.3236706852912903,0.41144001483917236,0.18703565001487732,0.2831021547317505,0.4322226941585541,0.2155212014913559,0.264628142118454
scotland,0.16722074151039124,0.19796344637870789,0.12221214920282364,0.1234734058380127,0.15738077461719513,0.16543345153331757,0.13806413114070892,0.24716059863567352,1.0,0.09160218387842178
(,0.2411840260028839,0.35393038392066956,0.22818490862846375,0.286407470703125,0.28167209029197693,0.17405542731285095,0.19689936935901642,0.3087427020072937,0.11872823536396027,0.40561532974243164
gtcs,0.2213207185268402,0.24596582353115082,0.14026205241680145,0.13763169944286346,0.30673104524612427,0.20718646049499512,0.07646813243627548,0.18875126540660858,0.10912755131721497,0.2860548794269562
),0.26259949803352356,0.37732169032096863,0.2430245578289032,0.2873353958129883,0.283302903175354,0.19760456681251526,0.22439134120941162,0.3326910734176636,0.1289331316947937,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.29356086254119873,0.3581749200820923,0.43406882882118225,0.22357110679149628,0.23688457906246185,0.5591574311256409,0.23843355476856232,0.4130953550338745
