,what,is,the,density,of,all,primes,compatible,with,a,modulo,9,?
what,0.9999998807907104,0.28837618231773376,0.42745697498321533,0.1728270947933197,0.33290785551071167,0.41981086134910583,0.2505246102809906,0.28817668557167053,0.2464839518070221,0.3320399522781372,0.1901833713054657,-0.048040688037872314,0.5051238536834717
is,0.28837618231773376,1.0,0.5823672413825989,0.2587282061576843,0.4854315221309662,0.2553904056549072,0.2382466346025467,0.1889621764421463,0.3250955045223236,0.658733606338501,0.16373778879642487,-0.010735063813626766,0.22961433231830597
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.2672705352306366,0.30478984117507935,0.39087146520614624,0.2567965090274811,0.2452000081539154,0.3535402715206146,0.3452818691730499,0.23575523495674133,0.026598352938890457,0.27894994616508484
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2175186723470688,0.4946078956127167,0.425624817609787,0.29003697633743286,0.19127056002616882,0.4120737314224243,0.427140474319458,0.1992175579071045,-0.04171276465058327,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2451544851064682,0.733189046382904,0.4860881567001343,0.22359657287597656,0.18147024512290955,0.4223487675189972,0.5829201340675354,0.13403601944446564,0.023652536794543266,0.22068053483963013
primes,0.2505246102809906,0.2382466346025467,0.22359657287597656,0.2059027999639511,0.22199293971061707,0.21498370170593262,1.0,0.1917266696691513,0.14664357900619507,0.21026647090911865,0.3754594922065735,0.074723981320858,0.18851876258850098
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2392759770154953,0.39081433415412903,0.5343062281608582,0.2606703042984009,0.28096920251846313,0.38996943831443787,0.265255331993103,0.19252821803092957,-0.061853282153606415,0.24591213464736938
distributed,0.12753748893737793,0.2017366737127304,0.28740596771240234,0.17221477627754211,0.239964559674263,0.27453482151031494,0.250024676322937,0.3364587128162384,0.2546422779560089,0.19609881937503815,0.21100005507469177,0.07754810154438019,0.08428370952606201
equally,0.3545299768447876,0.2864139676094055,0.25614944100379944,0.20963403582572937,0.262323796749115,0.41791316866874695,0.2729800343513489,0.2735574245452881,0.3037908971309662,0.26778465509414673,0.28077057003974915,-0.035022392868995667,0.22503766417503357
among,0.21154822409152985,0.21956473588943481,0.3507058024406433,0.15785755217075348,0.3679063022136688,0.3706320822238922,0.27182328701019287,0.16702255606651306,0.2968312203884125,0.1789381206035614,0.17688709497451782,-0.0010288587072864175,0.14343059062957764
those,0.44466671347618103,0.2352088838815689,0.42861196398735046,0.18254251778125763,0.37935635447502136,0.6055654287338257,0.21849612891674042,0.3225884735584259,0.3564215302467346,0.24251152575016022,0.22333994507789612,-0.056457940489053726,0.3328189253807068
rows,0.2011227160692215,0.1954563856124878,0.2598671019077301,0.21406224370002747,0.1976359784603119,0.3772999048233032,0.23751817643642426,0.22208301723003387,0.2982041537761688,0.23316830396652222,0.22373613715171814,-0.003399644512683153,0.1265581250190735
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.24213694036006927,0.5696388483047485,0.3335905969142914,0.20882321894168854,0.10843999683856964,0.4080928862094879,0.539380669593811,0.07989239692687988,0.002698394237086177,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2451544851064682,0.733189046382904,0.4860881567001343,0.22359657287597656,0.18147024512290955,0.4223487675189972,0.5829201340675354,0.13403601944446564,0.023652536794543266,0.22068053483963013
long,0.28276848793029785,0.28473302721977234,0.3075225353240967,0.1277979612350464,0.2567519545555115,0.259257972240448,0.08593650907278061,0.10284674167633057,0.289187490940094,0.3795371353626251,0.07791627943515778,-0.01929355226457119,0.19699987769126892
run—the,0.2729323208332062,0.3635874092578888,0.3301678001880646,0.16118097305297852,0.27837225794792175,0.24577853083610535,0.2558114230632782,0.26464924216270447,0.1872663050889969,0.3389419913291931,0.2523551285266876,-0.03410695120692253,0.248031347990036
density,0.1728270947933197,0.2587282061576843,0.2451544851064682,1.0,0.2389363795518875,0.21962745487689972,0.2059027999639511,0.1820286512374878,0.19518433511257172,0.20387759804725647,0.22595693171024323,0.027360660955309868,0.1457761973142624
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2389363795518875,1.0,0.42798417806625366,0.22199293971061707,0.18346059322357178,0.41827285289764404,0.5052502155303955,0.11372166126966476,0.01387986820191145,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.21962745487689972,0.42798417806625366,1.0000001192092896,0.21498370170593262,0.2424306869506836,0.3876307010650635,0.2696802616119385,0.2275812029838562,-0.05789035186171532,0.29575422406196594
primes,0.2505246102809906,0.2382466346025467,0.22359657287597656,0.2059027999639511,0.22199293971061707,0.21498370170593262,1.0,0.1917266696691513,0.14664357900619507,0.21026647090911865,0.3754594922065735,0.074723981320858,0.18851876258850098
congruent,0.29759061336517334,0.23432394862174988,0.24767829477787018,0.2792309522628784,0.2628687024116516,0.27510079741477966,0.4485245645046234,0.3882633149623871,0.19836202263832092,0.24465566873550415,0.48452359437942505,-0.04770428314805031,0.26240840554237366
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20387759804725647,0.5052502155303955,0.2696802616119385,0.21026647090911865,0.14630423486232758,0.3783375024795532,1.0,0.18332187831401825,0.010403415188193321,0.23916715383529663
