,what,would,a,community,member,need,to,teach,informally,?
informal,0.31096258759498596,0.2546933889389038,0.281781941652298,0.23342081904411316,0.15612083673477173,0.23944729566574097,0.26750510931015015,0.21421103179454803,0.8303393721580505,0.17082542181015015
learning,0.29806870222091675,0.23331567645072937,0.23662391304969788,0.2566494643688202,0.10233503580093384,0.27971920371055603,0.2609867453575134,0.567774772644043,0.2568501830101013,0.25810256600379944
may,0.25739946961402893,0.4155452847480774,0.29255667328834534,0.13178634643554688,0.1533735990524292,0.28590816259384155,0.391582727432251,0.15809877216815948,0.2807508707046509,0.2768254578113556
be,0.3929833769798279,0.5202695727348328,0.39883795380592346,0.22295649349689484,0.15509481728076935,0.5365972518920898,0.4972836375236511,0.24814555048942566,0.36088934540748596,0.3324260413646698
assisted,0.1354658454656601,0.2536276876926422,0.2544112205505371,0.1353079229593277,0.18575355410575867,0.2040531188249588,0.26841625571250916,0.27587446570396423,0.1712222397327423,0.08560974150896072
by,0.2455483376979828,0.28394925594329834,0.32094135880470276,0.15702028572559357,0.14692413806915283,0.18746642768383026,0.33534231781959534,0.14033691585063934,0.3327978551387787,0.17966607213020325
a,0.3320399522781372,0.398599237203598,1.0,0.2694961726665497,0.24081070721149445,0.30329999327659607,0.45503583550453186,0.18608243763446808,0.314856618642807,0.23916715383529663
teacher,0.20492632687091827,0.18345347046852112,0.31202319264411926,0.22938847541809082,0.21995455026626587,0.18438822031021118,0.1991342306137085,0.6285144090652466,0.10631973296403885,0.1797819435596466
occupying,0.24198909103870392,0.23780664801597595,0.234261155128479,0.1796339601278305,0.13873836398124695,0.15242113173007965,0.2739917039871216,0.15542733669281006,0.2447894662618637,0.09100895375013351
a,0.3320399522781372,0.398599237203598,1.0,0.2694961726665497,0.24081070721149445,0.30329999327659607,0.45503583550453186,0.18608243763446808,0.314856618642807,0.23916715383529663
transient,0.32581591606140137,0.25771471858024597,0.2725192606449127,0.16669024527072906,0.07367704808712006,0.3296200931072235,0.2305445671081543,0.11701582372188568,0.24050478637218475,0.18034781515598297
or,0.33867141604423523,0.39548179507255554,0.48853766918182373,0.26749277114868164,0.14377020299434662,0.44836896657943726,0.38921234011650085,0.19306370615959167,0.35983577370643616,0.32389625906944275
ongoing,0.30659452080726624,0.2875572144985199,0.28042149543762207,0.2692323625087738,0.17069414258003235,0.2973927855491638,0.28776806592941284,0.10989405959844589,0.2684367597103119,0.24929021298885345
role,0.22614215314388275,0.23390333354473114,0.22880133986473083,0.1628289669752121,0.2071424275636673,0.15453919768333435,0.17841029167175293,0.08925624191761017,0.1568436175584793,0.18676944077014923
",",0.3087472915649414,0.32586824893951416,0.427140474319458,0.2761111557483673,0.25757819414138794,0.25983062386512756,0.44245919585227966,0.22192275524139404,0.3138088583946228,0.31091248989105225
such,0.23989605903625488,0.29505011439323425,0.2706976532936096,0.18409378826618195,0.14228516817092896,0.38045671582221985,0.2871878743171692,0.20702366530895233,0.2930101454257965,0.17851735651493073
as,0.31749409437179565,0.3824005722999573,0.39550232887268066,0.22733435034751892,0.2264706939458847,0.29526448249816895,0.42092081904411316,0.2547597289085388,0.33709681034088135,0.27043893933296204
a,0.3320399522781372,0.398599237203598,1.0,0.2694961726665497,0.24081070721149445,0.30329999327659607,0.45503583550453186,0.18608243763446808,0.314856618642807,0.23916715383529663
family,0.16391263902187347,0.18406058847904205,0.24362227320671082,0.1910831183195114,0.32524263858795166,0.12201108038425446,0.21285007894039154,0.18566200137138367,0.19428817927837372,0.15222905576229095
member,0.09932345896959305,0.21470732986927032,0.24081070721149445,0.2346835732460022,0.9999998807907104,0.07137975841760635,0.19456195831298828,0.11440268903970718,0.18995900452136993,0.06826172769069672
",",0.3087472915649414,0.32586824893951416,0.427140474319458,0.2761111557483673,0.25757819414138794,0.25983062386512756,0.44245919585227966,0.22192275524139404,0.3138088583946228,0.31091248989105225
or,0.33867141604423523,0.39548179507255554,0.48853766918182373,0.26749277114868164,0.14377020299434662,0.44836896657943726,0.38921234011650085,0.19306370615959167,0.35983577370643616,0.32389625906944275
by,0.2455483376979828,0.28394925594329834,0.32094135880470276,0.15702028572559357,0.14692413806915283,0.18746642768383026,0.33534231781959534,0.14033691585063934,0.3327978551387787,0.17966607213020325
anyone,0.5307026505470276,0.47747495770454407,0.3355763852596283,0.34269678592681885,0.22145308554172516,0.45585429668426514,0.419222891330719,0.2905946969985962,0.2364833950996399,0.4948124587535858
with,0.2464839518070221,0.38372042775154114,0.3783375024795532,0.15797209739685059,0.1763933300971985,0.3471839725971222,0.4239959120750427,0.19712631404399872,0.222686767578125,0.2433311939239502
knowledge,0.3869657814502716,0.2831007242202759,0.1995188295841217,0.26496589183807373,0.19626010954380035,0.343842089176178,0.2853367030620575,0.3836318850517273,0.32842516899108887,0.2853184640407562
or,0.33867141604423523,0.39548179507255554,0.48853766918182373,0.26749277114868164,0.14377020299434662,0.44836896657943726,0.38921234011650085,0.19306370615959167,0.35983577370643616,0.32389625906944275
skills,0.28520897030830383,0.3002570867538452,0.24761129915714264,0.2791721224784851,0.16318441927433014,0.39532554149627686,0.29669415950775146,0.488389253616333,0.17021597921848297,0.1864275485277176
in,0.30808621644973755,0.30461156368255615,0.539380669593811,0.21838891506195068,0.20856694877147675,0.2129468470811844,0.45010748505592346,0.23312166333198547,0.23834781348705292,0.20430970191955566
the,0.42745697498321533,0.4133751392364502,0.5829201340675354,0.2601400911808014,0.2806392312049866,0.2594960331916809,0.535392165184021,0.1966347098350525,0.3278867304325104,0.22068053483963013
