,what,did,tesla,patent,in,1891,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.18244080245494843,1.0,0.14678269624710083,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.1728275567293167,0.6662389636039734,0.20667614042758942,0.22068053483963013
same,0.3764382302761078,0.3097444474697113,0.1633947193622589,0.17488768696784973,0.3692481815814972,0.07154137641191483,0.22649677097797394
year,0.15184831619262695,0.21422851085662842,0.1455472707748413,0.12342982739210129,0.3359307050704956,0.14704038202762604,0.18315006792545319
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.20812061429023743,0.5201468467712402,0.19203606247901917,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.15330970287322998,0.41690486669540405,0.284648060798645,0.2089974731206894
patented,0.1101711094379425,0.17659124732017517,0.35220110416412354,0.8313168883323669,0.1809646189212799,0.05027731880545616,0.08803384751081467
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.1728275567293167,0.6662389636039734,0.20667614042758942,0.22068053483963013
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.3651154637336731,0.17097744345664978,0.09345825016498566,0.10250775516033173
coil,0.16011781990528107,0.04220382124185562,0.38700389862060547,0.30137622356414795,0.17931470274925232,0.10273566842079163,0.07395657896995544
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.19082264602184296,0.5591574311256409,0.19694145023822784,0.4130953550338745
