,what,type,of,civil,disobedience,is,commonly,accepted,?
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2768925428390503,0.23306922614574432,0.3904260993003845,0.18380092084407806,0.24532894790172577,0.29405656456947327
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.16153892874717712,0.22560594975948334,0.3613572418689728,0.26592907309532166,0.2593596875667572,0.32991164922714233
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.16754008829593658,0.20087917149066925,0.39566612243652344,0.26759961247444153,0.249170184135437,0.24354910850524902
debates,0.2959657907485962,0.11049886047840118,0.2293700873851776,0.268066942691803,0.3380615711212158,0.21664585173130035,0.14054232835769653,0.28939658403396606,0.23877738416194916
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.43216490745544434,0.3544585108757019,0.2963118255138397,0.27043893933296204
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.42745086550712585,0.2571072280406952,0.2956836223602295,0.29463258385658264
whether,0.5516265630722046,0.27249613404273987,0.24392437934875488,0.11485010385513306,0.2514246106147766,0.30252501368522644,0.2078264057636261,0.2807762920856476,0.3150278329849243
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,1.0,0.5442691445350647,0.16941262781620026,0.14825324714183807,0.10546736419200897,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5442691445350647,1.0,0.21453623473644257,0.1869410127401352,0.2780596613883972,0.19890835881233215
must,0.30362528562545776,0.22601568698883057,0.24322323501110077,0.12366364151239395,0.2450776845216751,0.3093329071998596,0.20083235204219818,0.2590179145336151,0.23707495629787445
necessarily,0.4277169704437256,0.19836001098155975,0.21284587681293488,0.09858056157827377,0.26579535007476807,0.306841105222702,0.3140419125556946,0.2802343964576721,0.32468926906585693
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.18061059713363647,0.2944406270980835,0.4819129705429077,0.3145580291748047,0.25402358174324036,0.3324260413646698
non-violent,0.25295090675354004,0.20079369843006134,0.29068154096603394,0.28569117188453674,0.48103633522987366,0.22772720456123352,0.2536598742008209,0.16294465959072113,0.21288378536701202
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4569662809371948,0.2135825902223587,0.2631440758705139,0.4130953550338745
,what,type,of,civil,disobedience,is,commonly,accepted,?
christian,0.17849333584308624,0.058404698967933655,0.23494116961956024,0.1521528661251068,0.27534419298171997,0.1473853588104248,0.10861620306968689,0.2597203254699707,0.1508396863937378
bay,0.20251236855983734,0.05780718848109245,0.20480380952358246,0.1300460398197174,0.16245011985301971,0.1959105283021927,0.15139919519424438,0.06540347635746002,0.10773546993732452
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,-0.06354409456253052,0.027719656005501747,0.02396530658006668,0.03893973305821419,0.001701323315501213,-0.023395681753754616
encyclopedia,0.2928617596626282,0.2026880532503128,0.21112416684627533,0.1173190101981163,0.25380024313926697,0.19714069366455078,0.07677159458398819,0.12500683963298798,0.37688717246055603
article,0.40514686703681946,0.1682102382183075,0.25720444321632385,0.17077012360095978,0.2283177524805069,0.29873761534690857,0.11924438178539276,0.2654581069946289,0.4948462247848511
states,0.21526020765304565,0.15023280680179596,0.30884552001953125,0.31344661116600037,0.2520419657230377,0.21939043700695038,0.1643068492412567,0.17410731315612793,0.16272737085819244
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.3995479643344879,0.23247161507606506,0.3513895273208618,0.32716336846351624
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,1.0,0.5442691445350647,0.16941262781620026,0.14825324714183807,0.10546736419200897,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5442691445350647,1.0,0.21453623473644257,0.1869410127401352,0.2780596613883972,0.19890835881233215
requires,0.24784088134765625,0.261353075504303,0.29617026448249817,0.19048382341861725,0.23690682649612427,0.3339230418205261,0.2027450054883957,0.24438846111297607,0.26020103693008423
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.058766357600688934,0.12009099870920181,0.08621003478765488,0.0685480609536171
carefully,0.3852337598800659,0.18252983689308167,0.1739562302827835,0.1857394129037857,0.31538403034210205,0.22160780429840088,0.15701761841773987,0.14825263619422913,0.22870610654354095
