,what,has,the,lower,rainfall,in,the,amazon,during,the,lgm,been,attributed,to,?
analyses,0.2285933792591095,0.23310263454914093,0.23002441227436066,0.13553234934806824,0.17282582819461823,0.17754743993282318,0.23002441227436066,0.22053846716880798,0.18359783291816711,0.23002441227436066,0.2149457186460495,0.23890776932239532,0.15498627722263336,0.2242041677236557,0.17589309811592102
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.31757521629333496,0.2068331092596054,0.5696388483047485,0.733189046382904,0.20143137872219086,0.3869180977344513,0.733189046382904,0.20432956516742706,0.31685134768486023,0.2709019184112549,0.41548454761505127,0.1826142966747284
sediment,0.19542910158634186,0.16123998165130615,0.2451712042093277,0.25735899806022644,0.34905368089675903,0.2096979320049286,0.2451712042093277,0.24430792033672333,0.172119602560997,0.2451712042093277,0.17243385314941406,0.20034782588481903,0.2136773020029068,0.19675683975219727,0.14870919287204742
deposits,0.17664960026741028,0.18628109991550446,0.27324897050857544,0.2944270372390747,0.2702668607234955,0.23073440790176392,0.27324897050857544,0.20045168697834015,0.21584175527095795,0.27324897050857544,0.1274036318063736,0.21618719398975372,0.19143575429916382,0.19850799441337585,0.1225230023264885
from,0.2737620174884796,0.2621968984603882,0.40150508284568787,0.2286408692598343,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.3186885714530945,0.40150508284568787,0.2992756962776184,0.27624839544296265,0.23413144052028656,0.4069952368736267,0.19969791173934937
amazon,0.16355936229228973,0.1779293268918991,0.260541707277298,0.12892797589302063,0.26409438252449036,0.12227833271026611,0.260541707277298,1.0000001192092896,0.11170908063650131,0.260541707277298,0.11549964547157288,0.13283225893974304,0.0851762667298317,0.17033490538597107,0.18144656717777252
basin,0.1565224826335907,0.18059469759464264,0.24553915858268738,0.2608475685119629,0.40976372361183167,0.22316701710224152,0.24553915858268738,0.41143864393234253,0.17691287398338318,0.24553915858268738,0.12794210016727448,0.16447792947292328,0.16508513689041138,0.1498844176530838,0.14685653150081635
paleolakes,0.2805918753147125,0.23540562391281128,0.2863076329231262,0.28119972348213196,0.30521395802497864,0.2976265251636505,0.2863076329231262,0.27662381529808044,0.29021501541137695,0.2863076329231262,0.14739908277988434,0.2594534456729889,0.20448459684848785,0.21988095343112946,0.18062393367290497
and,0.31309178471565247,0.43716782331466675,0.5171257257461548,0.2802542746067047,0.21498344838619232,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.36462149024009705,0.5171257257461548,0.28099530935287476,0.3424558639526367,0.20042148232460022,0.48971283435821533,0.20544172823429108
from,0.2737620174884796,0.2621968984603882,0.40150508284568787,0.2286408692598343,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.3186885714530945,0.40150508284568787,0.2992756962776184,0.27624839544296265,0.23413144052028656,0.4069952368736267,0.19969791173934937
