,who,was,chairman,of,the,house,science,committee,?
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.19286204874515533,0.2139003723859787,0.20945778489112854,0.2714994251728058
23,0.014098330400884151,-0.04668274149298668,-0.021517453715205193,-0.01973372884094715,-0.04008803516626358,-0.03156811371445656,-0.0347314216196537,0.06217445060610771,0.012076443061232567
june,0.23552022874355316,0.42821118235588074,0.243459552526474,0.19721001386642456,0.24568822979927063,0.18991610407829285,0.13245399296283722,0.18572093546390533,0.31416764855384827
2005,0.18423187732696533,0.11356307566165924,-0.04274182766675949,0.017815761268138885,0.037273142486810684,-0.03737854212522507,-0.057239554822444916,-0.004717009142041206,0.10709824413061142
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
rep.,0.1429029405117035,0.2129760980606079,0.16301193833351135,0.1586083024740219,0.20310913026332855,0.16304944455623627,0.1505591869354248,0.1666993498802185,0.26382210850715637
joe,0.2509482800960541,0.23988783359527588,0.15652234852313995,0.1494843065738678,0.18907766044139862,0.13496938347816467,0.1375608891248703,0.11596819013357162,0.14875642955303192
barton,0.2547362744808197,0.2684181332588196,0.2353188693523407,0.22543998062610626,0.22094224393367767,0.2263120859861374,0.11666974425315857,0.21201547980308533,0.11683724820613861
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
chairman,0.17702560126781464,0.2656080424785614,0.9999999403953552,0.2167922407388687,0.2121211588382721,0.25330835580825806,0.19412721693515778,0.41671353578567505,0.08324678242206573
of,0.2827862501144409,0.4069072902202606,0.2167922407388687,1.0,0.733189046382904,0.285114049911499,0.2616958022117615,0.2920650243759155,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2121211588382721,0.733189046382904,1.0,0.2847244441509247,0.24037593603134155,0.24322165548801422,0.22068053483963013
house,0.2619773745536804,0.28759756684303284,0.25330835580825806,0.285114049911499,0.2847244441509247,0.9999998807907104,0.11673623323440552,0.28268516063690186,0.13736455142498016
committee,0.2034623622894287,0.25449851155281067,0.41671353578567505,0.2920650243759155,0.24322165548801422,0.28268516063690186,0.2013024091720581,1.0,0.12144632637500763
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.19286204874515533,0.2139003723859787,0.20945778489112854,0.2714994251728058
energy,0.14706677198410034,0.15364649891853333,0.18923775851726532,0.26257598400115967,0.26756542921066284,0.19098585844039917,0.2269226461648941,0.14993615448474884,0.14860127866268158
and,0.41279885172843933,0.3740963041782379,0.2024257630109787,0.5116966962814331,0.5171257257461548,0.2552875876426697,0.2865735590457916,0.22311176359653473,0.20544172823429108
commerce,0.09755388647317886,0.19670578837394714,0.23692990839481354,0.3016614019870758,0.26524990797042847,0.2490072250366211,0.2875382602214813,0.21523898839950562,0.09677373617887497
wrote,0.2670581638813019,0.40092042088508606,0.13844087719917297,0.30241408944129944,0.2426944375038147,0.1825835406780243,0.25721412897109985,0.15641434490680695,0.19322504103183746
joint,0.1359657198190689,0.18301956355571747,0.32740768790245056,0.2794724404811859,0.2854326069355011,0.21749654412269592,0.1408468782901764,0.29958412051200867,0.15804731845855713
letters,0.22802039980888367,0.16712252795696259,0.13436736166477203,0.24394433200359344,0.23764781653881073,0.13885021209716797,0.15976659953594208,0.18544277548789978,0.18739263713359833
with,0.3282766342163086,0.27411898970603943,0.10921347886323929,0.41827285289764404,0.4223487675189972,0.16397541761398315,0.16571007668972015,0.14769598841667175,0.2433311939239502
ed,0.1637633740901947,0.20469819009304047,0.14231844246387482,0.19821499288082123,0.21412420272827148,0.18663690984249115,0.20751194655895233,0.051791973412036896,0.16764874756336212
whitfield,0.26478269696235657,0.25529298186302185,0.22202295064926147,0.12382641434669495,0.17659328877925873,0.27538934350013733,0.20636816322803497,0.13868233561515808,0.1670030653476715
",",0.3365725874900818,0.45456063747406006,0.22044430673122406,0.4946078956127167,0.4933079481124878,0.28236111998558044,0.2623405158519745,0.20982497930526733,0.31091248989105225
chairman,0.17702560126781464,0.2656080424785614,0.9999999403953552,0.2167922407388687,0.2121211588382721,0.25330835580825806,0.19412721693515778,0.41671353578567505,0.08324678242206573
of,0.2827862501144409,0.4069072902202606,0.2167922407388687,1.0,0.733189046382904,0.285114049911499,0.2616958022117615,0.2920650243759155,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.2121211588382721,0.733189046382904,1.0,0.2847244441509247,0.24037593603134155,0.24322165548801422,0.22068053483963013
subcommittee,0.21859753131866455,0.29152747988700867,0.40856847167015076,0.3215591013431549,0.25766146183013916,0.2945951521396637,0.22374098002910614,0.8758507370948792,0.14806249737739563
on,0.2340552806854248,0.3909217119216919,0.18472251296043396,0.3966929316520691,0.5107308030128479,0.19286204874515533,0.2139003723859787,0.20945778489112854,0.2714994251728058
